# This is a comment line to skip
name;username;rating;price;age;message;review
Paul Young;paul_young_5897;97.0;85.1;44.2;'''Bill represent north; Process become ; Page hold service''';'''Raise sort enough into; Same respond pay Attack must senior wife'''
Amber Hill;amber_hill_0153;;56.1;53.2;'''Keep; I share you and ; Debate sign''';'''Fight: Phone me claim second determine; New blood factor'''
Mary Wheeler;mary_wheeler_2952;72.0;75.1;83.2;'''(Far) ; Treat and Fill wear''';'''(Cold official) ; Attack defense and Difference newspaper'''
Michelle Hayes;michelle_hayes_7953;33.0;15.1;73.2;'''Close: Drug movement keep; Moment''';'''(Ask film weight gun) ; Purpose relate home and Large be'''
Michael Mitchell;michael_mitchell_0984;9.0;58.1;49.2;'''During; Hand loss Again why onto various case''';'''(Right partner) ; Establish almost area and Tree no'''
A;sara_clark_9128;89.0;67.1;3.2;'''Hair interesting tough; Call bank skin ; Film medical watch''';'''Forward: Tough fly feeling; Positive only idea'''
Curtis Moss;curtis_moss_6022;21.0;80.1;69.2;'''Man assume lot deep total whatever: Affect; Fight story Mr measure economic suggest''';'''Note: Put two west; then Parent truth subject'''
Megan Williams;megan_williams_7818;12.0;96.1;27.2;'''Represent spring there: Possible; Where important let have he''';'''Wrong thing white hit; Surface wind us player possible give Where follow car degree'''
Julie Scott;julie_scott_5374;25.0;78.1;53.2;'''Body food church present go cold; Traditional local ; Oil kind middle president''';'''Note: Office each help voice huge; then Amount others these'''
Katie Abbott;katie_abbott_1864;37.0;34.1;93.2;'''Always; Mention loss individual foot ; Later girl well from consider form''';'''(Parent) ; Skin difficult cost and Term against'''
Angela Hughes;angela_hughes_1798;14.0;90.1;82.2;'''Note: Hear character agent debate; then Behind candidate born like''';'''(Physical) ; Himself language and Hear seven people tax admit radio'''
David Avila;david_avila_3082;68.0;55.1;68.2;'''Religious author maintain set source; Senior ; Right''';'''Fact produce environment cell record what; Central expect ; Stuff degree something'''
Justin Santos;justin_santos_8952;40.0;56.1;15.2;'''Forget million determine area factor audience; Piece minute once Better public friend response''';'''Training room: Wish child experience; Ability level'''
Michael Moore;michael_moore_0245;94.0;64.1;10.2;'''Note: Television remember number plant; then Paper during model''';'''Loss; Himself of Drug lay yes heart'''
George Bird;george_bird_5527;45.0;88.1;70.2;'''Final success; Heavy protect keep kitchen travel ; Explain''';'''Fund imagine education great every: Executive difficult; Rest dog speech quickly'''
Maria Stein;maria_stein_2113;64.0;72.1;57.2;'''(Score) ; Down east and Letter''';'''Fill Mrs; Local science gun true ; Involve term international pretty'''
Charles Nichols;charles_nichols_0754;6.0;93.1;5.2;'''Early rise them; Agreement head language ; Whatever simple''';'''Increase reason though student support; Each role Finally again account husband speak'''
Lauren Fernandez;lauren_fernandez_2405;17.0;;72.2;'''Still address job focus; Green election account Inside successful lose''';'''Cultural really: Democrat all out each; Maybe area'''
