username;salary;score;comment
chelsea_harris_5887;15.0;44.1;'''Odit aliquam dolore ex aspernatur architecto; Asperiores quia ea aliquam odit Tempora doloribus atque'''
mr_collins_0627;19.0;28.1;'''Ducimus molestiae quasi: Sunt vero; Voluptatem consequuntur eveniet voluptatem autem'''
philip_mills_3137;71.0;35.1;'''(Inventore consequuntur) ; Quisquam and Eos'''
katy_holmes_5615;53.0;77.1;'''Note: Est eius delectus iusto rem; then Amet'''
miss_robson_6952;54.0;73.1;'''Perferendis fugiat rerum vel amet: Aliquid cumque distinctio; Ipsa ex dolorum laudantium quisquam numquam'''
michael_matthews_4738;9.0;78.1;'''Iure nobis: Nostrum neque at at; At eveniet'''
josh_smith_1300;23.0;98.1;'''Note: Ab eius quasi; then Unde sapiente'''
simon_fuller_8392;92.0;10.1;'''(Necessitatibus reiciendis ducimus voluptatem autem) ; Fugiat necessitatibus perspiciatis and Saepe voluptate'''
mr_begum_1559;83.0;21.1;'''(Sint ea pariatur saepe) ; Quisquam nisi and Repudiandae in nulla rerum consectetur'''
darren_gould_4142;17.0;90.1;'''Note: Nulla labore blanditiis accusamus; then Fuga natus fugiat'''
valerie_sanders_9780;25.0;90.1;'''Ut; Animi a rem praesentium Nostrum quisquam accusamus'''
ms_akhtar_1454;28.0;8.1;'''Note: Amet cum; then Exercitationem perferendis ipsum'''
harriet_young_5581;63.0;75.1;'''(Facere harum optio) ; Eius vel eaque and Molestiae iure tempora eveniet sunt'''
sam_mills_3971;;75.1;'''Note: Provident non impedit veritatis explicabo; then Consequatur'''
mr_edwards_6425;46.0;38.1;'''Possimus similique doloribus distinctio; Saepe eveniet Nostrum officia'''
mr_parry_7560;99.0;9.1;'''Beatae nisi velit: Vero soluta error; Voluptatem blanditiis nihil veritatis occaecati deserunt'''
jasmine_lawrence_0716;62.0;30.1;'''Repellat enim harum nulla: Accusamus eligendi; Ab'''
rachael_page_6420;82.0;58.1;'''Cumque quas mollitia eveniet; Fuga non fugit ; Animi exercitationem'''
mohammad_harris_4049;27.0;2.1;'''(Cupiditate nemo minima) ; Neque saepe quibusdam aliquid and Aspernatur totam delectus reprehenderit natus'''
derek_evans_8006;92.0;;'''Veniam voluptates architecto: Provident cumque; Non provident quaerat'''
katherine_ahmed_2920;3.0;92.1;'''Note: Dignissimos occaecati ad; then Distinctio'''
clare_page_2435;16.0;41.1;'''Note: Exercitationem exercitationem; then Ipsam adipisci'''
chelsea_smith_6392;44.0;65.1;'''(Cum ratione deleniti magni) ; Aperiam delectus and Maxime tempore totam minima dolorem dolorum'''
dr_jones_4839;34.0;82.1;'''Note: Reprehenderit ratione iusto; then A'''
mr_hartley_6783;85.0;75.1;'''Vitae dolore: Labore illum praesentium eligendi similique; Tenetur expedita'''
lorraine_davison_0259;90.0;78.1;'''(Quae delectus commodi omnis quam) ; Minima and In deserunt laborum expedita'''
billy_jones_1582;81.0;44.1;'''Hic veniam neque; Perferendis blanditiis eius libero commodi Dolor tempore eveniet'''
scott_franklin_2009;34.0;72.1;'''Veniam adipisci ut: Porro atque quam veniam numquam; Dicta inventore aperiam quas itaque'''
ben_sutton_9306;37.0;6.1;'''Note: Iure autem; then Totam a est'''
kenneth_rogers_6887;52.0;25.1;'''(Ea libero error ratione) ; Cupiditate explicabo sed and Aliquam eligendi ad'''
eric_patel_2696;51.0;90.1;'''(Laboriosam modi ipsa quaerat) ; Aliquam repellat et ut and Voluptatum enim similique dolores'''
danny_kay_4251;58.0;43.1;'''Nulla; Aut Non vero'''
ashleigh_parker_7748;98.0;5.1;'''(Illum omnis) ; Incidunt explicabo and Debitis a fuga ullam'''
valerie_wood_6776;11.0;89.1;'''Sed molestiae; Fugit asperiores doloribus ; Nulla nisi adipisci'''
gregory_king_3739;11.0;86.1;'''Note: Repellat eum; then Beatae'''
