name	username	price	message	note
A	teresa_banks_3889	12.0	"""Quod quo; Iusto aspernatur deleniti 	 Ipsa est"""	"""Dolorum: Similique	 Sint"""
Mr Douglas Allen	mr_allen_5714		"""Note: Possimus minima	 then Iure itaque aliquam"""	"""(Et nesciunt minima impedit animi hic) 	 Doloremque reiciendis and Ipsum"""
Kelly Haynes	kelly_haynes_0932	4.0	"""Labore: Vel ullam	 Nam exercitationem est at"""	"""Nulla quos molestiae	 Facilis officia pariatur in officia mollitia Architecto placeat labore molestias"""
Iain Moore-Jones	iain_jones_8386	54.0	"""Ipsum quibusdam sequi; Quam incidunt accusamus 	 Culpa voluptates sequi reprehenderit id"""	"""(Mollitia consequuntur delectus libero) 	 A and Sint omnis deserunt"""
Russell Cooper-Lawson	russell_lawson_7000	41.0	"""Voluptatem eaque non sequi nobis; Nostrum modi maiores 	 Dolorum"""	"""(Vero animi ea) 	 Corporis iure odio and Alias facere sapiente voluptatum est"""
Dr Karen Morgan	dr_morgan_0543	20.0	"""(Recusandae adipisci) 	 Repudiandae modi and Sit vero"""	"""Odit aliquam ipsa repellendus	 Rem tempore omnis Praesentium assumenda dolore illo illum illo"""
Samuel Evans-Harris	samuel_harris_1605	91.0	"""Velit debitis possimus placeat in; Eius maxime ut tenetur 	 Placeat"""	"""(Labore harum ab) 	 Aspernatur quo velit and Excepturi ad"""
Mrs Kirsty Burns	mrs_burns_6711	38.0	"""Iure nostrum commodi: Maxime ut	 Voluptatem laborum quia ullam"""	"""Note: Dignissimos mollitia	 then Dolore dolorum illum voluptas eveniet laudantium"""
Kieran Price	kieran_price_4670	18.0	"""Voluptatum odio ex explicabo: Hic modi natus distinctio magni	 Officia facere vel itaque"""	"""(Quos omnis) 	 Repellat quis expedita and Ducimus maiores"""
Kate Whitehouse	kate_whitehouse_5402	53.0	"""(Autem iste) 	 Repudiandae explicabo necessitatibus alias and Voluptatum vitae nulla"""	"""Explicabo quia: Eius	 Aspernatur quo in in nobis"""
Miss Jayne Macdonald	miss_macdonald_9665	92.0	"""(Enim) 	 Aliquam non provident maxime and Autem"""	"""(Architecto nam eaque ratione) 	 Laudantium qui cumque ut and Alias magni sit officia eum"""
Hollie Cooper-Ellis	hollie_ellis_5854	11.0	"""Repudiandae sapiente: Ratione autem corporis veritatis	 Quasi ratione illum"""	"""Repellat mollitia: Eum occaecati nihil sunt	 A"""
Dylan Clark	dylan_clark_1558	73.0	"""Veritatis reiciendis; Atque minima qui mollitia accusamus enim 	 Sed"""	"""Fugit quas aspernatur	 Consequuntur quaerat Autem veniam"""
Dr Shaun Smith	dr_smith_3519	71.0	"""Magnam	 Omnis iusto Repellendus labore autem ut"""	"""Note: Facilis corporis	 then Quae laboriosam cumque"""
Dr Andrea Evans	dr_evans_4902	32.0	"""(Eligendi nisi) 	 Dolor adipisci and Blanditiis quam dolorem quo"""	"""Laboriosam nobis veniam voluptas consequuntur impedit; Voluptas quae 	 Deleniti natus repudiandae reprehenderit"""
Mark Fletcher	mark_fletcher_7140	77.0	"""Note: Eligendi saepe vel	 then Voluptatem similique"""	"""Amet quasi quas facilis: Voluptatibus dignissimos est	 Unde repudiandae voluptatibus laudantium accusamus quos"""
Abigail James	abigail_james_2413	84.0	"""Eligendi sequi tempore corporis accusamus; Assumenda sapiente amet 	 Architecto delectus perferendis eaque dolore"""	"""Placeat blanditiis magni: Molestias excepturi facere	 Eveniet facere"""
Katherine Dunn	katherine_dunn_8285	12.0	"""Note: Error asperiores eum voluptas nesciunt	 then Laborum id"""	"""(Omnis voluptatem magnam) 	 Sit nam velit and Autem quod dolores"""
Francis Jones	francis_jones_0410	35.0	"""Note: Id repellat	 then Ducimus sapiente quibusdam"""	"""Note: Libero iste	 then Earum amet"""
Paul Roberts-Rose	paul_rose_8181	76.0	"""Error molestiae amet eveniet sunt	 Accusamus neque iste repudiandae explicabo Eaque sed repellendus illo"""	"""Ea eaque; Deserunt quia natus 	 Doloribus reprehenderit"""
