name;username;salary;review;summary
Roger Brown-Tucker;roger_tucker_7482;16.0;"""Note: Dolorum quidem ullam modi temporibus totam; then Unde inventore aliquid""";"""Note: Laudantium et; then Quam consectetur veritatis"""
Victoria James;victoria_james_1093;91.0;"""Officiis; Esse id ; Rerum architecto""";"""Facere fuga ratione; Nemo nemo excepturi At sunt voluptatibus"""
Terence Harris;terence_harris_4855;96.0;"""Illo minima quos; Quod ratione fuga et laborum cum Reiciendis repellendus doloremque aliquam""";"""Id sequi; Commodi sint in ex placeat cumque Fuga odio provident voluptatem perferendis"""
Vincent Lee;vincent_lee_3591;95.0;"""Molestias voluptate ipsum; Excepturi maiores recusandae cupiditate commodi Deleniti repellat sapiente eius""";"""(Est) ; Error quos ut velit ipsa and Quia modi"""
Charlene Goddard;charlene_goddard_9592;;"""Vitae; Occaecati totam vitae id occaecati error Animi aperiam""";"""Note: Sequi; then Iure minima est"""
Mohammed Cook;mohammed_cook_1765;35.0;"""Illum; Beatae repudiandae reprehenderit ; Esse""";"""Iure ea voluptatibus odio labore; Eum libero ; Neque"""
Jayne Jackson;jayne_jackson_0778;48.0;"""Quod; Incidunt error ; Expedita neque distinctio voluptatum""";"""Note: Eius consequuntur officiis omnis; then Explicabo numquam"""
Jacqueline Rogers;jacqueline_rogers_1967;85.0;"""Ad magnam sit pariatur; Aperiam ullam itaque quaerat sit Eos odio""";"""Note: Autem distinctio; then Eveniet"""
Valerie Robinson;valerie_robinson_9608;9.0;"""Est quia deserunt: Eum magni dolores optio magnam pariatur; Recusandae""";"""Esse; Pariatur excepturi Minima minus rerum quis"""
Ronald Wyatt;ronald_wyatt_8021;41.0;"""(Numquam aut necessitatibus ullam cumque) ; Dicta recusandae nihil and Hic optio quidem""";"""Fugit ipsum; Quae libero inventore ; Eos"""
Alexandra Wright-Harris;alexandra_harris_0405;39.0;"""Quia: Cumque rerum; Dolorum consequatur dolorem ut occaecati dicta""";"""Quisquam consectetur corrupti tempore; Ipsam dicta esse incidunt modi ; Quos"""
Stephen Carr;stephen_carr_6560;43.0;"""Minima tempore tenetur; Ea repudiandae Eum""";"""Voluptatum; Enim ; Odio maiores recusandae culpa"""
Dr Josephine Barrett;dr_barrett_7241;36.0;"""Note: Molestias; then Eligendi praesentium illum""";"""(Quidem deserunt) ; Eius tempore atque and Voluptas"""
Kerry Hall;kerry_hall_8592;16.0;"""Tempora libero: Fugit laboriosam rerum; Officiis vel dolorem provident repellendus""";"""Illo: Exercitationem; Molestiae soluta"""
Janet Birch;janet_birch_9496;62.0;"""Sapiente dolore aperiam: Non beatae fugiat error sit blanditiis; Eaque qui""";"""Dicta id cupiditate: Quo; Aspernatur"""
Lawrence Bolton;lawrence_bolton_1228;73.0;"""Id modi magnam exercitationem; Ducimus id eaque Repellendus voluptates""";"""Note: Ipsum et accusantium veniam; then Accusamus commodi labore veritatis autem sequi"""
Hilary McCarthy;hilary_mccarthy_4730;55.0;"""(Accusamus sunt voluptatum) ; Facere labore and Blanditiis necessitatibus assumenda""";"""Facere; Ut dolores aspernatur nihil impedit cumque ; Repellendus explicabo quis voluptas"""
Gerald Miller;gerald_miller_2271;43.0;"""(Optio magnam necessitatibus) ; Quos eius and Officiis enim blanditiis""";"""Note: Voluptatem; then Aspernatur dicta nobis"""
Abdul Law;abdul_law_6062;21.0;"""(Aspernatur odit) ; Saepe asperiores dignissimos illo and Blanditiis maiores recusandae""";"""Harum dignissimos voluptates architecto nesciunt magnam; Ullam assumenda Dolores"""
o;megan_roberts_2386;64.0;"""Voluptatibus molestias nemo; Assumenda nobis explicabo officia ; Minus similique""";"""Vitae; Quod deserunt dolor ; Voluptate adipisci"""
