# This is a comment line to skip
username	price	score	age	message	review
maria_holmes_0733	50.0	59.1	19.2	'''Repudiandae	 Sint Molestias est'''	'''Ipsam doloremque tenetur: Commodi accusamus	 Fuga facere ex'''
bradley_rogers_4694	26.0	65.1	61.2	'''Perspiciatis eaque labore facere officiis; Possimus ab quidem in optio nostrum 	 Quia rem delectus ipsa'''	'''Note: Itaque assumenda	 then Maiores unde similique'''
josh_dunn_5102	99.0	10.1	43.2	'''(Quibusdam nesciunt) 	 Eum eius iure and Tenetur quibusdam ratione fugit commodi'''	'''(Similique illum) 	 Corporis and Animi eaque temporibus perferendis'''
mandy_haynes_7525	63.0	15.1	4.2	'''Suscipit aperiam et sit: Fuga laboriosam	 Fugit vero nam'''	'''Qui repudiandae incidunt atque excepturi; Distinctio asperiores 	 Officia dolore saepe'''
miss_quinn_7052	50.0	63.1	23.2	'''(Labore) 	 Vero repudiandae alias and Officiis soluta'''	'''Note: Suscipit ratione	 then Atque placeat amet inventore repellendus deserunt'''
dr_godfrey_1946	28.0	60.1		'''(Voluptatibus illo sunt sequi occaecati ullam) 	 Minus neque and Reprehenderit a nemo nobis'''	'''Quos	 Repudiandae assumenda voluptate Ad incidunt ratione'''
jamie_cox_7715	12.0	59.1	41.2	'''(Eveniet) 	 Dignissimos nemo and Voluptatum molestias dolores atque incidunt'''	'''Note: Sunt dolore illo	 then Totam'''
karen_richardson_2663	3.0	71.1	47.2	'''Iure; Similique facere 	 Quod'''	'''Note: Ratione laborum hic repellendus	 then Mollitia in impedit'''
richard_knight_4825	10.0	43.1	19.2	'''Praesentium illum	 Omnis suscipit Quia aspernatur'''	'''Magni qui quasi	 Voluptatum facilis fugiat consequatur possimus Molestiae recusandae praesentium asperiores'''
suzanne_harris_3280	89.0	34.1	62.2	'''(Similique suscipit) 	 Corporis sunt quis beatae recusandae and Itaque'''	'''Quidem fuga eligendi; Consequatur reiciendis voluptatum nobis voluptatem 	 Necessitatibus dolorum velit'''
mr_foster_9721	63.0	93.1	71.2	'''(Sint officiis eaque) 	 Placeat perferendis debitis sint libero and Modi fugiat nemo doloremque'''	'''Aliquid dolore sint: Culpa mollitia suscipit quia	 Provident consequuntur animi veritatis delectus'''
samantha_stevens_0442	31.0	74.1	63.2	'''Note: Quasi occaecati quia deleniti delectus	 then Rem itaque est impedit'''	'''Accusamus repudiandae: Hic rerum	 Recusandae'''
lee_wright_2022	60.0	42.1	2.2	'''(Vel velit expedita quis sequi) 	 Dolorum voluptatem molestias doloribus cupiditate and Nesciunt cupiditate placeat excepturi'''	'''Totam et: Fuga voluptate	 Repellat vel nihil'''
miss_owen_3926	13.0	9.1	14.2	'''Tempora tempora corrupti	 Harum perspiciatis delectus voluptatum Nobis totam dignissimos'''	'''Tenetur atque omnis; Repellendus atque at hic 	 Rem at nisi perspiciatis molestiae facere'''
kathleen_stevenson_7805	52.0	31.1	97.2	'''(Praesentium rem harum vero) 	 Voluptas eveniet iusto dolor libero and Corrupti repudiandae dolorem'''	'''Praesentium laborum voluptatibus	 Neque ab Inventore eum facilis voluptas'''
mohammed_henderson_9624	95.0	20.1	75.2	'''Quasi sapiente repellendus voluptatum quasi	 Molestiae sapiente Voluptatem nulla repudiandae doloremque'''	'''Non dolore: Accusamus excepturi aperiam	 Magni doloribus a laborum'''
danielle_carpenter_3704	87.0	45.1	21.2	'''Note: Dolor	 then Ab'''	'''Minima impedit; Cumque officia 	 Dolore asperiores molestiae facilis'''
gareth_clarke_4726	88.0	1.1	53.2	'''(Amet iste asperiores nihil dolore) 	 Fugiat enim ut and Dolor enim minima'''	'''Deleniti voluptas sequi	 Corporis nam harum Nihil explicabo est'''
mr_griffiths_9082	35.0	7.1	1.2	'''Note: Itaque occaecati atque non	 then Magni illum'''	'''(Ut ut ducimus) 	 Voluptatum doloremque voluptatibus and Voluptates consectetur iusto'''
mr_bennett_4073	27.0	96.1	88.2	'''Note: Repellendus doloribus	 then Dolorem at dolor enim'''	'''(Aspernatur quasi) 	 Dolor tempore and Quo temporibus esse'''
brandon_baker_4659	32.0	97.1	58.2	'''Mollitia repellendus: Nulla neque quam	 Dolores impedit quos'''	'''Neque vitae excepturi tenetur: Assumenda nam inventore sequi qui delectus	 Commodi maxime'''
dr_mills_5122	74.0	65.1	76.2	'''Note: Atque laudantium doloremque	 then Corporis earum soluta odit magni porro'''	'''Note: Tempora alias	 then Voluptates'''
miss_wade_4124	66.0	65.1	94.2	'''(Hic est porro dolor iste) 	 Consequuntur and Fugit soluta'''	'''Exercitationem quos; Placeat eveniet vero rerum 	 Praesentium voluptates minus sint nesciunt'''
dr_harrison_5817	85.0	34.1	63.2	'''Corporis adipisci; Incidunt 	 Omnis dolorum deserunt'''	'''Atque	 Officiis excepturi itaque aliquam Ipsam nisi'''
mr_williams_9021	90.0	61.1	12.2	'''Suscipit ea excepturi	 Quia labore architecto Velit soluta quis voluptas voluptates'''	'''(Odio accusamus) 	 Quo corporis libero modi and Exercitationem ipsa accusantium sequi'''
abdul_green_6153	51.0	29.1	18.2	'''Itaque deserunt	 Ut vero inventore Tenetur quod laudantium'''	'''Note: Eos dolorem sed	 then Magnam'''
frank_holmes_3204	97.0	12.1	96.2	'''Officiis voluptatem: Assumenda in cumque et mollitia	 Dolores veritatis voluptas'''	'''Officiis aspernatur quia occaecati; Harum 	 Eligendi alias nulla'''
dr_kerr_5936	82.0	32.1	99.2	'''Note: Veniam minima	 then Vitae molestias totam ipsa inventore dicta'''	'''Note: Eligendi fuga	 then Odit'''
clare_reid_6760	39.0	76.1	97.2	'''(Dolore accusantium cum) 	 Inventore eveniet iure tempora and Repellendus sequi illum perferendis expedita'''	'''Iste	 Labore placeat ipsam Odio'''
jane_kelly_7754	6.0	32.1	12.2	'''(Unde sit) 	 Dignissimos culpa quo earum and Maxime inventore quia'''	'''(Adipisci veritatis enim nobis) 	 Reiciendis nesciunt quas facilis ipsum and Modi ad dolorem velit'''
mrs_wade_2190	62.0		52.2	'''Note: Laboriosam soluta numquam	 then Facilis'''	'''(Quod ipsa excepturi quidem) 	 Sed tenetur quasi accusamus and Enim voluptatum fugit praesentium'''
dr_collins_8677	80.0	36.1	5.2	'''(Corrupti) 	 Porro vero and Molestias quas'''	'''Ipsam delectus; In minus voluptatum sapiente 	 Impedit nobis'''
kimberley_naylor_5868	44.0	25.1	9.2	'''Totam itaque; Maxime 	 Quibusdam corrupti sint'''	'''Note: Nihil alias repellat a	 then Quas saepe sequi'''
toby_cook_5702		79.1	27.2	'''Note: Sapiente doloribus veritatis dolorem architecto eos	 then Eveniet provident'''	'''Atque vero quos dolorem recusandae; Impedit saepe consequatur ducimus 	 Iure quis'''
donna_bailey_0969	68.0	68.1	36.2	'''Quas velit	 Quia Fugit incidunt'''	'''Note: Repudiandae atque ullam expedita	 then Magnam'''
alan_williams_5876	25.0	90.1	35.2	'''(Nihil eveniet vitae) 	 Explicabo quas ipsam and Ipsa aliquam aspernatur iste'''	'''(Beatae perferendis est) 	 Maiores quo quasi and Itaque quibusdam rem voluptatum'''
rachel_hughes_9251	21.0	22.1	7.2	'''Facilis perferendis dicta: Id facere	 Accusamus consequatur accusamus'''	'''(Ea culpa totam) 	 Distinctio sint ex and Doloremque vel ratione'''
iain_bentley_5266	46.0	65.1	63.2	'''Omnis: Delectus necessitatibus illo earum quo at	 Nostrum temporibus'''	'''(Ex) 	 Nostrum illo expedita omnis ea exercitationem and Tenetur quod'''
lorraine_bray_2017	98.0	5.1	15.2	'''Harum eum corporis	 Consequatur fuga velit Ipsa voluptas'''	'''Note: Quas	 then Ipsum mollitia quia alias veniam'''
