# This is a comment line to skip
username;name;age;score;summary
christine_lopez_3619; ;85.0;75.1;'''Several involve according fact; Police tree Ten power attorney'''
mary_tyler_3595;Mary Tyler;11.0;71.1;'''(Our first life) ; People apply how century service page and Figure cup forget success'''
billy_valdez_4110;Billy Valdez;53.0;9.1;'''Note: Less wife never star yard; then Which become forward free unit'''
dillon_obrien_1720;Dillon Obrien;36.0;40.1;'''Note: Have subject movement finish; then Large hard'''
robert_johnson_7745;Robert Johnson;48.0;37.1;'''After wall form; Local treat ; Raise likely pull son term'''
chris_rodriguez_2310;Chris Rodriguez;57.0;46.1;'''(Area) ; World commercial other describe case and Safe break buy'''
barry_mcbride_2513;Barry Mcbride;4.0;10.1;'''Weight yet together network: Commercial market; Them'''
jay_kelly_6312;Jay Kelly;84.0;58.1;'''Career where three race Republican: Discuss sign offer; Resource sister animal arrive'''
morgan_thomas_9525;Morgan Thomas;20.0;84.1;'''Start the meet today someone; Door spend they Job any'''
jackie_santiago_5175;Jackie Santiago;59.0;59.1;'''Course color: Third hotel trip voice; Son indeed late'''
mary_jenkins_1927;Mary Jenkins;8.0;42.1;'''Note: Rich language; then Care those'''
kyle_tran_8965;Kyle Tran;73.0;98.1;'''Impact bag establish; Military culture note ; Door'''
john_gonzalez_1271;John Gonzalez;;3.1;'''Song he support radio: Laugh; Somebody'''
richard_munoz_7599;Richard Munoz;94.0;48.1;'''Sound professional thank; Main challenge Writer action year Democrat'''
brandy_hayes_5902;Brandy Hayes;83.0;;'''Seem bank commercial: Break yes imagine; Skin traditional we defense black friend'''
emily_gutierrez_1125;Emily Gutierrez;46.0;86.1;'''System second thing ready mean: Debate building new; Response first'''
carol_taylor_3516;Carol Taylor;40.0;14.1;'''Deep month; Service ; Candidate finish'''
nathaniel_hill_3778;Nathaniel Hill;76.0;69.1;'''Life tend resource; Room close day Lawyer green floor'''
sandra_thompson_2950;Sandra Thompson;39.0;35.1;'''Treat; Little Second school'''
brandon_frey_2871;Brandon Frey;39.0;69.1;'''Step marriage knowledge; Prove artist Dog lose establish painting all science'''
tara_hughes_4136;Tara Hughes;59.0;29.1;'''(Study hear) ; Church movie answer clearly and That treat seat finally get start'''
renee_murphy_6694;Renee Murphy;61.0;49.1;'''Page simply election; Theory become start ; Strategy morning'''
stacey_murphy_0673;Stacey Murphy;61.0;11.1;'''Recognize stop court behavior: Huge; Young morning feeling'''
michelle_turner_4101;Michelle Turner;38.0;81.1;'''Medical pass; Organization single all man seek us Until him'''
sara_randall_3329;Sara Randall;74.0;21.1;'''Note: Exist artist church; then Parent national southern perform unit back'''
jeffrey_thomas_6164;Jeffrey Thomas;79.0;52.1;'''Southern study: Lead; Successful letter deal true'''
derrick_roach_8402;Derrick Roach;53.0;5.1;'''Upon need; Agent always who Answer professor beat'''
