name	username	age	total_count	description	remark
Robert Owens	robert_owens_0370	95.0	38.1	"""Note: Into easy image	 then Green poor able us light"""	"""Have food pick: Operation term level budget	 Design probably hold"""
Natalie Hartman	natalie_hartman_4218	51.0	82.1	"""Most share: Learn night room	 Officer house"""	"""Join government throughout hotel know: Wish thing light	 Fear fine pretty huge"""
Joyce Edwards	joyce_edwards_3930	91.0	68.1	"""Note: She cell	 then Eye its"""	"""(Mouth) 	 Interest bring detail group and Toward little organization such two"""
Janet Wright	janet_wright_2819	52.0	25.1	"""Son people letter	 Rich reveal relationship chair help American Mother tax recently find break"""	"""State ago safe: Mention indeed debate these	 Gas stuff draw reflect"""
Hannah Sutton	hannah_sutton_8555	21.0	83.1	"""(Ever edge) 	 Another since collection and Central begin amount stage"""	"""Price attack wife together parent: According car song product	 Avoid"""
Isabella Rogers	isabella_rogers_7012		95.1	"""Gun on allow	 Board visit reality Market social central enter"""	"""(Company say) 	 Level same home and Lawyer"""
Jason Dennis	jason_dennis_8318	20.0	29.1	"""Note: Personal why arm staff start	 then Back"""	"""Manage finish there; White direction 	 Particularly"""
Wendy Barron	wendy_barron_3979	58.0	97.1	"""Adult act president time ok	 Serious almost Special"""	"""Note: Central worry create	 then By loss"""
Jennifer Howell	jennifer_howell_5074	76.0	88.1	"""View worker identify education challenge; Short development 	 Back new thought stuff information machine"""	"""(Current window feel pass over determine) 	 Population and Drive scene decade check theory smile"""
Susan Garcia	susan_garcia_2290	69.0	47.1	"""Note: If take	 then Baby girl"""	"""(Window media them product low heart) 	 Group and Own wonder bit"""
Tracy Kennedy	tracy_kennedy_4866	78.0	13.1	"""Raise rather small everyone	 Issue Wonder third"""	"""(Goal career trouble discussion) 	 Style situation produce and Last rich"""
Ralph Rios	ralph_rios_8022	93.0	95.1	"""Call: Him old all	 Indicate green carry grow"""	"""Note: Hotel	 then End page"""
Deborah Davis	deborah_davis_5477	88.0	20.1	"""Represent generation maybe; Pattern language social sign whether 	 Head he personal"""	"""Note: Beyond	 then Send somebody condition"""
Elizabeth Ferguson	elizabeth_ferguson_5512	70.0	20.1	"""Indicate result particularly natural term only: Sign character beautiful factor quickly	 Image safe receive"""	"""Someone generation billion: Reveal later sure ago	 Require"""
Jeffrey Perez	jeffrey_perez_6243	54.0	95.1	"""(Value not charge) 	 While and Outside pass"""	"""Machine before; Change spring factor 	 Prepare material"""
Dawn Morales	dawn_morales_7396	87.0	25.1	"""Note: Whole officer actually	 then Less spend save many"""	"""The yet	 Few Capital"""
Shannon Cole	shannon_cole_0302	85.0	50.1	"""Offer cell; Conference leg herself 	 Subject"""	"""Note: Know daughter baby	 then Represent offer house white show"""
Megan Bonilla	megan_bonilla_6394	84.0	92.1	"""Although fish especially forget: Manager read behind	 Loss analysis"""	"""Effect meet difference: Central	 Foreign respond million interesting"""
Brandy Madden	brandy_madden_0608	15.0	83.1	"""Candidate	 Month you Think"""	"""(Table) 	 White foot tree response and Health little"""
e	amanda_cooper_9542	86.0	94.1	"""(Leader enter) 	 Resource dinner strong and Notice key"""	"""Itself: Which land unit	 Around site after"""
Heather Green	heather_green_4321	75.0	73.1	"""From tend	 Individual discussion Artist sign"""	"""Seat foreign back: Involve alone person	 Result real yes recent power economic"""
Kathryn Castillo	kathryn_castillo_8926	56.0	86.1	"""Note: Another I many	 then Very herself wide than"""	"""Leader society	 Continue fund by often section PM Know positive"""
