name,rating,salary,summary,remark
D,61.0,3.1,"""Eius eveniet similique aliquam, Voluptatem ratione doloribus Modi""","""Note: Recusandae odio quaerat velit, then Libero provident inventore"""
Mohammed Carter,,75.1,"""(Ducimus) , Vitae dolorem and Non omnis""","""Repellat fuga voluptatibus exercitationem animi dolorem, Placeat ad Culpa maxime saepe iste"""
Dr Charles Dean,61.0,62.1,"""Quae labore illo: Exercitationem dolor adipisci fuga, Natus perferendis nesciunt""","""(Ipsa esse) , Aliquam incidunt and Harum non nulla"""
Gareth Baker,84.0,28.1,"""(Reprehenderit eos animi quia) , Sapiente nisi and Hic unde""","""(Accusantium) , Illo reiciendis dolores sapiente enim quod and Nostrum doloribus iste"""
Jayne Read,76.0,62.1,"""Note: Esse eveniet magnam dolores, then Ratione odit""","""Vel nobis; Iure nobis quis aut tempora , Fuga fugiat facere aliquam"""
James Turnbull,93.0,86.1,"""Exercitationem ipsam velit aut laudantium; Veniam deleniti , Iusto aperiam assumenda nisi excepturi""","""(Modi) , Tenetur minima and Reprehenderit non assumenda"""
Miss Lynne Bell,24.0,87.1,"""Note: Tempora aspernatur iste ducimus, then Aperiam occaecati nesciunt perferendis delectus""","""Placeat est, Commodi Architecto aliquam"""
Kathryn Stanley,6.0,16.1,"""Veniam eaque: Totam unde tenetur reiciendis, Autem consectetur quia asperiores""","""Doloremque quidem, Delectus ducimus enim Voluptatem asperiores culpa"""
Shaun McCarthy,57.0,,"""(Repellendus corrupti ad dolores neque inventore) , Aspernatur sit and Animi inventore nam omnis""","""Suscipit sed provident odit, Odio accusamus Minima eos"""
Mathew Bradshaw,34.0,28.1,"""Veniam reprehenderit: Dolorum pariatur dolor, Voluptatem incidunt officia iusto voluptatum""","""(Modi ratione nobis) , Vel quia accusamus ipsa and Blanditiis"""
Kieran Hill-Hall,41.0,3.1,"""Note: Atque itaque doloremque debitis, then Nobis omnis""","""(Quaerat rem quae delectus) , Molestiae harum architecto and Cum vero"""
Clifford Fitzgerald,16.0,75.1,"""Id possimus libero labore exercitationem; Blanditiis , Aliquam accusamus""","""(Corrupti illum) , Delectus similique non and Ipsa quae"""
Ms Nicole Marshall,65.0,21.1,"""Est pariatur dolores: Modi nulla ipsum, Deserunt ullam necessitatibus recusandae""","""Quae; Incidunt sint , Neque ratione quos explicabo consequuntur laboriosam"""
Fiona Jackson,12.0,69.1,"""Note: Exercitationem enim iste vero, then At delectus impedit asperiores""","""Eveniet at: Debitis qui aspernatur architecto, Modi nihil"""
Billy Green,19.0,48.1,"""Non, Quae odio quidem Optio ipsa soluta doloribus""","""Molestias assumenda tempore perferendis; Eligendi molestiae enim , Facilis"""
Glenn Cook-Johnston,11.0,98.1,"""Note: Veritatis harum laborum in nesciunt, then Ipsa""","""Quidem: Laborum voluptatum autem rerum sapiente, Sint ad"""
Philip Lewis,40.0,49.1,"""(Itaque rem tenetur blanditiis) , Maxime eum and Error incidunt exercitationem""","""Vitae error, Sit ab laudantium id Sit praesentium"""
Dr William Law,18.0,54.1,"""Fugit: Voluptate facilis, Velit est""","""Quos magnam; Beatae officiis deleniti rerum tempora , Corrupti non tenetur"""
Dr Chloe Watts,22.0,10.1,"""Note: Repudiandae voluptatem amet excepturi veritatis, then Sapiente fuga nulla repudiandae quisquam""","""(Fuga quibusdam id dolores) , Natus alias magnam and Laborum"""
Mr Kevin Morgan,23.0,84.1,"""(Exercitationem rerum) , Accusantium and Ducimus accusantium""","""Illum veritatis, Adipisci rem dignissimos quae Iste laudantium"""
Mr Bryan Hawkins,62.0,40.1,"""Culpa ea ex: Quasi porro facilis sed voluptas, Consectetur totam voluptates laudantium""","""Eveniet: Quisquam, Nisi aperiam repellendus"""
Dr Robert Marshall,95.0,61.1,"""Note: Aliquid pariatur, then Molestiae debitis""","""Note: Culpa earum expedita, then Ad vero"""
Miss Janet Hughes,34.0,27.1,"""Neque reprehenderit ipsum, Et fuga nulla Suscipit assumenda quis""","""(In accusantium) , Minima in and Quia"""
Laura Thomas,35.0,78.1,"""(Fugit dolorem reiciendis nisi) , Consectetur laborum and Consectetur molestias""","""Facilis reprehenderit corporis, Magni Impedit magnam corrupti corporis delectus"""
Mr Charles Cox,28.0,25.1,"""Note: Quidem voluptas, then Quos""","""Note: Labore, then Eveniet dicta itaque repudiandae eaque reiciendis"""
Rhys Bishop,7.0,62.1,"""A eaque laborum hic ullam nihil; Accusamus reprehenderit molestiae nostrum tempore , Illum sequi aliquam ipsa""","""Note: Maxime fugiat vel, then Distinctio necessitatibus maxime doloremque"""
Stephanie Baldwin,27.0,27.1,"""Reiciendis nam veniam explicabo incidunt error: Est, Velit aut delectus""","""Note: Possimus eos ut nostrum, then Enim"""
Lawrence Barnes,51.0,60.1,"""Odit debitis repellendus; Sed nostrum odio quaerat , Odit aliquam""","""Dolorem numquam: Deserunt dolor, Animi cupiditate cum"""
Mr Vincent Stevens,31.0,63.1,"""Note: Tempore tenetur voluptatum autem, then Porro earum""","""(In a) , Inventore rerum dolor and Fugiat numquam"""
Hayley Fuller,73.0,84.1,"""(Omnis voluptate officiis odit consectetur) , Quibusdam suscipit and Est debitis""","""Cupiditate beatae excepturi: Sit, Ex dolorem"""
Roger Mills,66.0,78.1,"""Odit culpa, Velit unde Quidem impedit assumenda""","""Note: Blanditiis, then Accusamus quas sunt"""
Sarah Hope,87.0,86.1,"""Eveniet temporibus ex voluptatem at; Corporis ab illum animi , Voluptas voluptatum""","""Fugit laudantium ipsam voluptatibus; Consequatur quasi quia , Dolorum consequuntur"""
Hayley Hall,66.0,78.1,"""(Ratione harum at ducimus) , Voluptas dolor and Itaque nesciunt""","""(Dignissimos) , Rerum laborum and Cumque similique eius ex enim"""
Ms Pamela McLean,90.0,66.1,"""Note: Officia iusto quis autem, then Assumenda voluptatem""","""Ea nesciunt: Quibusdam quo, Illo eos qui"""
Ross Davies,46.0,23.1,"""Note: Ipsam assumenda quis, then Modi illum optio""","""Consequatur ipsa deserunt molestias; Temporibus illum nesciunt , Eum sint"""
Craig Lynch,7.0,90.1,"""Explicabo occaecati accusamus fugiat aperiam; Minus commodi , Vel ipsam placeat""","""Natus odio, Consequuntur odit iusto iusto Id"""
Ms Wendy Fisher,24.0,28.1,"""Note: Autem, then Magni perferendis architecto""","""(Error facilis iure eos iste deserunt) , Aliquam maxime and Voluptatibus facilis"""
