# This is a comment line to skip
username;salary;total_count;age;description
dawn_smith_9388;64.0;84.1;81.2;"""Note: Voluptatibus veniam odit soluta aliquam; then Facilis maxime quasi"""
owen_williams_2788;22.0;88.1;3.2;"""(Modi commodi mollitia soluta) ; Asperiores sunt consequuntur and Rerum facilis consequatur ea corporis numquam"""
harriet_hughes_9613;38.0;37.1;14.2;"""Tenetur; Reprehenderit aliquam Aperiam beatae"""
dr_marshall_0581;8.0;33.1;63.2;"""Note: Laudantium; then Maiores illum vitae"""
fiona_richardson_8542;37.0;28.1;39.2;"""Eos perspiciatis: Aperiam sapiente alias; Autem"""
mary_bishop_0356;31.0;91.1;59.2;"""Perspiciatis maiores eos: Ab commodi dolore minima; Consequatur esse ipsam incidunt"""
graeme_chapman_8349;72.0;13.1;16.2;"""Vel perspiciatis iste occaecati laboriosam nisi: Mollitia incidunt; Occaecati quae officiis"""
mr_davies_7448;3.0;37.1;28.2;"""Labore vero amet dicta fugiat; Laborum fugiat ; Fuga fugiat labore temporibus quo"""
marilyn_chapman_5956;37.0;65.1;98.2;"""Ea a: Et animi modi; Libero sunt"""
gemma_andrews_3516;2.0;46.1;54.2;"""Beatae illum omnis qui quod; Alias officia rerum aliquid eos Porro vel optio"""
samantha_brown_9045;54.0;82.1;23.2;"""Note: Modi eius at porro; then Consequuntur autem tempora laudantium reiciendis"""
mr_francis_8875;6.0;83.1;68.2;"""Note: Suscipit amet fugit; then Consectetur aliquid est"""
dr_howe_8210;47.0;15.1;3.2;"""Ipsam; Recusandae possimus earum adipisci Accusamus nesciunt mollitia reprehenderit"""
mr_edwards_8760;17.0;39.1;55.2;"""Occaecati error; Odit molestiae rem Aliquam sequi"""
jonathan_watson_9241;6.0;45.1;;"""Iure inventore distinctio; Quis dolorum assumenda Velit ex ullam"""
dr_kay_1258;32.0;54.1;89.2;"""Maiores assumenda: Tempore iusto; Impedit et"""
aimee_sykes_6373;34.0;1.1;74.2;"""(Earum explicabo eligendi voluptatibus) ; Delectus quidem and Ipsa nostrum maiores iure unde itaque"""
russell_watts_2952;47.0;69.1;93.2;"""Tempore voluptatem; Magni sequi dolorem accusantium saepe Veritatis repellendus"""
dr_akhtar_0056;22.0;17.1;50.2;"""(Aut consequatur dolores dolores occaecati veritatis) ; Ipsum aut accusamus and Repellendus recusandae cupiditate dolorum"""
mrs_brien_5624;14.0;79.1;72.2;"""Voluptate excepturi ducimus; Saepe quam inventore ; Ab nobis"""
martin_reed_6494;19.0;5.1;64.2;"""Porro commodi; Facere ex Iure"""
dr_carter_2671;;24.1;44.2;"""(Voluptatem odit totam) ; Inventore impedit mollitia ab assumenda and Sint odit"""
jasmine_stanley_4407;42.0;75.1;24.2;"""Repudiandae id; Corporis similique perspiciatis repellat Consequuntur dicta"""
lisa_dodd_4580;17.0;20.1;96.2;"""(Aspernatur voluptates perferendis) ; Reiciendis and Nesciunt beatae numquam a"""
mr_curtis_3016;96.0;74.1;76.2;"""Ab animi sunt adipisci; Perspiciatis ; Quos ratione iste"""
ian_hunter_7779;38.0;15.1;75.2;"""Inventore aspernatur reiciendis quaerat minima; Eos molestias cum Itaque molestiae"""
stephanie_sinclair_5447;88.0;3.1;53.2;"""(Qui recusandae dolorem aspernatur provident) ; Quia dolor and Tenetur"""
clare_hunter_3827;79.0;35.1;14.2;"""Occaecati laudantium repellat eos: Optio non; Laborum beatae sint ducimus"""
sophie_rees_9866;33.0;;50.2;"""Reprehenderit impedit suscipit eius non ipsam; Amet blanditiis harum ; Nostrum ipsum laudantium unde commodi aliquam"""
