name,username,price,total_count,remark
Lori Greer,lori_greer_2918,3.0,60.1,'''Leg face understand, Finish stuff Firm'''
Glenda Smith,glenda_smith_0882,17.0,82.1,'''Within probably wrong let hotel blue fund; Suffer , Check difference chair'''
Teresa Rogers,teresa_rogers_2862,30.0,71.1,'''Note: Window sport guy option give, then Those phone summer'''
Matthew Dixon,matthew_dixon_5931,14.0,,'''(Election exist stuff century) , Second up sign law and Side'''
Jorge Rice,jorge_rice_6719,89.0,33.1,'''(Continue) , Section send and Risk work'''
Shannon Pena,shannon_pena_1578,77.0,11.1,'''Wear general; Concern audience save , Near'''
Jason Miller,jason_miller_9475,,7.1,'''Note: Whether American trip, then Way'''
Lauren Haley,lauren_haley_2899,85.0,10.1,'''Note: Social crime bag sister trade, then Strong performance'''
Olivia Moore,olivia_moore_6699,73.0,54.1,'''Hear lose; Draw guess , Reveal drive'''
Harry Cain,harry_cain_0045,62.0,5.1,'''(Over give) , Person and Where series'''
Maurice Benson,maurice_benson_6380,10.0,54.1,'''Method create explain plan care; Low shake , Politics show machine group place'''
Morgan Chase,morgan_chase_0582,62.0,67.1,'''Money about different sell that any; Customer someone available , Right no'''
Nicole Fleming,nicole_fleming_9095,97.0,3.1,'''Note: Down structure top, then Whole'''
Daniel Levy,daniel_levy_5748,13.0,96.1,'''Car information: Eye, Military window recent when'''
D,karen_james_2548,29.0,62.1,'''Agency read above; Of mother choose age television , Town let issue seven'''
Bonnie Jacobs,bonnie_jacobs_0393,88.0,44.1,'''(Keep wear whole up mother) , At mother key human and Thought'''
Mrs. Madison Martinez,mrs_martinez_2160,62.0,38.1,'''Note: Order share a, then Sport type project'''
Andrew Mcdonald,andrew_mcdonald_9161,63.0,52.1,'''Note: Property process still, then For bill forget race fact mother'''
Dan King,dan_king_3392,51.0,31.1,'''Day wife project; His chance tend see , Career form fund'''
Kathryn Davis,kathryn_davis_3213,57.0,91.1,'''Child experience expect, Decision as involve wall various Test'''
Lauren Simpson,lauren_simpson_9918,42.0,37.1,'''Note: Me guy writer, then State agency none page big'''
Sarah Cowan,sarah_cowan_7330,12.0,69.1,'''Responsibility discover over positive: Visit opportunity member, Stand explain common choice'''
Isaiah Osborne,isaiah_osborne_4007,17.0,13.1,'''Note: Serve product walk, then Sit technology trial meeting significant air'''
Lauren Sims,lauren_sims_5509,19.0,86.1,'''Look own; Mention north community nor drive brother , Believe executive life return'''
Brandon Maynard,brandon_maynard_5259,33.0,56.1,'''(Management born baby major) , However air people operation once thank join and Life represent'''
Adam Smith,adam_smith_2803,87.0,75.1,'''Second natural; Today wall customer , Either'''
Christopher Davenport,christopher_davenport_7218,97.0,57.1,'''History: Cultural movie, Area table doctor'''
Vanessa Ramirez,vanessa_ramirez_6879,74.0,86.1,'''Short, Concern go establish Parent nice could'''
Tonya Grant,tonya_grant_9055,82.0,66.1,'''Old water: Whole, Available end near'''
Heather Greene,heather_greene_7822,71.0,60.1,'''(Church) , But lay letter plan and Majority character defense'''
Gary Stewart,gary_stewart_2528,45.0,74.1,'''Floor sell majority season bad also: Republican care economic, Read fall toward service'''
Rachel Jackson,rachel_jackson_9739,74.0,72.1,'''(Feeling read) , Prevent know and Put however wife'''
Mary Bates,mary_bates_0045,97.0,72.1,'''Note: Left effort, then Compare campaign star'''
Jennifer Williams,jennifer_williams_7484,1.0,58.1,'''(Tend common through past) , Policy and Seven'''
Gregg Shepard,gregg_shepard_0522,43.0,14.1,'''(Allow) , Thus above and Growth measure'''
Jonathan Lee,jonathan_lee_9257,67.0,58.1,'''Field each race mention: Car notice, Memory part'''
