# This is a comment line to skip
username;name;salary;rating;total_count;note
louis_price_8982;Louis Price;28.0;4.1;2.2;"""(Charge president assume) ; Man art and Main from street discussion beyond"""
felicia_shaw_4014;Felicia Shaw;61.0;82.1;71.2;"""Authority opportunity whether he safe: Card bring rock; Ahead movie summer"""
debra_jackson_8312;Debra Jackson;2.0;33.1;15.2;"""Note: New energy light simple interesting; then Necessary"""
hannah_mccullough_8889;Hannah Mccullough;95.0;26.1;100.2;"""Control quickly teacher simply month later: Hard investment; Well economy sense"""
carlos_valencia_9892;Carlos Valencia;2.0;14.1;8.2;"""How possible cell produce describe role theory; Material more Pressure ever week situation"""
hannah_schultz_8172;Hannah Schultz;98.0;46.1;87.2;"""Note: Himself part image action reveal fall; then Develop factor peace"""
david_middleton_1092;David Middleton;89.0;72.1;88.2;"""Within low: Product music; Who hair entire around bad"""
tammy_lee_8493;Tammy Lee;;95.1;23.2;"""Note: Glass night stop; then Out lay"""
alex_mckee_4312;Alex Mckee;71.0;61.1;15.2;"""(Sea drug) ; Both third game military low other trade and Republican"""
james_farrell_1616;James Farrell;58.0;38.1;67.2;"""Note: Common actually wind over; then Interview reason power"""
timothy_brown_2506;Timothy Brown;64.0;99.1;30.2;"""Old; Source simple ; Movie seat pull quickly find"""
christopher_sanchez_5937;Christopher Sanchez;60.0;59.1;49.2;"""Note: Late us; then Final career hard receive among"""
anna_harrison_5193;Anna Harrison;97.0;78.1;65.2;"""Enjoy receive voice; Them company tell ; Cost maybe"""
maria_bryan_4965;e;92.0;;15.2;"""Wish when; Call suffer ; Between visit"""
barry_gray_4266;Barry Gray;46.0;74.1;26.2;"""(Prevent) ; Yourself team and Behavior report standard education"""
paul_larson_3430;Paul Larson;85.0;22.1;49.2;"""(Scientist here) ; Two marriage customer and City"""
cynthia_sanders_6835;Cynthia Sanders;19.0;45.1;50.2;"""Day interesting manager; What kind actually Computer relationship"""
miguel_sloan_3975;Miguel Sloan;22.0;27.1;69.2;"""(Mind bed) ; Large and Entire nation talk explain"""
adriana_flores_1246;Adriana Flores;40.0;29.1;5.2;"""(Consider soldier) ; More some and Fire"""
william_robertson_9146;William Robertson;83.0;46.1;;"""(Behavior sister media) ; Congress address cultural stock choose food and Anyone oil choice"""
lauren_johnson_8175;Lauren Johnson;36.0;66.1;6.2;"""White think oil; Defense can serious authority spend light Evidence and finish"""
