name;username;age;price;comment;summary
Diana Parkin;diana_parkin_7540;95.0;78.1;'''Note: Pariatur est modi; then Atque perspiciatis unde tenetur''';'''Placeat totam quod; Vitae doloremque corrupti ; Quis soluta quos ullam'''
Dr Wayne Brown;dr_brown_3049;55.0;53.1;'''Recusandae repellat tempora deleniti voluptas commodi: Magni eum eos; Ipsa non tempore''';'''Reiciendis: Modi ipsam alias distinctio maiores; Adipisci culpa nobis'''
Terry Harvey;terry_harvey_4697;20.0;3.1;'''Molestiae culpa error ullam: Reprehenderit ipsa nemo; Dolore maxime ab''';'''Note: Ullam; then Possimus ipsa'''
Michelle Hancock;michelle_hancock_6034;86.0;26.1;'''Quo eum; Incidunt perspiciatis facere modi Totam aliquam repellat ipsum''';'''Id voluptatibus ex: Illum voluptatibus doloremque voluptatum; Quibusdam quibusdam ratione'''
Carly Hill;carly_hill_9645;86.0;1.1;'''Ipsam aspernatur; Dignissimos ipsum praesentium Fuga dolor eum''';'''Recusandae debitis facilis rem soluta tempora: Officiis dignissimos culpa maiores laboriosam; Architecto nihil consequatur et saepe iure'''
Mr Dean Arnold;mr_arnold_2708;98.0;4.1;'''Note: Minima exercitationem exercitationem numquam; then Earum amet hic quisquam vero''';'''Porro: Soluta vitae voluptates eos ratione tempore; Eaque tempore repellat sed tenetur'''
Mr Stuart Naylor;mr_naylor_4967;27.0;40.1;'''(Officiis ab nihil) ; Ipsum rem ex and Natus quam officiis iste suscipit officia''';'''Note: Maxime aspernatur maxime maxime qui; then Nihil reprehenderit in dolorum deserunt asperiores'''
Colin Moore;colin_moore_2764;61.0;79.1;'''Note: Ducimus; then Labore''';'''(Praesentium occaecati) ; Aliquam nesciunt sapiente temporibus and Aperiam id'''
Mr Jeffrey Evans;mr_evans_0972;5.0;35.1;'''(Doloremque id labore ipsa) ; Modi repudiandae dolor and Aperiam nihil in iste''';'''Accusamus voluptatem doloribus illum; Neque deserunt delectus fugiat laboriosam voluptas ; Repellendus voluptatibus reiciendis'''
Nigel Norton;nigel_norton_9838;12.0;;'''Voluptatem soluta enim; Eaque Minus assumenda temporibus dicta error''';'''Illum fugit saepe eaque; Quae esse optio et ; Pariatur veritatis saepe'''
Kim Brookes;kim_brookes_4337;76.0;47.1;'''Nesciunt: Culpa delectus vitae sapiente labore dolores; Dicta sit''';'''Note: Nihil dolores; then Reiciendis laborum'''
Dr Olivia Adams;dr_adams_5042;24.0;100.1;'''Consequatur dolores: Rerum; Qui esse''';'''Note: Dolorum pariatur; then Quibusdam quaerat'''
Jasmine Hodgson;jasmine_hodgson_3407;88.0;30.1;'''Note: Aliquam ad praesentium saepe sit; then Assumenda iusto''';'''Officiis iusto; Itaque est Doloribus sequi'''
Mr Kieran Martin;mr_martin_3647;19.0;51.1;'''(Id reiciendis) ; Consequuntur beatae and Ex quibusdam possimus cupiditate''';'''Eveniet laudantium sequi; At labore Nemo animi pariatur'''
Dylan Norton;dylan_norton_8235;61.0;11.1;'''Incidunt odio labore; Quaerat eligendi sed voluptate Saepe error''';'''Deserunt; Praesentium ; Rerum facere similique veniam repellat molestiae'''
Janet Hughes;janet_hughes_8547;3.0;57.1;'''Aliquid officiis corrupti consequatur: Iusto aliquid excepturi consequuntur; Itaque odio voluptas''';'''Facilis accusamus praesentium fugit; Repudiandae ; Nesciunt quam vitae distinctio'''
Dr Olivia Smith;dr_smith_9491;30.0;52.1;'''Veritatis; Minima at beatae rerum Eum sint voluptate libero assumenda assumenda''';'''Reiciendis laborum illo ipsum: Est pariatur; Iure quam eligendi quibusdam'''
Chloe Kerr;chloe_kerr_8920;61.0;48.1;'''Note: Soluta nisi; then Amet''';'''Note: Earum quae consectetur modi; then Expedita magni dignissimos'''
Grace Porter;grace_porter_4248;23.0;10.1;'''Nam totam fugit recusandae minima eius; Mollitia Cum''';'''Delectus eum amet distinctio: Accusamus suscipit libero; Officia nostrum suscipit'''
Anthony Lambert-Harris;anthony_harris_2132;13.0;81.1;'''(Officia adipisci excepturi) ; Veniam and Commodi neque cumque consectetur voluptate''';'''Beatae eum; Commodi expedita ; Id excepturi'''
Ms Brenda Davies;ms_davies_6122;77.0;6.1;'''Magni quia; Sint recusandae ; Cumque cupiditate illum minima''';'''Laborum illum dolor; Error ; Dolorem'''
Mr Jonathan Taylor;mr_taylor_6971;20.0;91.1;'''Temporibus; Voluptates nesciunt suscipit Eligendi quibusdam''';'''Illum quas perspiciatis illum itaque: Reprehenderit provident; Inventore quibusdam'''
Amber Chapman;amber_chapman_7383;3.0;79.1;'''Incidunt; Natus mollitia Dolores modi''';'''(Tenetur suscipit) ; Quisquam placeat veniam eos and Illo modi magni nostrum eum'''
Colin Armstrong-Haynes;colin_haynes_6668;37.0;42.1;'''Note: Perferendis quam consectetur id minus voluptatum; then Maxime ratione''';'''Ullam tenetur; In atque Totam eveniet et alias'''
Dr Elizabeth Ward;dr_ward_6659;8.0;46.1;'''Pariatur illo rem illo: Molestias minima; Delectus dolores perspiciatis incidunt nihil amet''';'''Eos doloribus sequi tempora; Repudiandae earum consequatur dolore possimus ad Vero explicabo distinctio'''
