# This is a comment line to skip
username,name,price,summary,remark
amy_law_4015,Amy Law,1.0,'''Fugit error quae, Amet sunt mollitia beatae possimus sequi Officia odio''','''(Culpa provident cupiditate officiis natus) , Vero dolorem mollitia accusantium consequatur commodi and Error dicta repellat dolorem'''
matthew_khan_0719,Matthew Khan,19.0,'''Excepturi soluta; Inventore , Nemo''','''Voluptatum molestiae deserunt, Esse necessitatibus Dignissimos debitis sunt'''
shirley_lloyd_2352,Shirley Lloyd,74.0,'''Note: Ipsum incidunt asperiores, then Laboriosam cum laudantium in autem optio''','''Molestias at provident: Commodi id enim natus, Nam aperiam reprehenderit'''
jane_manning_5620,Jane Manning,100.0,'''Quasi repellat: Adipisci iure, Pariatur possimus saepe''','''Tempora id asperiores perferendis repudiandae, Eos laudantium corporis perferendis Reiciendis perferendis'''
leslie_bennett_1208,Leslie Brown-Bennett,48.0,'''Dolores ea laboriosam assumenda iusto; Iste nesciunt quo rem , Quidem commodi omnis''','''Hic suscipit rem, Facere consectetur libero nesciunt assumenda Nobis vel a provident'''
christopher_jenkins_1540,Christopher Jenkins,81.0,'''Fugiat laudantium expedita; Consectetur eligendi explicabo , Odio fugit officia aperiam quasi''','''Quasi eaque in quas: Tempore magni rerum, Sit ducimus repellat'''
david_bentley_9908,David Bentley,20.0,'''Note: Natus facere autem, then Numquam fugiat dolor deleniti voluptas''','''Note: Vel, then Iure recusandae distinctio'''
timothy_mclean_8149,Timothy McLean,100.0,'''(A quod veritatis fugiat temporibus) , Doloremque minima and Veritatis illo neque exercitationem''','''Cupiditate iusto ipsam doloribus: Sapiente quos, Beatae facilis voluptas'''
frederick_baker_0669,Frederick Baker,39.0,'''In doloribus reprehenderit, Quibusdam illo quas Incidunt amet iusto corporis officia''','''(Maxime architecto consequatur magnam ea ab) , Exercitationem and Delectus tempore blanditiis aliquid'''
dr_watson_4900,Dr John Watson,39.0,'''Deleniti recusandae: Beatae hic voluptatibus laborum suscipit, Velit beatae''','''Et odio harum libero aliquid veritatis, Veniam Eligendi iure'''
alice_thomas_3384,Alice Thomas,73.0,'''Ab perspiciatis, Corporis Dolores incidunt''','''Dolorum sequi ab vero dicta; Nostrum distinctio architecto , Nam qui'''
colin_palmer_3897,Colin Palmer,58.0,'''Note: Sit doloribus quis magni dolorem omnis, then Adipisci quaerat voluptatum''','''Consequuntur explicabo, Unde temporibus voluptas Suscipit beatae eaque'''
marion_thompson_9607,Marion Rose-Thompson,96.0,'''Note: Iusto praesentium tempore, then Iste ipsam animi delectus tenetur''','''Facilis odit dicta et; Explicabo consequuntur recusandae a dignissimos , Veniam'''
francis_blake_1294,Francis Blake,8.0,'''Note: Dolor veniam et occaecati, then Sint cumque''','''Sint similique: Possimus ducimus vitae pariatur, Quasi'''
anthony_rowley_9029,Anthony Rowley,91.0,'''(Dolorum cum) , Maiores and Sequi repellendus''','''(Sequi) , Neque quibusdam placeat and Porro eveniet odio officia quisquam'''
carolyn_pugh_9324,Carolyn Patel-Pugh,50.0,'''(Officiis excepturi) , Totam architecto reprehenderit excepturi and Eum fugiat''','''Assumenda tempore: Pariatur sapiente rem, Cum accusamus molestias repellat'''
hazel_short_1104,Hazel Short,86.0,'''Repudiandae excepturi magni: Reiciendis aspernatur quod omnis asperiores nostrum, Repudiandae quibusdam ut''','''Alias quo; Odit eum , Natus amet'''
eleanor_roberts_7869,Eleanor Roberts,80.0,'''Recusandae laboriosam: Quaerat, In praesentium aspernatur''','''Distinctio est ex voluptatem ab perferendis; Vitae , Natus maxime itaque vero'''
mr_preston_2395,Mr Sam Preston,68.0,'''(Praesentium) , Quae aut quasi expedita doloremque and Minus nihil provident nemo''','''Est explicabo non explicabo neque: Voluptatibus deserunt, Ullam eaque vitae officiis'''
mohammed_rees_2477,Mohammed Rees,27.0,'''(Exercitationem perspiciatis) , Nam beatae and Iusto excepturi ea nobis''','''(Consequuntur et) , Illum atque consectetur voluptas optio and Esse mollitia sunt porro'''
mr_davis_9035,Mr Gerald Davis,52.0,'''Molestias voluptate: Natus deleniti, Iste voluptate aliquam praesentium''','''Quae; Reprehenderit fugit hic repellendus , Necessitatibus tenetur'''
