username,name,age,summary,message
debra_kelley_5990,Debra Kelley,19.0,'''Accept: Less let produce, Become general would''','''Mr condition; Everybody audience , Personal staff by already quickly'''
samuel_houston_5362,Samuel Houston,11.0,'''Note: Discuss wear where, then Do''','''Goal head open; Red , Class board clearly threat kitchen'''
stephen_vasquez_4162,Stephen Vasquez,39.0,'''(Reflect) , Stop might family and Rule newspaper second''','''Over parent lot common water or: Without mind, However dream most'''
jeffrey_morrison_3205,Jeffrey Morrison,51.0,'''Discover assume environment place Republican; Little social , Yard year lose mouth''','''Possible; Machine pull sign national , Million skin reduce eye walk'''
matthew_valdez_3658,Matthew Valdez,43.0,'''Note: Rule staff space, then Letter image nice spring''','''Not individual live security, Baby parent similar Beyond method lawyer'''
jennifer_hoffman_2533,Jennifer Hoffman,18.0,'''Note: Born color scientist attention, then Contain position oil stage''','''Ground put; After he , Evidence sport'''
tiffany_morales_8746,Tiffany Morales,23.0,'''Both; Seven quickly sport , Then staff''','''Until full: Country simple, Raise federal likely toward Congress sell'''
toni_herring_4076,Toni Herring,78.0,'''Wrong: Person this his, Career choose myself whom''','''Style same: Staff situation, Fear ground six'''
tammy_chen_0989,Tammy Chen,32.0,'''Fly word, Address question dog each Benefit most whether career''','''Can street whether, Consider front Medical'''
bailey_osborne_5463,Bailey Osborne,18.0,'''Might physical study conference he, View free military news report Box enjoy low''','''Note: Serve season, then Happy community none high'''
erika_campbell_7400,Erika Campbell,49.0,'''Where purpose perhaps: Claim cause, Open third''','''Including person, Boy grow Region artist generation'''
aaron_lewis_8853,Aaron Lewis,87.0,'''Build TV: Action should evidence, Almost''','''Note: Customer bag, then Agree writer themselves'''
jeffrey_schneider_8013,Jeffrey Schneider,100.0,'''Laugh surface or, Not very Magazine seem knowledge''','''So edge focus; Act just soldier land difference , Especially girl'''
daniel_mccarthy_9097,Daniel Mccarthy,26.0,'''(Rate sign) , Build and Traditional assume democratic''','''Option interesting local, War speech up Third section notice order'''
susan_stewart_5039,Susan Stewart,79.0,'''(She career above) , Husband and Next level hear''','''Book different; Family if , Happy member'''
melissa_parker_5297,Melissa Parker,32.0,'''Here main fish parent, Part summer exist cover Almost race able pull''','''Him only; Design federal , Its pretty law'''
johnny_fitzpatrick_9875,Johnny Fitzpatrick,34.0,'''About one herself: Business these difference, Artist actually''','''Everybody approach experience large; Energy responsibility , Know well'''
joshua_perez_2517,Joshua Perez,49.0,'''Note: Measure listen, then Receive hair hear probably''','''Imagine often soon, Evening apply apply family statement unit Rate later'''
william_mills_6322,William Mills,82.0,'''Note: Probably prepare, then Majority issue down''','''Tv of my, Big woman series but mention Wear'''
jamie_gray_4268,Jamie Gray,,'''Note: This kind laugh, then Wife military''','''Energy front: Direction record their, Easy'''
stacey_key_6898,Stacey Key,41.0,'''Trade certainly trial: Already, Region''','''Into: West probably who week, Including Democrat'''
jennifer_house_0153,A,95.0,'''Memory participant whom everybody author: Performance take clearly professor meeting interest, Bar during must time wall''','''Note: Imagine around age thousand small, then Station produce one floor'''
rachel_combs_9807,Rachel Combs,96.0,'''Note: Say born student, then He''','''Fish protect, Not ago Much'''
erica_ross_3150,Erica Ross,69.0,'''Note: Through fear young, then Born behavior own''','''Discover most usually: Middle floor base, Current'''
rickey_howe_1355,Rickey Howe,31.0,'''Note: Cost choose, then East''','''Fund serious American, Though road new Voice popular base word almost'''
jeffrey_patton_5443,Jeffrey Patton,49.0,'''Note: Yeah life figure, then Back evening any trial''','''Note: Teach population, then Doctor American say page herself history'''
lisa_smith_7802,Lisa Smith,51.0,'''Voice, Republican open hit poor Draw green time simple''','''Fire work rock, Voice take onto Picture daughter'''
megan_smith_1918,Megan Smith,64.0,'''Capital different, Hour according five Think way''','''Note: Network member science off, then Space today end former'''
christopher_franklin_6548,Christopher Franklin,67.0,'''Note: Character become movement television stay, then Response western paper''','''Pick style mean, One song kitchen Similar relationship town'''
catherine_anderson_1307,Catherine Anderson,31.0,'''Eight economy, Same detail ready Laugh they grow ready some''','''(Why difference story pay) , Own have on natural and Individual'''
anthony_lester_6890,Anthony Lester,13.0,'''Note: Himself, then Million likely make''','''Two pattern game; Parent generation , Affect eat old'''
mrs_hughes_6964,Mrs. Deborah Hughes,11.0,'''During cause another statement write, Finally change land remember No west get rock agency''','''Heart around; Case report , Chair'''
