# This is a comment line to skip
username;name;price;score;total_count;remark;comment
adam_hernandez_1978;Adam Hernandez;96.0;11.1;56.2;'''Note: Benefit organization amount carry; then Daughter anything forget''';'''Across what worker share his; Himself Behind'''
devin_bruce_2986;Devin Bruce;94.0;13.1;15.2;'''Single usually indeed themselves middle: Admit specific difficult speech individual; Believe call''';'''Note: Situation section indicate not left rule; then Order according leave want'''
victor_johnson_3518;Victor Johnson;36.0;35.1;9.2;'''Simple early: Between once deep; Cold song perform open''';'''(Data wife) ; Current step me and Sing'''
vanessa_turner_0088;Vanessa Turner;74.0;21.1;65.2;'''Image leave if: Keep leader; Memory likely follow example game''';'''(Yeah would tree education me) ; Art operation challenge standard they then and Yeah discussion national statement'''
spencer_robinson_7297;Spencer Robinson;36.0;83.1;53.2;'''Note: Hot west how; then New film water''';'''Note: Gun organization; then Him director'''
george_cuevas_4296;George Cuevas;23.0;87.1;;'''Program conference; Writer author main Together deep today author listen federal''';'''(Partner environment picture baby operation song) ; I sort give employee and Better south though son lead'''
steven_montoya_3816;l;56.0;59.1;17.2;'''(Increase fish rate team bring present) ; Interesting campaign dream strong and Center discussion fly budget''';'''Easy; Finish ; Identify social receive'''
caleb_brown_8109;Caleb Brown;83.0;;89.2;'''Goal media prepare appear dark shoulder so; Author thousand list Family''';'''(Begin since) ; Once and Prove prevent baby'''
amanda_smith_0819;Amanda Smith;60.0;43.1;47.2;'''Keep yard dream ok: Agreement daughter; Head try rather''';'''Herself down itself former little; Use leg Congress ; Choose cover'''
joshua_miller_6677;Joshua Miller;99.0;65.1;7.2;'''Note: Strategy; then Support follow cut word lose''';'''Note: Radio argue cultural; then Character answer so same left'''
brandon_bird_3476;Brandon Bird;1.0;25.1;95.2;'''People drop surface; Control Successful write''';'''Note: Hotel back fish; then Effort several'''
elizabeth_cohen_8606;Elizabeth Cohen;26.0;1.1;82.2;'''Note: Continue; then Offer''';'''(Boy during matter tell decision) ; Century style east other tough hundred and Policy tonight'''
lonnie_townsend_3922;Lonnie Townsend;62.0;33.1;89.2;'''Simply thus language ground; During hit ; Indeed forget resource fire school''';'''Note: Particular method; then Challenge shoulder'''
selena_taylor_9991;Selena Taylor;;52.1;42.2;'''Back ball sense hour: Bill just mouth; College buy hit peace''';'''Him some quickly; Tax individual ; Range value'''
dennis_sosa_0293;Dennis Sosa;57.0;6.1;11.2;'''That almost increase join: Hand; Receive table''';'''Magazine real: Necessary through face; Human painting'''
natalie_ramos_6972;Natalie Ramos;37.0;49.1;30.2;'''Note: Wear wear feel exactly ever; then Whatever question''';'''Note: Arrive idea glass fall; then Than'''
kathleen_willis_7640;Kathleen Willis;24.0;45.1;81.2;'''Instead speech; Analysis under feeling ; Government local''';'''Voice note; Present movie allow create ; North'''
manuel_li_0318;Manuel Li;72.0;81.1;63.2;'''Note: Discussion yourself performance; then Whether never maintain easy small''';'''Challenge government reduce: Response meeting least; Language current child'''
karen_reed_4163;Karen Reed;2.0;81.1;59.2;'''Note: Story step prove investment; then Security control character listen speech''';'''Itself bank by usually; Security ; Woman full'''
mark_reed_2249;Mark Reed;1.0;78.1;29.2;'''(Too put) ; Catch coach case onto and Than off task sound''';'''Assume small until; Sea such ; Another'''
victoria_thomas_3008;Victoria Thomas;84.0;69.1;57.2;'''Operation; Sound Among car''';'''According; End song choice Crime section'''
catherine_cook_7881;Catherine Cook;70.0;77.1;34.2;'''Seat skin also should member; Half character floor industry ; Speech less''';'''Note: Outside PM seven; then Report shoulder other would'''
ashley_stafford_3005;Ashley Stafford;52.0;72.1;90.2;'''Note: Whatever consumer carry garden; then We actually safe''';'''Break name: Within president; Official billion resource'''
michael_myers_4046;Michael Myers;38.0;56.1;26.2;'''(Whose) ; Business and Most project''';'''Note: Through until movement; then Go decide'''
christian_jacobs_1012;Christian Jacobs;55.0;92.1;30.2;'''Box item often as: Card door citizen; Pressure well shoulder near''';'''(Degree event college thank) ; Art exist and Discuss lawyer cup'''
todd_jr_4629;Todd Howe Jr.;96.0;46.1;92.2;'''Trade TV food; Project expert perhaps Society boy understand''';'''Catch: Have owner; Total'''
ana_king_5550;Ana King;97.0;54.1;1.2;'''Local name stage represent later; Ground million human without allow Oil''';'''Benefit; Team Particularly medical bring reason'''
matthew_coleman_2464;Matthew Coleman;22.0;32.1;8.2;'''Trial end oil more; Think candidate ; Gun light''';'''Owner young offer; First happen up little only figure ; Night maybe town apply skill'''
matthew_jones_0950;Matthew Jones;87.0;41.1;37.2;'''Note: Response nearly traditional big; then Single our growth''';'''Toward house: Data reason somebody involve; Around machine'''
jeremy_scott_5885;Jeremy Scott;24.0;22.1;29.2;'''Often available necessary; We leader air Culture city bill''';'''Note: Instead imagine sort; then Bring school perform'''
