name	salary	description
Robin Holmes DDS	79.0	"""Performance right hold skin training; Executive paper sell southern how 	 Up help card build wonder born"""
Kristen Johnson	100.0	"""Seek serious how design: Leave minute	 Point board edge white place source"""
Patrick White	68.0	"""Food Mrs usually: Right mouth financial power	 Type or somebody candidate top"""
Brittany Sutton	70.0	"""(Here upon exist nor) 	 Fish care and Model alone"""
Anthony Tucker	54.0	"""Note: Nature shake	 then Popular PM person beautiful"""
A	40.0	"""Action control: And popular	 Carry happy term raise"""
Taylor Jones	70.0	"""Born also	 Look cell let cover Choice travel into"""
Nicole Martinez	10.0	"""Happy stock fine war stage; Next next friend government especially 	 Kind"""
Debra Wood	36.0	"""Huge defense first whose	 Skin example Hair"""
Tyler Reynolds		"""Author form: Place window	 Force big civil"""
Scott Smith	91.0	"""Teacher would traditional: Everything Democrat	 Above"""
Tracy Parker	39.0	"""Note: Nothing should	 then The election"""
Kyle Brooks	26.0	"""(Stop pressure sport door Mr let) 	 Again and Individual authority"""
Sara Flores	50.0	"""Term smile body	 Ask next score available Political"""
Kara Hansen	30.0	"""Note: Huge fire	 then Take deal similar girl bring"""
Sherri Warren	62.0	"""(Yeah door) 	 Case campaign and Standard appear usually you"""
Paul Clark	73.0	"""Note: Animal	 then Reality"""
Corey Hoover	60.0	"""Might growth his woman particular	 Control administration admit Condition fill month"""
Christine Ellis	57.0	"""(Pm teacher) 	 Effect painting happen hold positive and Think bar war science"""
Lisa Ho	65.0	"""Old husband class effect	 To whole item matter those Organization military war"""
Dana Quinn	75.0	"""Note: Fly whose	 then Minute type community"""
Angela Nelson	74.0	"""Note: Wear middle trade	 then Animal too"""
Elizabeth Gilmore	24.0	"""Note: Agree try trade	 then Modern real reach store"""
Carla Joseph	15.0	"""Another	 Land day Out interest rich"""
Amanda Jones	45.0	"""Language matter have traditional; Performance level determine 	 Reflect look around knowledge stay"""
Benjamin Bell	70.0	"""(Realize wide boy center a) 	 Letter poor and Page success"""
Andrea Hamilton	89.0	"""Feel reason natural material think; Red federal area 	 Treat couple"""
Robert Young	47.0	"""Mind grow for	 Spend phone firm behind Adult sell Democrat"""
