# This is a comment line to skip
username;name;age;rating;score;remark
tricia_lambert_2930;Tricia Lambert;7.0;72.1;18.2;'''Modern between early situation; Policy example mouth popular ; Realize myself tell'''
adam_alvarez_4297;Adam Alvarez;25.0;91.1;40.2;'''(On fire) ; Too foreign practice and Set eye west town base'''
emily_ramsey_7458;Emily Ramsey;99.0;;42.2;'''Note: We ball think; then While'''
lori_mack_2076;Lori Mack;57.0;58.1;95.2;'''(Push) ; Approach serve reason and State improve'''
laura_watson_2632;Laura Watson;24.0;70.1;21.2;'''(Ability) ; No build and Change sit'''
brian_wallace_4049;Brian Wallace;47.0;95.1;66.2;'''Note: Store difference friend common; then Music'''
david_taylor_6275;David Taylor;96.0;52.1;89.2;'''Camera; Measure Tv with technology'''
jesus_md_6178;Jesus Jones MD;46.0;26.1;30.2;'''Note: Seven Republican skin; then Citizen technology know'''
scott_rodgers_3486;Scott Rodgers;96.0;79.1;63.2;'''Suddenly usually; Win pull budget old film ; Partner the go firm wonder treatment'''
jaime_carey_3034;Jaime Carey;5.0;81.1;56.2;'''(Choice yard already up) ; And according and Dark knowledge allow'''
kara_williams_8648;Kara Williams;62.0;28.1;46.2;'''You; List tough goal Listen'''
rachel_campbell_4045;Rachel Campbell;9.0;71.1;;'''Program herself fill everyone statement; Table ground window Oil heart positive everyone American'''
sandy_turner_3914;Sandy Turner;31.0;30.1;79.2;'''Note: Really art lay thus walk; then Get fast mouth meet'''
dr_nguyen_4230;Dr. Michael Nguyen;49.0;57.1;90.2;'''(How certainly official) ; Think reach dark and Cut experience recently throughout'''
robert_herman_2869;Robert Herman;53.0;18.1;27.2;'''Onto customer: Democrat would rich; American far party stage'''
michael_diaz_4078;Michael Diaz;79.0;73.1;3.2;'''Note: Town adult; then Seek experience'''
brad_davis_7459;Brad Davis;8.0;22.1;14.2;'''(Team fill) ; Author also exactly and Economy thing culture'''
mr_dds_0974;Mr. Zachary Lynch DDS;33.0;6.1;40.2;'''Within return; Treat defense Long middle respond wind here'''
sandra_scott_2654;Sandra Scott;87.0;41.1;37.2;'''(Alone) ; Law meet couple and Behind suffer serious side police'''
jennifer_hardin_7559;Jennifer Hardin;56.0;46.1;11.2;'''(Will manage see particularly soon five) ; Try later and Total they'''
jeremy_shah_3935;Jeremy Shah;47.0;21.1;16.2;'''Note: Apply relate artist bed through; then Walk knowledge main reduce mind'''
ashley_smith_2959;Ashley Smith;100.0;54.1;38.2;'''Note: Reveal center; then Month task grow hard'''
leslie_gibbs_4439;D;79.0;21.1;19.2;'''Science ok option: Blood sit today heavy gas base bag; Main draw'''
anita_powell_0630;Anita Powell;97.0;65.1;44.2;'''(Market role television) ; His simple and Risk church'''
michael_dickerson_1565;Michael Dickerson;45.0;82.1;71.2;'''Section of; Management Item store success'''
amanda_jacobs_7643;Amanda Jacobs;;10.1;48.2;'''Indeed particular: Room; Quickly'''
jacob_butler_4200;Jacob Butler;60.0;45.1;36.2;'''(More east government) ; Seven fact way economy go and Vote'''
anthony_le_6846;Anthony Le;61.0;23.1;95.2;'''Focus soon federal choose; Memory program pretty ; Meet language their though'''
roy_richardson_6726;Roy Richardson;88.0;71.1;19.2;'''This against; Effort forward to past ; Party front bag drug'''
