# This is a comment line to skip
username,price,salary,age,description
sharon_parker_3284,44.0,48.1,27.2,'''Beautiful doctor, Son short Increase reason'''
allen_cox_4431,12.0,100.1,79.2,'''Soldier, Service Appear source store usually'''
brian_vazquez_6183,8.0,,1.2,'''Store then spend car simple: Grow while, Nothing move provide detail'''
angela_castillo_2478,50.0,38.1,90.2,'''Another chance, They take Production say benefit remain'''
justin_lowe_2146,80.0,85.1,80.2,'''Happy among; Herself might , Third memory doctor'''
tony_mason_3043,22.0,60.1,95.2,'''Determine name season sell, Actually weight Within'''
brandy_carrillo_9114,,80.1,95.2,'''(Sign seat such) , Country control and Too shoulder relationship'''
jessica_townsend_2097,98.0,98.1,26.2,'''Note: Level hair receive suggest herself specific, then Use smile choose'''
patricia_kelly_9913,95.0,83.1,5.2,'''(Life exist again) , He that include and High culture own'''
zachary_glass_1653,66.0,90.1,73.2,'''Thousand hair store: Present Mr, Fight tough'''
virginia_moore_5664,47.0,70.1,57.2,'''Issue ok thing; Significant especially center , Ago worker learn'''
gloria_anderson_7262,80.0,3.1,57.2,'''Trade either smile, Idea everyone Drive meet vote'''
tracy_green_5428,12.0,78.1,65.2,'''Big up, Local Specific feel wait describe tend allow'''
megan_davis_6890,17.0,24.1,60.2,'''Others get short, Five student once Soon century'''
carlos_jacobs_4799,3.0,88.1,48.2,'''Note: Star born, then Firm way'''
randy_kelly_5136,57.0,76.1,32.2,'''Receive trip; Model care , College trouble'''
rebecca_crane_8964,67.0,39.1,29.2,'''Wonder computer this price beautiful, Nature attorney authority couple their Speak building whose manager least'''
cindy_banks_5714,11.0,54.1,62.2,'''Note: Report throw, then Possible'''
christina_powell_3894,68.0,23.1,76.2,'''General it improve: Represent add live, Forward hospital'''
sherri_moore_0160,78.0,28.1,76.2,'''Prevent: Especially most skill protect quality, Ability you'''
sara_white_0669,64.0,71.1,18.2,'''Old; Blue fall eat could model , Voice other past'''
ricky_shah_5476,57.0,74.1,49.2,'''Allow simple church strong: Any pretty, Parent better throw'''
brandon_andersen_1542,43.0,31.1,72.2,'''(Memory night opportunity least bed) , Finish and Into little meet few'''
mary_bennett_0476,78.0,5.1,48.2,'''Note: Real, then Discuss early'''
michelle_kerr_7676,42.0,8.1,,'''(Red force) , Reason on senior during to and Situation matter why'''
