name,username,total_count,message
Brenda Campbell,brenda_campbell_1864,33.0,'''Something local: Mother recognize, Book'''
Samantha Riggs,samantha_riggs_1552,,'''Health wide coach: Drive, Behind real southern determine eat'''
Eric Green,eric_green_1664,21.0,'''Media capital international, Feel Contain ball teach'''
Natasha Berry,natasha_berry_5609,70.0,'''What protect: Professor computer whether, Huge per buy'''
Michael Morgan,michael_morgan_5124,89.0,'''(Design range) , Would community and Game always color'''
Richard Smith,richard_smith_1080,52.0,'''Find matter: World wall later, Modern face'''
x,norman_keller_1412,71.0,'''Pretty contain instead improve; If , Whether professional education whom'''
Adrian Smith,adrian_smith_9459,43.0,'''(Rock should director) , Believe her radio order personal radio and Goal politics talk long rise'''
Maria Davis,maria_davis_4148,39.0,'''Note: Employee notice care, then Method recently'''
Kayla Hunt,kayla_hunt_4921,83.0,'''(Bed answer beat) , Modern and Green else sense recently quite us'''
Tony Campbell,tony_campbell_5693,56.0,'''Nothing improve understand five great; Option least sort station , Probably himself positive'''
Craig Herman,craig_herman_9440,22.0,'''Note: Paper us hospital, then Wonder option past red'''
Terri Adams,terri_adams_8713,36.0,'''(Family tell today price) , Half stuff teacher lead and Nice away painting federal interest'''
James Roberts,james_roberts_2017,52.0,'''Minute produce: Spring as summer current rock, Former'''
Jose Escobar,jose_escobar_0721,89.0,'''(Debate knowledge activity use describe) , Born appear decision eye like and Lose opportunity'''
Gary Griffith,gary_griffith_0866,52.0,'''(They cultural population) , College top cost and There'''
Samantha Strickland,samantha_strickland_4962,70.0,'''Recognize eye writer: Itself be, Deal writer improve'''
Tamara Hull,tamara_hull_3323,6.0,'''Writer pay, Very protect large answer Glass her'''
Andrea Jones,andrea_jones_3342,14.0,'''Trip thought whether require argue; Building method want , Suffer send consider town'''
Miguel Sanders,miguel_sanders_5770,63.0,'''Hour, It leg avoid According individual teacher'''
Destiny Proctor,destiny_proctor_9583,46.0,'''Town, Service End mouth professional result exist mother'''
