username,name,price,age,salary,description
joel_lee_6869,Joel Lee,10.0,80.1,94.2,'''(International throughout hotel) , Table discussion and Direction imagine'''
dawn_warren_8188,Dawn Warren,94.0,79.1,38.2,'''Note: Material respond, then Month as'''
william_delacruz_9178,William Delacruz,26.0,3.1,100.2,'''Visit run eight, Same employee black enjoy Tv water level final shake'''
amanda_oconnell_6763,Amanda Oconnell,30.0,49.1,62.2,'''Represent specific ball traditional heart, Kitchen window threat any Beyond offer'''
jose_espinoza_7384,Jose Espinoza,15.0,75.1,87.2,'''Term benefit land, Be training Each your woman'''
kelly_griffin_5676,Kelly Griffin,54.0,,6.2,'''(Have now beyond room) , Set rule and Great beautiful'''
megan_rojas_2725,Megan Rojas,,83.1,63.2,'''Guess approach rock hit three: Exactly these staff, Listen listen middle sound pull'''
marissa_stafford_0209,Marissa Stafford,58.0,23.1,97.2,'''(Approach name) , Network card and International technology whom south'''
loretta_phd_0342,Loretta Butler PhD,46.0,43.1,38.2,'''Dark idea more: Himself paper, Age for security'''
steven_koch_3382,Steven Koch,5.0,83.1,7.2,'''(Mission smile road loss) , Until air power and Technology scientist eight such unit'''
matthew_robinson_8144,Matthew Robinson,51.0,80.1,7.2,'''(Indeed) , Listen yeah traditional sense Mrs and Central'''
steve_walker_2093,x,13.0,79.1,88.2,'''Close audience eight, Wall such Cause morning think there'''
thomas_cooper_1610,Thomas Cooper,46.0,43.1,97.2,'''(One nation his whose behavior) , Resource customer and Mission fly push'''
william_davis_7109,William Davis,21.0,30.1,53.2,'''Feeling often pretty company million; Civil amount eat , Research charge'''
jason_may_1048,Jason May,41.0,94.1,48.2,'''(Join) , Result trade section and Hand teach travel beat'''
cheryl_harper_3732,Cheryl Harper,14.0,96.1,100.2,'''Family check community home especially born, Section usually billion pressure Community recognize relationship'''
samantha_vazquez_3821,Samantha Vazquez,84.0,4.1,19.2,'''Note: Voice care, then Above'''
denise_anderson_7433,Denise Anderson,16.0,91.1,58.2,'''Set record glass; Watch item whole , Effect cover'''
brandon_patterson_4748,Brandon Patterson,70.0,37.1,89.2,'''City growth she organization: Happy similar wear, Next view couple'''
mr_andersen_0300,Mr. Mitchell Andersen,50.0,72.1,13.2,'''Century product; Second , Long economic back physical executive'''
jennifer_fernandez_6223,Jennifer Fernandez,61.0,32.1,71.2,'''Marriage truth; Plant , Approach still although with'''
patricia_wheeler_4480,Patricia Wheeler,25.0,73.1,90.2,'''Live memory together series world: Return throughout doctor, Three consider mission do'''
nichole_mitchell_5515,Nichole Mitchell,18.0,64.1,83.2,'''Book send when; Nature explain decade , Laugh cultural president prevent according'''
andrew_sandoval_7163,Andrew Sandoval,92.0,56.1,,'''Business analysis; Together lawyer news , Could word good article song'''
terrance_smith_4330,Terrance Smith,61.0,69.1,59.2,'''(Fire source) , Sign various not million money consider and Fact identify woman tax share'''
keith_casey_5369,Keith Casey,95.0,33.1,42.2,'''(Mr impact) , Over trial and Sit unit'''
