name	rating	description
Charles Perry	44.0	'''Attention: Arm teach	 About his race'''
Patrick Schneider	74.0	'''Soon turn; Store 	 Decade special house impact'''
Robert Schneider	90.0	'''Always front morning	 Mention per store respond record Discussion break population'''
Heidi Benson	34.0	'''(Computer discuss north bar) 	 Chair building draw stock clear and I outside top senior doctor'''
Adrian Terrell	87.0	'''Sound become foot decade alone half; Modern seek down 	 Describe adult government body money'''
Shawn Acosta	24.0	'''(Yeah happen) 	 White and Bad argue'''
Richard Reid	75.0	'''Writer charge; Gas him 	 Become century group'''
Roger Smith	29.0	'''Down while doctor business: Share process myself hard	 Daughter left book necessary'''
John Martinez	70.0	'''Social: Institution protect down short operation	 Site from result receive another'''
Raymond James	5.0	'''(Would me control leader impact chair) 	 Blue yard oil and Rich instead'''
Brittany Sullivan	85.0	'''Compare build build while many; Cup hospital indeed 	 Read kitchen wish'''
Erica Foster	93.0	'''Note: Population past anything professional on	 then Bring although within necessary it'''
Paul Chaney	22.0	'''Note: Study build	 then Model nearly apply sense if prove'''
Jimmy Thomas	53.0	'''(Thought simply discuss put) 	 Reach learn and Everything'''
Teresa Johnson	70.0	'''Note: Two official we	 then Special fall upon'''
Kari Merritt	72.0	'''From wife poor; Together office 	 Somebody'''
Michael Reed	11.0	'''Across energy movement: Involve wife write yard reality	 Skill international company some'''
James Tyler	27.0	'''Note: Show create guess support	 then Little there rather clear'''
David Mcdaniel	86.0	'''Note hour difficult computer decide interest; About inside pay 	 Agent'''
Charles Powers	3.0	'''(Require whom water) 	 Politics speak large character artist and Hour child class'''
Brian Barron	27.0	'''Note: Entire capital today	 then Cost own'''
Thomas Burke	55.0	'''Note: Us process	 then Local'''
Brian Adams	72.0	'''Marriage stay list: Soldier	 Rather'''
Brittney Garner	46.0	'''Situation	 Foreign according executive experience may likely Son weight ever'''
Donald Silva	1.0	'''(Another involve) 	 Pick attorney and Realize next'''
Sarah Frazier		'''Traditional theory; Radio test practice 	 Everything manage west rather'''
Julie Cole	50.0	'''Church effect: Help grow seem at last	 South customer picture'''
Stephen Fletcher	78.0	'''(Over) 	 However strategy and Certainly'''
o	59.0	'''Note: Process moment remember	 then Suggest word'''
Louis Franco	40.0	'''Take control ask; Television arrive 	 Stop see'''
Mr. Seth Mitchell MD	42.0	'''Personal serious study	 Friend debate walk probably Sure create nice out'''
Kathy Dennis	7.0	'''Drug TV pressure training; Better night 	 Political'''
Stephanie Carlson	43.0	'''Job meet student score play; Including week 	 Claim teach daughter'''
Chase Anderson	68.0	'''(Beautiful admit catch scene among beyond) 	 Travel education and Perhaps research hotel clear'''
Tina Williams	4.0	'''Quite conference economy: Particularly	 Summer our attorney sell'''
