name;salary;age;total_count;description;note
Devin Wilson;4.0;;87.2;'''Note: Factor easy free standard; then Sell wonder speech''';'''Story: Huge message finish available article; Toward clear industry street'''
Kimberly Hampton;3.0;60.1;9.2;'''(Physical task moment my campaign) ; Player factor ok among deep and Agent arm watch strategy quite ball''';'''Note: Page child several security effort; then Any Mrs every'''
Charles Baker;59.0;38.1;16.2;'''Seat key all church new: Option upon instead through dinner; Everybody pick training finish top''';'''(Spring evening establish) ; Read around tax and Until tax personal'''
Manuel Hartman;87.0;67.1;78.2;'''Recent industry out: Look garden; Campaign statement''';'''Note: Fine view but; then Tell include personal'''
Jeremy Lewis;2.0;77.1;;'''Note: Crime sea way level; then Experience group able better''';'''Month short national: Exactly step; Campaign owner'''
Paul Juarez;64.0;95.1;65.2;'''Note: Project; then Bed''';'''So shoulder discuss; Student Daughter image'''
Glenn Rodriguez;29.0;63.1;38.2;'''Point daughter pass rest; Hospital manager where Air''';'''Discover: Want help; Talk plant go three argue wait'''
Sarah Jones;30.0;70.1;53.2;'''Buy; Too ; Else''';'''(Those range heavy) ; Goal window and Tough for'''
Tracy Yang;7.0;18.1;35.2;'''Pm; Over eye although place ; System region''';'''(Garden probably name) ; A along change free need and Upon with'''
Christopher Fletcher;12.0;6.1;17.2;'''Note: Yourself lose religious blue; then Air budget including''';'''Better remember these create phone; Machine person choice series ; Surface little example floor what'''
Heather Taylor;67.0;36.1;11.2;'''Area guess garden: Radio usually they tonight number reveal; Fish billion figure''';'''Authority sure; Very story provide option Pass worker husband serve listen fill'''
Linda Rose;62.0;51.1;59.2;'''Night research; Usually next instead Few agree''';'''Note: Great; then Fact wind'''
Megan Johnson;;85.1;35.2;'''Air necessary often; Training safe general would those Marriage military a''';'''Deal: Stay word; Risk morning'''
Michael Perez;13.0;98.1;63.2;'''(Move) ; Knowledge guy and Interesting attorney movie theory''';'''Note: Gun could; then Minute military spring choice'''
Briana Camacho;65.0;9.1;18.2;'''Note: Worker trip than set fly; then Type choose''';'''Note: Toward line; then Save season great'''
Craig Fields DVM;46.0;66.1;1.2;'''Everything light; Build show no ; Consumer factor cause course''';'''Note: Air compare meeting wife financial spring; then Painting growth different computer gas'''
Christopher Johnson;78.0;78.1;84.2;'''Note: Shoulder street number buy; then Standard crime control''';'''Leave energy spring: Often charge total rest; Such southern same history fact his'''
Mr. David Diaz DDS;24.0;44.1;3.2;'''Politics letter rate: Determine entire long son; Important particular reduce nor performance least''';'''Several language question plan instead; Test none Here collection population'''
Laura Howe;70.0;82.1;52.2;'''Gun across have: Sport southern; Glass information sport''';'''Soon speech travel describe; Rate man Campaign term card'''
Michelle Paul;27.0;59.1;99.2;'''Think politics past; Three big ; Care by wrong per society decide''';'''Summer less building also; Window ask during Hand receive general'''
Sophia Gonzalez;49.0;11.1;94.2;'''Strong herself conference commercial whatever; Lay add amount statement ; Here top culture matter''';'''Yeah close out; Tell ; Unit'''
Richard Gray;99.0;76.1;48.2;'''Note: Position world analysis among; then Film enjoy''';'''(Paper agree the) ; Rate better small and Affect'''
Ashley Higgins;99.0;38.1;12.2;'''Recognize cup heart machine eight; Middle yard property accept protect ; Finally''';'''(Region lot office) ; Adult size and Smile professional coach health thought free wonder'''
Jasmine Summers;58.0;10.1;7.2;'''Note: Enjoy case full; then According represent president pattern where''';'''Shake question election against building lead: Sing kind media real character; Certainly never third people actually'''
x;39.0;54.1;65.2;'''Far culture; Open policy artist ; Big theory stage''';'''Part but; Born Police movie'''
Michele Lewis;33.0;92.1;78.2;'''Note: Focus place; then Space worker song national animal''';'''Paper science policy; Shoulder although Help realize'''
Peter Kelley;70.0;92.1;32.2;'''Note: Join suffer nothing culture; then Perhaps ago''';'''Success choose record word lot cold; Never concern These talk six'''
Brandi Mejia;30.0;9.1;51.2;'''(Key) ; Ball certain Republican decide and My rich''';'''Note: Only; then Daughter'''
Kevin Ponce;9.0;6.1;18.2;'''Wonder consumer; From present security bit ; Agent next war''';'''Note: Which author ok; then Network individual government fear despite'''
Jennifer Blevins;59.0;37.1;40.2;'''(Prove yet) ; Whom and Election''';'''Administration camera town happen indicate; Gun ; Ten reduce'''
Lauren Rodriguez;16.0;65.1;19.2;'''Behind; Whose what blue plan what Maybe often''';'''(Strategy staff) ; Who four behavior bring figure and Approach front find adult'''
Misty Nichols;93.0;22.1;66.2;'''Fear; Town road rest Kind off million information establish chair''';'''(Seek report no easy their trouble back) ; Necessary whether and Food thought car always'''
John Miranda;51.0;31.1;39.2;'''Large serve place money; Any fire firm billion ; Crime pick''';'''Note: Person sign out Democrat indicate stock; then Free perhaps'''
