# This is a comment line to skip
name;rating;age;price;description
Diane Black;95.0;36.1;95.2;"""But north; Better Community may"""
Jessica Cantrell;94.0;57.1;87.2;"""Man reveal while environment: Take away never; Could look fight"""
Jasmine Perry;34.0;93.1;9.2;"""Note: What brother better wait hospital yard; then Which green under down contain"""
Katherine Hoover;32.0;71.1;83.2;"""Note: Maintain but fly nice; then Second wrong consumer science"""
John Eaton;80.0;17.1;79.2;"""Economic across may: Thought section occur; Act guess sister write now professional"""
Lydia Hampton;16.0;42.1;50.2;"""Million and view reduce; Ability necessary ; Strong to team"""
Lisa Bishop;22.0;66.1;17.2;"""(Ok exactly compare space) ; Owner down and Recently radio"""
Raymond Powell;76.0;29.1;32.2;"""Note: Have international project serious risk strong; then Decade ground"""
Blake Taylor;15.0;83.1;15.2;"""Yard poor front reveal; Week type police yes Knowledge same social time situation"""
Stephen Fisher;9.0;73.1;55.2;"""(Half drive arrive strategy) ; Animal campaign and Real small take them"""
Anna Delgado;86.0;55.1;40.2;"""Truth nor dog policy wear sort standard; Expect college ; Difference"""
Dr. Kristy Butler;64.0;9.1;47.2;"""(Owner give game) ; Stock way middle fear question and Enter remember other east"""
Donna Thornton;95.0;52.1;72.2;"""Federal chair: Less off however; Sister tax"""
Brandon Kelley;96.0;66.1;36.2;"""Close choose; Animal race ; Determine hair"""
Jonathan Fritz;45.0;49.1;91.2;"""Might two; Take friend ; Thing range pretty"""
Carly Hopkins;28.0;94.1;43.2;"""Note: Including thank financial local rock; then Reality cause stage person"""
Anthony Jones;23.0;27.1;100.2;"""Responsibility moment exactly light herself; Professor within Role drug"""
Tyler Wells;80.0;27.1;1.2;"""(Former notice) ; Media and Candidate something start"""
Jeremy Morris MD;61.0;84.1;15.2;"""Note: Country treat; then Religious"""
Jennifer Gould;21.0;78.1;;"""Employee age difficult source win: Should mouth; Kind nice"""
Mitchell Smith;67.0;4.1;25.2;"""Keep production: Mother time; Animal pay dog three"""
l;29.0;74.1;51.2;"""Always center perform few; Call debate subject inside interest after ; View agency"""
Christine Harris;86.0;58.1;57.2;"""Tough skill of; Walk care Parent shake"""
Stephen Bruce;4.0;23.1;88.2;"""For apply rather; Final compare sometimes ; During try"""
Kevin Hamilton;;;68.2;"""Clearly TV: Almost big school; Both"""
Michael Patel;90.0;33.1;66.2;"""Forward indeed college I; Citizen road against Law outside"""
Adrienne Jackson;76.0;8.1;69.2;"""(Teacher culture) ; Likely environment and Animal music better painting budget"""
