# This is a comment line to skip
name;score;summary;description
Daniel Burch;12.0;"""Success agreement; Various suggest officer local ; Movement""";"""Follow; Report seven ; Citizen future Mrs pull wide"""
Vincent Wong;74.0;"""Building; Life miss red sort ; Car development them""";"""Society; Strategy ; Role several price feeling tend"""
Susan Black;53.0;"""Message democratic mission admit improve; Girl result Agency address worker near""";"""(Foot debate) ; Fly shoulder tree possible but and Sense myself"""
Samantha Sullivan;28.0;"""Prepare; System Specific""";"""Note: Risk stay star area; then Style"""
Christy Smith;73.0;"""Network: Not; Make describe apply""";"""Catch food many wide: Class sort weight conference central; Laugh back set able almost"""
John Mullins;80.0;"""Note: Evidence generation message; then On see fight enjoy least century""";"""Pretty town nothing; Letter market author ; Agency"""
Ashley Maynard;40.0;"""Change whether compare strategy six; Protect ; Every thus""";"""Some artist cultural end: Next scene white lawyer job receive; Blood rest"""
Gina Wilkinson;45.0;"""(Beautiful no like) ; Wish also use them value hold and Class head""";"""Over answer choice property; Senior tonight local Education its"""
Willie Edwards;85.0;"""Practice class; Record nothing team other Make glass authority""";"""Step practice specific; During store others possible ; Raise"""
Thomas Wilson;98.0;"""(Prevent animal month feeling every) ; Name improve and Member author ability tax""";"""Commercial trade result; Recognize two though ground rather ; Term respond"""
Emily Guerrero;34.0;"""(Charge listen bag) ; Garden and Never field""";"""Cause; Third senior argue For"""
Jessica Chandler;11.0;"""Note: Public size data mother political court; then Matter less ten""";"""Very: Site; Security child"""
Michael Travis;79.0;"""Fact: Safe quite; Decade man traditional test""";"""Authority expect; Religious never During yet woman site couple help"""
Jacob Fitzgerald;44.0;"""Central two improve adult; Consumer doctor Recent itself off similar hope""";"""Doctor example; Side Career office"""
Ronnie Aguirre;73.0;"""Phone director today low; Hospital Pattern plan me American practice education""";"""Court surface federal best war; Participant wish Thousand"""
Jose Thomas;71.0;"""(Expect local company agreement) ; Cut around strategy and Way decide suggest discussion""";"""(Act ask) ; You buy hair open push area and None civil hair professor time call"""
Mark Greene;68.0;"""Want activity: Conference; Oil prevent so might""";"""Other home four possible sister: Customer environment face amount; Activity"""
l;30.0;"""Office with no Congress; I yet center six bad ; Find thank""";"""Crime town; Growth something ; Language various"""
Bradley White;26.0;"""Pass stock then; Radio prove Into threat authority policy""";"""Yourself main play buy sit poor; Behind whole ground wish ; Community ago"""
Gary Matthews;77.0;"""(Evidence) ; Always not and Our""";"""Through: Three ok image success; Whatever husband land nor"""
Sydney Zimmerman;13.0;"""Plan professional hot thank; Traditional Training""";"""Note: Degree again; then Heavy property recognize similar also"""
Jose Griffin;97.0;"""Note: Imagine perform your; then Give wide once north""";"""Ever: Particular accept much still; Rock treat also north"""
Eric Odonnell;;"""Identify account about attention: Time simply; Position enjoy""";"""She; Continue ; She government situation"""
Douglas Cabrera;91.0;"""(Could win news look culture stand) ; High also and Subject pressure instead arrive energy entire""";"""(Third so skill or mind go) ; Into prevent and Everybody major story see expert control"""
David Ramirez;57.0;"""Range cell live; To sell professional Work man source""";"""Easy particularly need; Sea ahead wait bed usually someone Even"""
Christina Small;72.0;"""No put; Clearly into ; Eat necessary build special""";"""(Large they) ; Machine sense case type economy and Kitchen window game"""
Nathan Murray;16.0;"""Senior: Leg world Mr; Science""";"""Like to; The prevent First cause"""
Julie Moreno;100.0;"""(Church movement want) ; Family and City public seek staff read far""";"""Keep event power on; Congress each home ; Available nearly just structure serve bad"""
John Walker;43.0;"""Important look end hot; Suggest organization begin ; Consumer according room forward international""";"""(Effort artist color) ; Old and Fight new individual yes walk quickly"""
Theresa Green;40.0;"""(Single wrong official) ; Republican off company and Yes seek take""";"""Walk get industry response student; Note service carry just ; Risk produce son"""
Karen Potter;33.0;"""Our: Technology few; Art form wish""";"""(Surface talk outside almost but) ; Across ability and One reflect"""
Brandon Hammond;53.0;"""Line college budget: Whatever though beyond join; Sell""";"""Gas; When board event wear college home site ; Process value notice stuff"""
Jeffery Griffin;83.0;"""Bill say particular; Staff ; Worker method field""";"""Check can: East; Matter"""
Jacob Riley;62.0;"""(Mention particular) ; Brother and Buy organization term""";"""Speech lose: Doctor rich; Should pretty language"""
Sabrina Herrera;16.0;"""(Throw participant industry) ; Family and Team pick""";"""Moment: Fly; Property open me campaign"""
Angela Shepherd;95.0;"""Bring involve; Protect way stop major value ; Goal""";"""Series pretty; Eye watch share Never"""
Tyler Gonzalez;56.0;"""(Compare young student) ; Around task and Reduce cultural story""";"""(Person everything) ; Up and Condition woman represent baby"""
Lawrence Schroeder;93.0;"""(Chance little top) ; Join next entire almost call and Soon""";"""Boy consumer box; Us face seat Try task"""
