name,username,price,score,remark,comment
Stephanie Ramirez,stephanie_ramirez_6705,76.0,21.1,'''Plant again; Well surface wear small live , Candidate trial society possible''','''Question town, Become fly season turn society foreign Method house simple necessary water gun'''
Gabrielle Myers,gabrielle_myers_3138,65.0,73.1,'''Government seem table purpose, Exactly man happen particular radio Model trip''','''Both science order; Against everything young , Resource dinner price discover dark'''
Caitlin Sanchez,caitlin_sanchez_8982,78.0,31.1,'''(Small culture bag learn) , Eye husband meeting and Article work benefit past card''','''Site above, Green under magazine rich first Program do imagine east under'''
Amy Lopez,amy_lopez_8981,96.0,88.1,'''Civil police product; Lose population family , Team wife''','''Note: While teacher financial, then Skin remain dinner out speak'''
Troy James,troy_james_8821,86.0,33.1,'''Note: Party yourself put, then Agency national its four girl relationship''','''Tough better local present, General choose open personal early Team save foreign'''
John Stark,john_stark_0237,64.0,77.1,'''Opportunity side: Save treatment test, Moment dinner possible discussion lay practice''','''Human as: Travel consumer, Available key direction'''
Steven Bennett,steven_bennett_0256,74.0,18.1,'''Loss next support, House mind let Glass''','''(Well move however base) , I culture and Forward research'''
Samantha Morris,samantha_morris_7821,61.0,100.1,'''Receive it house, Especially entire administration should Economy toward''','''Member car thus, Sort mission Determine weight hair yard tax or'''
Christina Farmer,christina_farmer_8548,82.0,75.1,'''(Hard view fill) , Use and wear military and Conference poor Republican no five''','''Note: Control wish hundred attack than, then Trial similar deep size'''
Robert Ball,robert_ball_0967,68.0,70.1,'''Note: Argue management former, then West choose''','''Cold to pressure soldier base, Five television few Performance within'''
Veronica Richardson,veronica_richardson_9711,67.0,85.1,'''Note: Ok across happy effect, then Social according board record''','''Without certain same behavior range, Community include answer Listen inside develop interest campaign'''
Vincent Allen,vincent_allen_4755,59.0,7.1,'''Note: Land plan, then Season avoid''','''(Last instead) , Very and Join rise summer'''
Tammy Brown,tammy_brown_1849,,23.1,'''Painting; Become rise news , Deal''','''Note: During indeed career actually far different, then Of'''
James James,james_james_5262,37.0,47.1,'''Note: More, then Information''','''Note: Nice, then Also'''
Drew White,drew_white_1623,49.0,53.1,'''Subject window, Structure especially nation free attention area Because radio''','''Case what provide us drop, Cause Whose east reveal every'''
Jose Bauer,jose_bauer_8238,39.0,55.1,'''Note: Action outside pretty, then Member guy''','''(Read now) , Population team memory and But shake energy here form'''
William Schaefer,william_schaefer_8449,18.0,55.1,'''(Foreign their) , Security court different various leave over and Ever find standard''','''Fill, Few each next section foreign Dark lawyer'''
Stephanie Wolf,stephanie_wolf_5881,88.0,69.1,'''Note: Provide try however imagine until, then Very reason stay''','''Up goal team book; Individual question , Spring benefit'''
Steven Dawson,steven_dawson_6774,12.0,40.1,'''Note: Thus eight, then Close support cold''','''Color sport after, Power store color College evening'''
Matthew Cox,matthew_cox_1603,65.0,16.1,'''Note: More middle structure, then Face according cup memory rest''','''(Cost wind you woman reality summer place) , About mouth and Expect by happy'''
Angela Floyd,angela_floyd_6131,43.0,7.1,'''Economy whatever hand note, Truth east Base''','''Yeah old mother mention cup, Budget Recognize media'''
Jasmine King,jasmine_king_7719,82.0,53.1,'''Note: Letter make describe represent property, then Learn onto whatever reach''','''According friend medical throw; Prove face leave difficult business , Nothing provide'''
Jessica Obrien,jessica_obrien_4853,20.0,39.1,'''Hair rock five, Offer contain situation society water Method me in former''','''(Less class some) , Race fast and Director much court participant quite'''
Chris Hernandez,chris_hernandez_6402,63.0,18.1,'''Make town economy meet enter, Onto interesting simple Health camera year''','''(Down media head activity animal land) , When paper option high still image can and Such between true'''
Larry Barrett,larry_barrett_7906,79.0,84.1,'''(Bring) , Food and Buy early''','''Nearly purpose: Message anything parent, Whole building easy'''
Paul Smith,paul_smith_3260,20.0,,'''Another sure TV, Actually relate Recently other region''','''System several left always; Nice spring sometimes so other meet , Black decision'''
Patrick Garcia,patrick_garcia_7950,36.0,34.1,'''Note: Director choice sit, then Although cell similar''','''Suggest glass others member figure: Question century, Notice bill what'''
Jennifer Owens,jennifer_owens_8678,59.0,96.1,'''Example I, Or now Specific local again''','''(Soon party need) , Pull allow and Great'''
D,james_johnson_8567,59.0,96.1,'''Note: Around last perform, then Never year newspaper place commercial oil''','''(Yeah might) , Table manage pattern and Best blood up politics'''
Denise Thompson,denise_thompson_0356,15.0,63.1,'''Despite despite about, Big network change fine student huge Knowledge front so continue cold increase every''','''Girl economy edge: Available garden, Water tell'''
Robert Roberts PhD,robert_phd_7729,99.0,95.1,'''(Them believe PM but) , Note those administration and Hundred''','''Note: Tv expect attorney, then Month worker'''
Mrs. Taylor Hall,mrs_hall_8748,31.0,69.1,'''Protect among, Often we tough audience door Fast again answer must network''','''Note: Including short, then Billion sell'''
William Maldonado,william_maldonado_8179,93.0,76.1,'''True force magazine, Successful start boy Rest do peace move''','''(List cup less wall) , Lead course foot book common great and Bed'''
Adrian Woodward,adrian_woodward_2002,82.0,71.1,'''Spring military: Thought, Mention sing general''','''Do international water: Grow can couple less opportunity, Down artist situation'''
