username,name,total_count,age,comment
katelyn_johnson_8387,Katelyn Johnson,87.0,21.1,'''Me I service southern second; Everyone yard hair board , Moment benefit staff'''
cameron_cook_9570,Cameron Cook,86.0,88.1,'''Star agree, Wear program Century'''
jennifer_mason_5581,Jennifer Mason,41.0,39.1,'''Born speak help Republican: Ready onto suddenly himself, Evening foot'''
amber_pope_7453,Amber Pope,93.0,85.1,'''(Child event) , Force child type item tough and Record here'''
ronald_olson_9676,Ronald Olson,4.0,92.1,'''(Should her already) , View and Chair near life'''
christina_bennett_4416,Christina Bennett,89.0,24.1,'''Decide hand maintain store simply; Off answer sort staff body oil , No media area'''
william_spencer_6705,William Spencer,12.0,90.1,'''Before lot: Perhaps when investment, On moment sign'''
brandi_noble_3713,Brandi Noble,10.0,85.1,'''Teacher, Through strong difference best Example media'''
stephanie_allen_8994,Stephanie Allen,8.0,29.1,'''Bill reveal: He item, Peace'''
michelle_cooper_1297,Michelle Cooper,67.0,70.1,'''Note: Approach writer ever war, then Among money'''
misty_proctor_0427,Misty Proctor,8.0,62.1,'''(Institution them) , How lay look have and Business else husband bed'''
debra_rivera_4002,Debra Rivera,78.0,,'''Number attention need total rather its; Form huge candidate next that , City'''
jessica_harris_9058,Jessica Harris,20.0,99.1,'''Local, Too card close which country Point'''
eric_taylor_6952,Eric Taylor,10.0,92.1,'''Note: Maybe determine manage, then Mouth cell girl reveal sport'''
terri_chambers_5953,Terri Chambers,8.0,3.1,'''Itself population travel garden mission: Happen strategy, Foreign'''
julie_palmer_1163,Julie Palmer,41.0,12.1,'''After have base fear employee: Next sea describe understand, Together health type'''
deborah_conley_1308,Deborah Conley,2.0,65.1,'''Popular buy dinner risk; Myself , Almost available help'''
dominic_rodriguez_6068,Dominic Rodriguez,32.0,49.1,'''Beat subject: Ago mind cup care its, Themselves reach'''
juan_williams_8532,Juan Williams,86.0,91.1,'''Note: Before face, then Language'''
chad_dds_8900,Chad Cameron DDS,73.0,69.1,'''If individual; Interest test strategy , Possible'''
lee_jordan_2920,Lee Jordan,36.0,45.1,'''(For three despite sea) , Kid take sister program and Offer soldier'''
jose_schultz_0041,Jose Schultz,78.0,83.1,'''Board role two; Personal air power performance , Eat perhaps'''
james_newman_2913,James Newman,13.0,11.1,'''Note: Green, then Government story serve information many'''
max_mendoza_9132,Max Mendoza,2.0,62.1,'''Political often training sign, Wonder Nothing'''
lisa_mason_2504,Lisa Mason,67.0,48.1,'''Fear different many miss; Son , Natural rock'''
miss_herrera_3256,Miss Karen Herrera,,89.1,'''(Than hotel laugh fire) , Close actually senior learn woman all and Public everyone dinner ever third'''
patrick_perez_8884,Patrick Perez,87.0,100.1,'''Note: Key, then Thank send'''
jacqueline_smith_3183,l,36.0,6.1,'''(Man law rise) , Stuff and Show structure send'''
elizabeth_miller_5904,Elizabeth Miller,54.0,55.1,'''Town rest pay; Population ok never national , Power painting heavy'''
thomas_jr_3112,Thomas Bush Jr.,43.0,8.1,'''Source someone them give dark: See, Season'''
lisa_bautista_7654,Lisa Bautista,22.0,24.1,'''Crime whatever money black: Month base, Daughter daughter'''
shannon_wilkerson_3542,Shannon Wilkerson,49.0,96.1,'''My: Much different, Note join'''
nancy_stuart_2016,Nancy Stuart,91.0,92.1,'''Question short: Forget itself try, Threat mention'''
alexis_mcdonald_7991,Alexis Mcdonald,27.0,87.1,'''Especially occur soon create, Car thing Follow'''
melinda_wang_1028,Melinda Wang,80.0,77.1,'''(Top song hot) , Apply same system every and Often morning rather'''
carrie_perry_3658,Carrie Perry,97.0,15.1,'''Note: New project poor, then Likely often stop concern'''
michael_robinson_6451,Michael Robinson,4.0,69.1,'''Note: Show kitchen, then Marriage first pay'''
wendy_baker_0941,Wendy Baker,80.0,34.1,'''Series; Listen opportunity , Population full deep voice offer theory'''
