# This is a comment line to skip
username;name;salary;score;rating;summary;description
paula_evans_1148;Paula Evans;7.0;49.1;60.2;"""Earum totam dolores similique quas: Dolorum dolorum voluptates similique tempora corrupti; Facilis minima""";"""(Quo itaque) ; Impedit repellat soluta veritatis and Voluptates dolores"""
olivia_jones_4028;Olivia Duncan-Jones;36.0;66.1;94.2;"""(Amet non) ; Exercitationem and Explicabo doloribus reiciendis ad fuga porro""";"""Note: Quos reiciendis aliquam; then Itaque totam"""
connor_hyde_8731;Connor Hyde;82.0;24.1;40.2;"""Tempore minus hic explicabo: Deleniti reiciendis; Animi nisi cum voluptatem""";"""Note: Inventore fugiat; then Odit in magnam alias soluta"""
dr_stevens_1536;Dr Vincent Stevens;11.0;46.1;23.2;"""Eum harum: Porro aut quia illum; Quibusdam maiores""";"""Note: Labore ipsum; then Nostrum ab quasi"""
dr_hodgson_1423;Dr Frances Hodgson;9.0;22.1;84.2;"""Quia vero; Quis porro Ea saepe quaerat omnis""";"""Officiis repellendus veniam sed cum; Numquam aspernatur voluptatibus exercitationem Id"""
charlene_hart_8970;Charlene Hart;16.0;19.1;87.2;"""Optio veritatis saepe eos; Vero magni molestias Vitae omnis possimus""";"""Recusandae sit blanditiis; Dolore ; Ut incidunt a omnis repellat"""
kevin_tucker_2959;Kevin Tucker;26.0;60.1;12.2;"""Placeat ducimus harum eum; Soluta Voluptatibus ex dolorum""";"""(Illum nostrum) ; Explicabo ratione and Ullam"""
kirsty_turner_1393;Kirsty Dodd-Turner;80.0;24.1;88.2;"""Eius dolor veniam; Officiis Amet voluptatum atque fugit dolores""";"""Note: Deleniti; then Quae"""
cheryl_lamb_6592;Cheryl Clark-Lamb;;;93.2;"""Rerum dolor quam: Fuga; Beatae sint""";"""Odit; Similique quae eum quidem voluptates perferendis Reprehenderit magni magni"""
dr_parker_9576;Dr Terry Parker;65.0;16.1;48.2;"""Note: Facilis; then Harum sapiente""";"""Note: Temporibus sed; then Id"""
victoria_phillips_8562;e;47.0;1.1;6.2;"""Note: Perferendis veritatis; then Quam laudantium molestiae repudiandae""";"""Non voluptate id; Quisquam dolore molestias aliquid Iusto quisquam"""
jonathan_hancock_9556;Jonathan Hancock;68.0;67.1;74.2;"""Quae ratione; Doloribus ; Modi""";"""Eaque non similique; Vero ; Pariatur ea harum"""
natalie_mills_8452;Natalie Mills;19.0;50.1;79.2;"""Aliquid; Voluptatibus sint animi ; Deserunt nihil ipsam adipisci perspiciatis""";"""Expedita dolores similique magnam; Vero libero temporibus eveniet impedit unde ; Cupiditate laudantium sunt"""
janet_white_2440;Janet Davies-White;85.0;28.1;20.2;"""Alias; Debitis Vero explicabo""";"""A voluptate eius; Necessitatibus aperiam esse ; Itaque"""
deborah_brown_3526;Deborah Brown;69.0;51.1;39.2;"""Debitis dolores labore corporis; Nisi Excepturi debitis""";"""(Qui voluptas) ; Aspernatur facere at and Magnam facere quaerat vero"""
dr_west_4697;Dr Teresa West;67.0;86.1;66.2;"""Aperiam eaque facere consequatur vel aliquid; Assumenda quidem in ; Aspernatur cum repellendus""";"""Note: Placeat voluptatem nihil ipsum; then Quas"""
kirsty_morris_1189;Kirsty Brown-Morris;64.0;96.1;43.2;"""Culpa ipsum quidem; Temporibus nisi fuga ; Corrupti omnis""";"""Ut corporis error quae assumenda: Autem temporibus; Quo voluptatibus doloribus"""
mrs_richardson_0954;Mrs Maureen Richardson;90.0;4.1;31.2;"""Distinctio; Totam ; Nisi deleniti tempora""";"""Repudiandae molestiae; Modi quibusdam Ut ab quae autem"""
gareth_green_0001;Gareth Green;100.0;51.1;56.2;"""(Delectus dolor dolores) ; Veritatis nobis atque and Possimus nihil""";"""Corporis facere eius commodi unde repellendus; Ratione veritatis ex ab debitis eum Nisi perferendis adipisci ipsam rem"""
