username	name	score	salary	description	review
shirley_compton_3765	Shirley Compton	27.0	46.1	'''Note: Foreign industry watch near across involve	 then Collection often'''	'''Front: Most table total level mention	 Serious answer'''
rita_casey_5500	Rita Casey	54.0	2.1	'''Color issue program spring	 Cause dog bed Ok'''	'''Light itself protect; Everything listen reality 	 Item factor'''
jimmy_wilkinson_5407	Jimmy Wilkinson	3.0	16.1	'''Mean body knowledge hit politics; Cell house growth 	 Letter will history money'''	'''Same then culture exactly	 Art commercial affect That clearly information central born hair'''
matthew_patton_3074	Matthew Patton	78.0	36.1	'''Research few measure: Score various	 Field bag police hot everybody'''	'''Thought break	 Yard card pull Use tend themselves'''
kayla_martin_1078	Kayla Martin	93.0	3.1	'''Rich street everybody event discover individual	 Put operation go politics challenge a Statement process subject painting'''	'''(Prevent party) 	 Church unit military and Talk appear'''
alexis_bonilla_1508	Alexis Bonilla	89.0	16.1	'''Note: But drop ever behavior	 then On'''	'''Listen	 Marriage Continue rule'''
henry_harris_5492	Henry Harris	11.0	95.1	'''(Ok generation) 	 Building and Reduce our power view focus pass'''	'''Score there: Project because	 Stock to'''
heather_garcia_4024	Heather Garcia	40.0	18.1	'''(Provide thousand) 	 Figure they and Decade practice'''	'''One finish address human; Where summer 	 Build'''
jason_sanders_3100	Jason Sanders	7.0	80.1	'''Note: Science bring	 then Little center likely'''	'''Note: Baby one opportunity	 then Minute share scientist'''
angela_golden_9983	Angela Golden	14.0	81.1	'''Sort; Business season 	 Apply trade'''	'''Note: News	 then Through agreement hour'''
jonathan_garrison_2579	Jonathan Garrison	75.0	97.1	'''Finish professor agreement; Thank who street build within early 	 Add value ground'''	'''Really later company; Evidence something 	 Eye see'''
ethan_davidson_1225	Ethan Davidson	28.0	82.1	'''Card practice: Language reach	 Floor per doctor education animal'''	'''Would find: Newspaper spring interest	 Despite treat raise'''
lindsay_lindsey_6909	e	44.0	89.1	'''Especially sort; Either above bed 	 Land campaign prepare camera write'''	'''(Country yourself) 	 Want far stuff relationship and Must style'''
antonio_jones_5775	Antonio Jones	29.0	81.1	'''Like success	 Instead sea from management By official apply research'''	'''Page nor itself summer several happen	 Conference Agree tend start'''
christopher_mckinney_1249	Christopher Mckinney	34.0	18.1	'''Determine have above: Treatment mother drop	 Young help worry total'''	'''Note: Be sound quickly outside bit	 then Concern majority organization'''
james_thomas_5218	James Thomas	56.0	25.1	'''What gas owner know whom unit; Serve phone 	 Trial table there the'''	'''Human return continue yes	 Through give all conference Special likely cell'''
amanda_ferguson_5688	Amanda Ferguson	63.0	18.1	'''(Class impact officer want) 	 Bank international throughout ground and Head economic'''	'''Create cost; Check water probably tax win 	 Top'''
jessica_brown_2071	Jessica Brown	95.0	23.1	'''Message case possible: Of around	 Stand stage level history forward'''	'''(Heavy after) 	 Around benefit doctor and Particular fund after'''
christopher_jensen_5621	Christopher Jensen	28.0	29.1	'''Product idea: Why everything top between push	 Similar'''	'''Something; Number quite until 	 Woman may fund prove'''
jerry_reynolds_7255	Jerry Reynolds		42.1	'''Board commercial: Reality	 Method raise check view'''	'''Everybody movement PM first yeah; Business should 	 Girl industry contain want'''
brandon_myers_6695	Brandon Myers	53.0	100.1	'''(Television woman easy common want behavior) 	 Everything development community training give realize and Tree determine edge he'''	'''And decade	 Season manager decision add send Later whose'''
mikayla_russell_5601	Mikayla Russell	29.0		'''Central write wall what good: Read	 Those worry according'''	'''With; If draw 	 Difference father'''
emily_mills_5495	Emily Mills	28.0	9.1	'''Front; Girl admit continue 	 Anyone decide'''	'''Within maintain threat	 Law live Anyone ask'''
russell_schaefer_9073	Russell Schaefer	96.0	100.1	'''Between apply level	 Score behind street particularly must Military deep animal consider'''	'''Crime between this	 Main across picture Away parent dinner'''
jacqueline_gomez_0606	Jacqueline Gomez	4.0	70.1	'''Note: Measure agent	 then Even anyone bed'''	'''Note: Have organization two	 then Same social measure'''
connie_camacho_2504	Connie Camacho	58.0	77.1	'''Science than; Generation possible free 	 Individual move century summer dinner group'''	'''Minute allow recent; Outside 	 Door feel detail'''
christopher_harris_5067	Christopher Harris	34.0	20.1	'''Authority beautiful	 Option deal Music the maybe'''	'''Note: Whose professional consumer	 then Between response direction about'''
