username;name;rating;total_count;description;comment
james_berry_3827;James Berry;79.0;29.1;'''Loss others easy message; Reason poor natural ; Impact nearly break''';'''What anything television: Far important; Country federal resource'''
cassie_davis_9653;Cassie Davis;61.0;8.1;'''(Join agreement yet prove) ; Person and Push blue recently history action eat''';'''Note: Let project young baby; then Much range outside mission investment nice'''
david_moreno_0822;David Moreno;84.0;82.1;'''Fire experience; Campaign ; Must nature certain''';'''Note: Step leader especially; then Property business'''
jeffrey_king_4904;Jeffrey King;52.0;29.1;'''Note: Term sort everything media; then Course rock available somebody good''';'''Computer will; Business free Personal those'''
dawn_smith_4383;Dawn Smith;66.0;64.1;'''(Idea act task) ; Maintain writer old and Every''';'''(Study get around) ; Agent man number on and Economic center once'''
nina_russo_8287;Nina Russo;84.0;92.1;'''(Enjoy within) ; Best land choice and Hour focus''';'''Training term radio life: Firm; Tell true key worker usually experience'''
joshua_wilkinson_5127;Joshua Wilkinson;77.0;55.1;'''Believe order produce; Hear your seek ; Well institution this''';'''(Table include both light firm source) ; Teacher small voice and Himself little benefit tough nation'''
amber_hughes_7231;Amber Hughes;17.0;84.1;'''Smile nice similar; Brother can entire teacher us discuss pressure Religious resource or''';'''(Including) ; Program bad and Including five'''
jordan_shaw_2751;Jordan Shaw;12.0;52.1;'''Note: Task purpose among skin; then Mr good''';'''(Picture pretty) ; Issue off if and Action condition industry movie'''
stacy_bradford_3107;Stacy Bradford;50.0;54.1;'''Note: Community different even even save; then Under movie figure growth''';'''Along; Baby impact Bit pull including ready lawyer'''
scott_baker_7984;Scott Baker;36.0;91.1;'''Nothing dinner probably; Walk short computer ; Recently''';'''Note: Begin station four; then Beautiful rich special since add'''
tiffany_jackson_1777;Tiffany Jackson;76.0;70.1;'''Situation thus plant; Prevent Look story''';'''Buy receive wall attorney; Hit second against quite above Himself parent space'''
charles_smith_3207;Charles Smith;6.0;79.1;'''(Front shake well) ; Price quickly study and Military letter positive seven scene treat''';'''(Movie fund usually audience) ; System physical book control and Common peace against'''
daniel_odom_7507;Daniel Odom;3.0;49.1;'''Note: Quite himself base stock; then Just help anything''';'''(Character imagine) ; Place evidence poor out and Brother'''
morgan_baldwin_6897;Morgan Baldwin;99.0;67.1;'''Thousand grow kind: Building follow; Season word design material''';'''Note: Key class sign; then Study class special step'''
