username	salary	score	summary	remark
ms_owen_5692	7.0	58.1	"""Note: Reprehenderit harum quos error	 then At nulla"""	"""(Magnam quasi quasi adipisci) 	 Aliquam and Corrupti"""
marilyn_dyer_6857	45.0	51.1	"""Quasi ipsa rem neque; Ad quis ab 	 Esse odit"""	"""Accusantium; Ipsum ipsa 	 Voluptatibus"""
paul_carr_0012	21.0	62.1	"""Perspiciatis at rem: Commodi exercitationem beatae quod inventore	 Optio ex iure consectetur explicabo"""	"""Note: Voluptas	 then Accusamus alias"""
diane_bell_7852	98.0	17.1	"""(Eveniet eum aliquid) 	 Tenetur fuga and Ad illo esse"""	"""(Corrupti maiores exercitationem praesentium cupiditate earum) 	 Accusantium dignissimos and Necessitatibus ea necessitatibus"""
mr_clarke_4678	23.0		"""Distinctio illo	 Ab magnam Accusantium voluptate aliquid sequi"""	"""Fuga: Porro dicta porro cupiditate mollitia	 Dicta blanditiis quidem cumque"""
elliott_wells_8889	45.0	1.1	"""Facere occaecati reprehenderit	 Laudantium explicabo Atque eligendi"""	"""Asperiores nihil eligendi quibusdam beatae; Enim nulla voluptates 	 Maiores optio"""
linda_johnson_2547	45.0	57.1	"""Doloribus corporis; Corrupti ipsum 	 Commodi eos"""	"""(Necessitatibus consectetur) 	 Odit eveniet and Consequatur exercitationem doloremque"""
terence_marshall_0134	28.0	38.1	"""Note: Ipsam voluptatem aliquam	 then Sit repellendus dolorem quia"""	"""(Facere quos) 	 Doloremque nemo cumque and Distinctio odio rerum dignissimos"""
dr_smart_0630	33.0	83.1	"""Inventore voluptates dolore: Amet exercitationem	 Enim saepe"""	"""Omnis voluptate; Amet 	 Expedita"""
ross_turner_0915	79.0	36.1	"""Aperiam quibusdam asperiores reprehenderit libero deserunt: Laudantium laboriosam nulla	 Nemo laboriosam"""	"""Optio nulla ullam	 Tempore nulla labore excepturi Impedit ipsam ducimus"""
mr_allen_7856	37.0	67.1	"""Note: Molestiae qui consectetur nemo	 then Nobis eum illum labore"""	"""Neque maiores saepe nisi	 Assumenda Doloribus velit laboriosam"""
ms_thompson_8655	41.0	89.1	"""Magni odit excepturi neque expedita minima	 Quasi alias tenetur Expedita tempora"""	"""Impedit earum assumenda: Cumque iusto placeat dolor	 Sapiente"""
miss_boyle_2929	73.0	49.1	"""Maiores dolorem accusantium ipsa	 Deserunt esse quae facilis Cumque"""	"""Sed sequi	 Fugiat Illum dolorum unde quia"""
ms_begum_0302		93.1	"""Quaerat qui aspernatur	 Suscipit quia esse cumque tempore quidem Provident laborum"""	"""Blanditiis quo	 Commodi Ullam eum dolorum saepe"""
kevin_lee_2209	44.0	48.1	"""Officia dolor voluptas; Vero maiores quisquam 	 Sit facere"""	"""Ullam voluptates dolore quos	 Assumenda sit id optio Molestias accusantium"""
raymond_daly_7629	19.0	20.1	"""Tempore soluta numquam a; Porro modi 	 Molestias"""	"""Iusto amet aliquid quia explicabo; Aut vel 	 Inventore id incidunt tenetur minus"""
thomas_white_0854	86.0	62.1	"""Iure ratione: Iste sequi corporis	 Ipsa porro occaecati impedit"""	"""(Voluptate ad) 	 Nesciunt quis modi and Placeat consequatur placeat"""
charles_wood_5514	20.0	66.1	"""Culpa eaque accusamus	 Commodi itaque id itaque a Vitae"""	"""Facilis debitis	 Dolore Optio ab corporis dolores"""
garry_bird_8802	73.0	45.1	"""Libero itaque fugiat velit	 Quidem Quia mollitia labore beatae eum"""	"""(Soluta fuga) 	 Iste iste ut saepe and Officiis natus"""
lorraine_connor_2331	57.0	64.1	"""Asperiores labore asperiores impedit: Facere fugit voluptatem aut	 Iste saepe reprehenderit qui"""	"""Consequuntur	 Pariatur culpa Dolorum eaque"""
mr_thompson_6021	7.0	59.1	"""Accusamus aperiam eveniet nisi; Error dolorem saepe dolorum 	 Vitae ipsa facilis"""	"""(Id modi) 	 Eius odio and Labore"""
arthur_davies_6272	88.0	69.1	"""Quisquam dolores iusto laudantium; Incidunt accusantium quod 	 Voluptatibus accusantium omnis"""	"""(Laboriosam quasi) 	 Aliquam nisi ut and Impedit minus sapiente esse"""
charlotte_hammond_9974	80.0	58.1	"""Ea esse illo cupiditate repellendus sint: Reprehenderit esse sed placeat harum	 Incidunt cupiditate natus similique"""	"""Ipsam quod; In eveniet 	 Iure modi alias optio fugiat"""
annette_davison_7132	57.0	40.1	"""Quos facilis suscipit quia; Doloremque optio voluptates fuga 	 Labore voluptatum nostrum voluptates"""	"""Animi aut dolor	 Ullam veritatis Ducimus cum"""
abbie_yates_0341	49.0	35.1	"""(Eligendi officia illum ullam) 	 Ut optio and Laborum dolor"""	"""Minus qui molestias vero; Perferendis optio maiores 	 Sunt dignissimos"""
