# This is a comment line to skip
name,age,rating,price,description,note
Jason Nichols,25.0,37.1,47.2,'''Author, Coach value side stand Scientist the argue''','''(Soon) , Citizen and Between rather morning image'''
Keith Garcia,57.0,52.1,61.2,'''(Make clearly) , Against bad wrong and Great''','''Special raise, Yard wide Congress pay'''
Alexander Gilbert,64.0,7.1,56.2,'''Note: Continue if voice standard news, then Its theory car hear''','''Interview mention hard: Office economic statement, Test individual than party'''
Troy Skinner,91.0,82.1,11.2,'''Instead model voice whole: Decade responsibility, Give air''','''Class which; Reality , Eat recent billion fear remember'''
Noah Padilla,58.0,88.1,6.2,'''Brother arrive: Man, Smile down move movie American''','''(Rock) , Wrong deep play and Discover hospital'''
o,21.0,8.1,30.2,'''(Window can big property) , Bring cell admit ability and Factor''','''Assume address do room, Lead Raise price team something over'''
Robyn Carter,76.0,85.1,38.2,'''Old; Decision head , Concern should billion senior realize''','''Note: Simple go product force necessary clear, then Party offer'''
Laura Patterson,20.0,35.1,6.2,'''Everybody race: None away music traditional, Lay attention away cost consumer computer''','''Force court; Good morning whether , Head reveal'''
Mrs. Natalie George,71.0,61.1,68.2,'''Affect dog art; Forget evidence so , Performance social white''','''Whole; Suffer program leg , Walk turn'''
James Gutierrez,79.0,83.1,90.2,'''Mr along few; First forward gas avoid , Pick''','''Woman pattern; Vote history , Company'''
Danielle Costa,57.0,81.1,91.2,'''Note: Next themselves, then Consider''','''Build see easy begin difficult: Power, Force lead or especially'''
Mrs. Lauren Brown MD,71.0,53.1,19.2,'''Must author number, Reflect Day growth baby capital administration''','''Want make base stop, Thing often represent blood decade Resource lose arrive'''
James Stevens,76.0,94.1,36.2,'''Note: Like ahead, then Return growth indicate''','''Upon: Goal determine, Picture bill travel meet'''
Monique Duncan,2.0,3.1,77.2,'''Deal day affect; Tough contain school , Oil happen''','''Quite, Indeed support task Land argue floor up position yet'''
Michael Santos,84.0,66.1,94.2,'''Ready learn: I that, Modern strong off for''','''Program bring discover gas pull child imagine, With door both Past actually blood outside'''
Ryan Lewis,8.0,78.1,16.2,'''Consumer food soldier voice; Stuff , Nation''','''Yet however sure he; Night time , Begin simply culture'''
Mario Acosta,26.0,54.1,39.2,'''Note: House surface else, then Tax he site''','''Red; So lay why what but , Four dark class'''
William Taylor,83.0,87.1,40.2,'''Fact throw prevent; Then girl determine , Attack report''','''(Actually) , Number focus and Onto feel actually'''
Molly Becker,22.0,85.1,92.2,'''Remember audience: Action feeling, Night better middle maybe road''','''Civil whether debate, Know scene cell car security community Account front'''
Jonathan Rios,43.0,56.1,79.2,'''Note: Base I, then Especially newspaper must though''','''Natural four partner: National modern world political find, Arm watch kitchen full ago'''
Scott Harrison,83.0,4.1,66.2,'''Production cover anyone: Range standard north, There Republican one''','''Deal dog their, Defense mean at price science to Industry west military'''
Emily Jones,88.0,6.1,,'''Speech ok: Hard budget social single view that who, Investment wrong as''','''West long key, Spring but would inside Million drug'''
Dorothy Wilson,24.0,14.1,7.2,'''Describe while; Wrong role response , Change turn first us''','''Front prove set, Let where Child increase approach'''
Paul Ward,98.0,91.1,48.2,'''Process that, Eat chance police interest Ground purpose similar''','''Newspaper quality million, Phone radio power Whom upon see'''
Madison Barnes,45.0,,44.2,'''(Candidate into) , Possible and Threat opportunity sense note''','''Degree operation; Official wife speech sing , What'''
Alicia Sanders,,35.1,6.2,'''One campaign school future you prove, Foot different plan whether Throughout behavior''','''Man spring, Surface nothing trade quality Ago too'''
