name;score;salary;summary
Dr Katie Williams;41.0;51.1;"""Molestias voluptatem; Maiores officia hic sequi illum ; Repudiandae distinctio iusto"""
Roger Connor-Wilson;66.0;;"""Eligendi maxime: Eligendi aliquam earum laudantium nam; Nihil blanditiis suscipit commodi"""
Ms Joanne Edwards;21.0;94.1;"""Vel eius: Eius; Molestias natus aut voluptate"""
Tony Kelly-Duffy;44.0;61.1;"""Perferendis; Vel ducimus vel ; Corrupti ex perferendis non"""
Ms Heather Green;91.0;25.1;"""(Laborum amet eligendi harum enim) ; Itaque quaerat nesciunt and Quae numquam"""
Carly Smith;98.0;51.1;"""Maiores ullam in facilis: Quo suscipit; Soluta earum"""
Charles Thompson;18.0;73.1;"""Dolor libero consectetur iusto incidunt: Quisquam cupiditate; Exercitationem"""
Lisa Martin;79.0;26.1;"""Fugiat delectus recusandae consectetur; Explicabo asperiores Dolores soluta id"""
Mr Michael Barnett;23.0;28.1;"""Note: Molestias; then Atque tenetur nam deserunt"""
Scott Scott;37.0;46.1;"""Ea id deleniti: A hic cupiditate expedita dignissimos; Voluptas reiciendis expedita"""
Christopher Patterson;74.0;89.1;"""Corporis et; Explicabo id Maiores doloremque excepturi illum perspiciatis"""
Dr Charlie Collins;17.0;30.1;"""(Tempora reiciendis) ; Quae ducimus and Soluta alias vero"""
Sam Jones-Connor;;93.1;"""Quam fugiat sunt ipsam distinctio; Labore vel quam repellat ; Minima quo nostrum enim expedita"""
e;82.0;76.1;"""Optio nemo nesciunt; Id ; Debitis officiis fugiat officia nisi"""
Dr Eleanor Palmer;50.0;33.1;"""Accusantium temporibus deleniti voluptatibus; Officia Eum aliquid culpa"""
Dr Ryan Clarke;98.0;17.1;"""(Aliquam nihil dolorum rem) ; Nobis odit atque ea and Vitae error animi alias"""
Ryan Carter;51.0;12.1;"""Exercitationem aspernatur eos non: Accusamus architecto; Quas recusandae"""
Clifford Parker;93.0;53.1;"""Tempora quisquam debitis amet excepturi; Doloribus ; Rem eligendi"""
Mrs Sheila Ward;86.0;3.1;"""(Dolores) ; Quibusdam dolor provident expedita and Veniam hic"""
Dominic Rogers;28.0;65.1;"""Aliquid sint sed inventore; Exercitationem rem numquam ; Nisi eos impedit"""
Keith Dawson;68.0;62.1;"""Harum distinctio ipsa saepe; Itaque in voluptate Ab excepturi"""
Joshua Taylor;17.0;82.1;"""Officiis itaque; Esse quaerat Nemo totam unde magnam"""
Dr Joe Phillips;10.0;49.1;"""(In unde) ; Illum labore accusantium itaque and Asperiores illum minima"""
Jacqueline King;92.0;35.1;"""Note: Accusamus consequatur; then Corrupti dolores"""
Teresa Smith-Parker;82.0;56.1;"""Ipsum distinctio; Ex optio voluptatibus fuga ; Dignissimos corporis vel suscipit perspiciatis"""
Mr Leon Cox;41.0;52.1;"""Officia: Ipsum; Explicabo fuga perferendis ipsa adipisci voluptatum"""
Hollie Nash;79.0;81.1;"""Note: Molestias qui ratione nostrum impedit; then Tempora dolorum maxime dolore magni quas"""
David Sykes;58.0;67.1;"""Note: Beatae quisquam eius porro fugiat vero; then At"""
David Bartlett;95.0;28.1;"""(Laborum) ; Inventore asperiores doloremque and Magnam commodi"""
Alan Hobbs;79.0;61.1;"""Note: Soluta explicabo ipsam; then Beatae quo libero"""
Marie Smith;81.0;24.1;"""(Laboriosam natus aut officiis cum) ; Incidunt similique asperiores and Nostrum laboriosam"""
Christian Richards-West;93.0;83.1;"""Aperiam totam esse excepturi consequuntur; Perferendis laboriosam fugit nemo Quibusdam vel earum iste"""
Dylan Ashton;17.0;23.1;"""Note: Sed consequatur; then Unde vel"""
Mrs Marion Barker;32.0;42.1;"""Note: Ad cupiditate; then Error"""
Kevin Turner;11.0;3.1;"""Ut consequatur hic a maiores possimus; Sapiente ipsum voluptatem Ab qui sit"""
Iain Jordan;10.0;44.1;"""Note: Fugiat ipsum; then Officia"""
Melanie Todd-Barnes;20.0;83.1;"""Note: Atque fugiat totam; then Maiores hic facilis odit"""
Dr Keith Bailey;19.0;70.1;"""A labore itaque; Nihil nulla reiciendis modi sint Sed recusandae repellendus quia ad"""
Mr Mohamed Oliver;20.0;92.1;"""Note: Rem; then Dicta ullam laboriosam"""
Ashley Evans;68.0;58.1;"""(Voluptates amet) ; Praesentium amet autem autem and Ipsum explicabo quisquam excepturi"""
