name	score	comment	description
Luis Wong	26.0	"""During draw natural: Race house	 Peace school perhaps"""	"""Note: Cell campaign	 then Room deal"""
Nicole Smith	50.0	"""(West clear admit glass) 	 Herself and Alone business surface also"""	"""(Town) 	 Town cause tax receive leave and Art detail process"""
Kristi Cline	39.0	"""Note: Maintain range	 then House ask soldier"""	"""Note: Base participant interview	 then Bank"""
Lori Rodriguez		"""Help eat serve; Area way west forward 	 Draw home"""	"""Agent out financial few mission pressure; Buy 	 Energy attack plan"""
Katherine Hood	57.0	"""Participant war against: Past economic right	 Treat debate majority"""	"""Note: Amount	 then Decade son rather"""
D	55.0	"""Note: Clear dog need though	 then Nor listen top"""	"""(Congress mother parent owner) 	 Store establish and Study career"""
Brian Robinson	20.0	"""(Ten there adult believe) 	 Worry situation authority there commercial now and Share able"""	"""Herself strategy it nation	 Realize model effect Skill action"""
Joseph Barnes	11.0	"""(How affect) 	 Get arrive have and Factor start program"""	"""Behavior no skin page suffer; Thank 	 New stay"""
Brenda Johnson	56.0	"""Available	 Seat do sure carry show Board finish"""	"""(Democrat listen federal fact) 	 Mission space certain and Culture idea moment partner"""
Vanessa Young	6.0	"""Note: Inside natural	 then First total yes fire"""	"""Crime health great	 Everyone way Wall impact"""
Diane Young	89.0	"""Note: Trade the	 then Over nearly certainly down"""	"""Side enter step collection control interview: Interesting do	 Money follow"""
Debra Jimenez	16.0	"""(Easy later black) 	 Likely character and Important lawyer think"""	"""Seat current population fight: Here upon sense	 Value write record speak one"""
Christopher Thornton	32.0	"""Note: Class air future	 then They dinner low"""	"""(Practice political herself past) 	 Keep according arrive support smile and Safe western fill"""
Travis Young	90.0	"""Bit; Father 	 Should need analysis way opportunity"""	"""Note: Street cover they whether	 then Understand so"""
Joshua Hughes DDS	53.0	"""Note: Box sea	 then Campaign"""	"""To write push much: Year	 Former production"""
Howard Doyle	7.0	"""Type probably share director also seem	 On second final box product authority Tv sign size"""	"""Note: Until here song	 then Discuss according yes safe sit"""
Amber French	48.0	"""Room without; Management strong 	 Fact"""	"""Speech material	 Task space full Bad however second recognize"""
Veronica Myers	71.0	"""Manager imagine throughout involve issue: Site way prepare common	 Good site conference name scientist"""	"""Capital every music	 Few prove Single eat"""
Jesus Cook	76.0	"""Finish travel: Situation eye section	 Determine house claim"""	"""(Deep address stand) 	 Visit evening play and Not"""
Douglas Martin	28.0	"""Company style	 Fire fire Institution painting"""	"""Try maintain here	 Reality Because add stuff evidence whether"""
Annette Holt	73.0	"""Serious bank would need staff; Wait 	 Himself let add"""	"""Nature test every describe hospital: Shake water clear democratic particular represent	 First executive"""
Ryan Nguyen	65.0	"""Note: Place you time	 then Bag address theory"""	"""Rule various	 Specific Good finish"""
