name,price,score,description
David Barber,8.0,21.1,"""(Leave lot day) , During leg this and Official hair account"""
Monique Kim,64.0,11.1,"""(Bill write none) , Foreign and Issue"""
Adam Eaton,90.0,41.1,"""Region; Pass seek society land , Player water add"""
Kelly White,8.0,47.1,"""(Avoid blood life share) , Deep evening reach degree similar and Finish front drive"""
Carla Jacobs,7.0,12.1,"""Source may, Increase Be"""
Christopher Myers,72.0,97.1,"""Sea usually sing; Method president , General arrive"""
Brittney Parsons,33.0,94.1,"""Note: Wonder today discuss, then Bring face fine leg again pretty"""
Robert Bell,63.0,81.1,"""Note: Because family recognize kind, then Term we"""
Amanda Bailey,4.0,55.1,"""Note: Including, then Manager debate"""
Brian Burton,20.0,96.1,"""Surface grow parent husband parent, Authority recent store still feeling able Whether couple marriage"""
Linda Curtis,26.0,49.1,"""Note: Every century, then Remember store almost event beyond feel"""
Karen Jacobson DVM,53.0,87.1,"""Make poor somebody garden no: Visit fear, Summer walk"""
Matthew Pollard,51.0,6.1,"""Able admit direction memory soon: Wife, Woman"""
Wayne Mercado,29.0,86.1,"""Note: Artist eye direction role, then Mother bill increase"""
A,80.0,55.1,"""(Purpose exactly) , Information relationship and Really"""
Blake Ferguson,48.0,21.1,"""Our garden key pull economy: Possible market, Party"""
Abigail Olson,12.0,94.1,"""(State recent) , Film fight and Project claim"""
Ryan Taylor,,16.1,"""Drive agent; Challenge , Box along defense us"""
Deborah Fernandez,34.0,38.1,"""Sort middle protect write source beat; Blood production , Remain"""
Matthew Gomez,93.0,74.1,"""Tree report them recently, Real role System present live if"""
John Roberts,12.0,96.1,"""Administration dream responsibility, Four Surface"""
John Webb,10.0,80.1,"""Town pressure: Form write involve argue never, Police population executive newspaper"""
Johnathan Campbell,92.0,40.1,"""(Follow southern) , Team and Take set station"""
Vincent Clark,24.0,,"""Beat read within, Night Bit sister"""
Casey Barnes,85.0,41.1,"""Network finally teacher late eye: Suffer, Spring treat kid return"""
Tanner Aguilar,69.0,52.1,"""Note: Eight, then Lawyer"""
William Lopez,14.0,20.1,"""Born: Open world, Change cost"""
