name	username	price	note	summary
Sherri Simpson	sherri_simpson_4655	30.0	'''Else: Often tough	 Congress phone'''	'''Section recently: Organization	 Year gun discover million piece'''
Julie Castillo	julie_castillo_5623	46.0	'''Concern art president; Along that student service 	 Present'''	'''Within assume never police; Degree network section 	 Unit I experience'''
Andrea Mendoza	andrea_mendoza_7991	19.0	'''(Past) 	 Participant weight and Response task'''	'''Modern use present argue: Building simply	 Social offer reveal some property'''
Michelle Cardenas	michelle_cardenas_8520	30.0	'''Note: Anyone friend break whatever tell	 then Item nice job from billion'''	'''Short language agreement: Main international support	 Still task option'''
Lauren Williams	lauren_williams_0547	23.0	'''Note: Capital indeed health	 then Need concern item heart door theory'''	'''Note: Rule around	 then Poor'''
Gregory Nguyen	gregory_nguyen_9910	54.0	'''Agency write down red many mission	 Well ago past physical control focus Color serve'''	'''Practice product: Which gun rise	 Dark'''
Michael Lang	michael_lang_0419	19.0	'''Two somebody from; Law central vote 	 Lay never first look'''	'''(Poor game occur learn all) 	 Information ever imagine and Animal'''
Anthony Freeman	anthony_freeman_9727	33.0	'''Note: Age contain	 then Major try various child'''	'''Scene: Sound history	 Physical'''
Shawn Rios	shawn_rios_7035	16.0	'''Own almost; Son 	 Adult while'''	'''Note: Ok	 then A kid'''
Lori Powers	lori_powers_8215	72.0	'''Believe either; Task focus Republican skill employee 	 Address want level'''	'''Experience perhaps	 Trip remember Talk'''
Michael Walls	michael_walls_4811	94.0	'''Note: Produce	 then Dream after point their'''	'''(Cup some program) 	 Exactly couple site final and Wind similar identify should'''
Debra Williams	debra_williams_6708	51.0	'''Morning officer seat rise gun weight; Economic medical door 	 Husband your author'''	'''Soon policy blood: Hold fund	 Soon data record agency news'''
Jason Walker	jason_walker_7148	54.0	'''Position have political; Girl two 	 Four situation'''	'''Support actually cell challenge face cup	 Others structure Own know'''
Joseph Brock	joseph_brock_8271	18.0	'''Yourself tax; Green consumer 	 Each read sea'''	'''According various give education sister: Me environment plan	 Why compare able imagine out'''
Michelle Davis	michelle_davis_0956	33.0	'''Affect method small rich believe; Relate event 	 Film meet one'''	'''Point certainly traditional: Those industry less once	 Parent'''
Jacob Avila	jacob_avila_0086	7.0	'''Specific among fear: Actually these	 Hand best'''	'''(To various) 	 Eat wall look little relate and Night I'''
Thomas Skinner	thomas_skinner_7338	38.0	'''Outside: Within kind phone interview tend baby	 Home doctor material argue'''	'''Wind: Price	 Where'''
 	sarah_blevins_4952	2.0	'''Easy color adult; Think already candidate 	 Team control'''	'''Very sure three: Wait care ever field	 Easy station must'''
Randall Willis	randall_willis_0812	23.0	'''Note: Country	 then Opportunity short church red key a'''	'''Film seat couple foot: Personal unit so east whatever	 Carry shoulder lot clear culture'''
Samantha Noble	samantha_noble_2125	76.0	'''Note: Long	 then Wonder discussion range bar national'''	'''Note: Trade listen child many	 then Smile compare course write tough'''
Marcus Stevens	marcus_stevens_1979	77.0	'''Product anyone; System 	 Laugh public candidate stuff'''	'''Owner: Effect popular	 Break option'''
Matthew Khan	matthew_khan_8466	10.0	'''Single soon represent; Once level give personal 	 Wide clearly'''	'''Let; Push market travel 	 Choice likely itself adult'''
Sheila Velasquez	sheila_velasquez_3108	83.0	'''Employee change	 Cup air Music act girl'''	'''Note: Better radio	 then Section start college create program'''
Shane Johnson	shane_johnson_9026	1.0	'''Our about community fly: Exactly	 Nature several opportunity whom consider'''	'''Wrong war almost day: Much	 Expert'''
Amy Howell	amy_howell_0776	45.0	'''Painting something; By 	 Quite activity reduce color onto mouth follow'''	'''Human; Well 	 Here'''
Autumn Campbell	autumn_campbell_6630	39.0	'''Class simple week spring	 Administration Best cut job call'''	'''Alone; High 	 Its politics week'''
Jay Williams	jay_williams_8865	97.0	'''(For piece sometimes wait free) 	 Try smile and Pay baby dog oil whom'''	'''Sport under year phone second; Impact in start pattern 	 Form another happy field close'''
Debra Mata	debra_mata_6848	15.0	'''Note: Week develop politics	 then Herself late'''	'''Evening strong dinner game little: Cold election very month on	 Kitchen'''
Valerie Cole	valerie_cole_3799	36.0	'''Budget to country simply: Year actually condition help cut suggest	 Movie politics expert artist understand'''	'''Water either: Require road	 Establish remain arm memory'''
David Rogers	david_rogers_3911		'''Student else health; Different mean international 	 Can glass state'''	'''Note: Power	 then Four bring leave'''
Katie Smith	katie_smith_8580	30.0	'''Note: Ahead already	 then Program white'''	'''Note: Suggest western	 then Training lead'''
David Watson	david_watson_4323	63.0	'''Him involve indicate he	 Might policy Wonder'''	'''(Fast their meet show energy state) 	 Act available and Specific everybody'''
Rebecca Moody	rebecca_moody_8974	38.0	'''Realize especially decade clearly direction catch: Against too	 Wonder interesting practice once'''	'''Note: Have	 then Day new professor'''
