# This is a comment line to skip
name;salary;price;score;review
Mrs Karen Harris;86.0;31.1;99.2;"""Laborum rerum; Commodi nesciunt cumque aliquid animi ; Aliquam magnam"""
Katherine Dixon;33.0;80.1;47.2;"""Distinctio deleniti numquam; Nemo adipisci iste sunt labore Delectus qui"""
Mr Stewart Davies;71.0;23.1;22.2;"""Vero: Explicabo assumenda recusandae labore; Quae quibusdam sed"""
Ms Catherine Jackson;95.0;89.1;68.2;"""Note: Est incidunt; then Perspiciatis magni"""
Reece Carter;96.0;;21.2;"""Note: Officiis voluptates; then Dolores animi"""
Neil Burns;65.0;12.1;20.2;"""Commodi enim ipsam; Accusantium aperiam sequi Occaecati neque"""
Kayleigh Adams-Palmer;69.0;81.1;79.2;"""Note: Minima cupiditate consectetur officia tenetur; then Illo odit"""
Max Rogers;69.0;2.1;32.2;"""Note: Quia non adipisci minus; then Consectetur dolorum velit"""
Jonathan Ryan;32.0;72.1;100.2;"""(Illum quisquam aliquam magnam) ; Fuga aspernatur and Impedit itaque quo"""
Dr Marie Wright;34.0;12.1;93.2;"""Note: Laborum voluptate sed tenetur vero; then Nam"""
Samantha Cross;81.0;3.1;28.2;"""Eum dignissimos; Debitis id neque distinctio necessitatibus Eius"""
Mr Steven Thomas;66.0;28.1;11.2;"""(Rem dolor) ; Qui placeat and Sit numquam"""
Susan Palmer-Dale;13.0;92.1;38.2;"""In commodi: Officia doloribus saepe molestiae illo illum; Reprehenderit"""
Roger King;100.0;22.1;52.2;"""At accusantium doloremque beatae veritatis illum; Aperiam mollitia ; Consequatur consequatur sunt earum"""
Nicole Chan;84.0;52.1;12.2;"""Note: Eaque; then Consectetur natus dolores"""
Marilyn Khan;39.0;31.1;37.2;"""(Quidem itaque quia accusantium suscipit dolore) ; Corporis aperiam and Fugiat labore quaerat necessitatibus dolorem unde nesciunt"""
Garry Graham;83.0;69.1;;"""Note: Magni quasi esse; then Debitis"""
e;50.0;50.1;42.2;"""Incidunt pariatur nostrum; Mollitia architecto Veniam"""
Dr Hazel Kent;;42.1;56.2;"""Aliquid aut: Culpa quos; Quae"""
Mr Samuel Wright;12.0;7.1;68.2;"""Exercitationem esse accusamus nihil; Fuga suscipit tempora ; Quaerat consequatur veniam"""
Christine Fitzgerald;31.0;70.1;46.2;"""(Iure reprehenderit ad) ; Sunt architecto iste voluptatum nesciunt nobis and Ratione quisquam tempora"""
Colin Porter;42.0;98.1;17.2;"""(Perferendis iure omnis veniam) ; Eum autem voluptatibus and Nisi fuga voluptatem"""
Yvonne Lees;5.0;75.1;39.2;"""(Voluptatibus tempore cum in) ; Id voluptatum enim and Odit aliquam sed"""
Dr Jonathan Williams;43.0;86.1;2.2;"""Inventore odio fugiat; Fugit nulla esse Maiores aperiam"""
Wayne Ward;2.0;75.1;12.2;"""Note: Vitae; then Nostrum qui"""
Miss Paula Johnson;88.0;42.1;33.2;"""Note: Nihil nulla in similique non amet; then Distinctio odio sequi esse voluptas"""
Jamie Akhtar-Hall;37.0;31.1;98.2;"""Quia impedit: Suscipit officia minima; Alias"""
Sandra White;14.0;85.1;90.2;"""(Asperiores error) ; Deserunt and Vero molestiae quisquam"""
Mrs Paula Ali;53.0;21.1;65.2;"""Laborum dicta; Consequatur error beatae ex dignissimos vero Aliquid ad aliquid"""
Katie Wilson;29.0;44.1;4.2;"""(Cum) ; At and Aperiam rem explicabo"""
Stanley Oliver;99.0;46.1;80.2;"""Magnam doloremque earum at; In ab molestias nulla Deleniti suscipit natus in"""
Dominic Walker;82.0;26.1;37.2;"""Ullam cumque; In ; Optio nostrum"""
