# This is a comment line to skip
username;score;rating;age;message
daniel_rhodes_0945;99.0;37.1;55.2;"""Woman: Teach and than bring hit your; Someone work though ten"""
laurie_mcneil_6019;95.0;94.1;89.2;"""Note: Pattern add; then Now picture future"""
rachel_zavala_5287;92.0;81.1;69.2;"""Call talk; Policy compare ; Until whom threat"""
carolyn_smith_6898;62.0;25.1;78.2;"""Rest something; Computer industry Scientist court what fill"""
sandra_johnson_9214;68.0;17.1;53.2;"""Note: Wish month claim; then Light them information"""
eric_garcia_1204;4.0;40.1;23.2;"""Herself reach religious; Him agree able at ; Culture establish expect"""
hannah_dodson_5589;34.0;92.1;45.2;"""Course thank must physical help after issue; News last near information right Lot heavy"""
jacob_robbins_0533;;65.1;15.2;"""Scene cup: Produce line science; Assume before pressure"""
jacqueline_gilbert_2925;2.0;;72.2;"""Commercial billion; Trouble treatment test sure ; Standard end blood"""
david_torres_9695;51.0;33.1;27.2;"""Decision somebody outside; Situation young American take Stuff"""
mark_gibson_9701;25.0;17.1;87.2;"""(Every decade idea) ; Industry throw and Important identify"""
ricky_alexander_0375;27.0;17.1;;"""Place; Sure change why something answer Subject election fill cultural"""
ronald_osborne_6127;11.0;67.1;77.2;"""(Shoulder more) ; While but and Dream"""
eric_larsen_1288;47.0;100.1;71.2;"""Amount collection class civil marriage production; Bit toward television product business ; Country"""
sean_perez_9147;60.0;85.1;26.2;"""Note: Thousand treat notice; then Democratic"""
brendan_jr_4194;93.0;57.1;69.2;"""(Sound age must white marriage) ; Response officer quite and Eight west task"""
nicholas_russell_4966;27.0;4.1;69.2;"""(You both) ; Employee with work and Seek relate treat"""
sean_spears_7874;48.0;25.1;76.2;"""Agency article he bar; Here perform ; Group show area response let"""
daniel_bennett_3904;76.0;2.1;27.2;"""Policy; Director big tend during ; They drive suggest"""
thomas_beard_9493;16.0;21.1;59.2;"""Market decide series woman: Cost owner relate; Sing television"""
lori_jones_6632;32.0;51.1;74.2;"""Market painting involve college force; Really fight keep should Visit environmental"""
patrick_brown_3600;42.0;3.1;8.2;"""Note: Heart occur; then Spring"""
michele_carpenter_2306;91.0;61.1;65.2;"""Marriage benefit contain environmental; Each police American ; Focus and marriage"""
brian_ferguson_1371;56.0;57.1;21.2;"""Century paper; Exactly painting Ok including there"""
joyce_green_0443;81.0;24.1;1.2;"""Decide wear from enough: Suffer while; With although seek"""
