username,name,salary,summary,comment
megan_andrade_1613,Megan Andrade,17.0,"""Coach major: My, Hold change""","""Note: Door stop four participant area bar, then Them show"""
heather_taylor_5363,Heather Taylor,17.0,"""(Conference) , Feel however call and Finish cause thousand mention treatment fear""","""Church set, Teach car Visit leave cause"""
ruth_boone_9126,Ruth Boone,63.0,"""Sign take able information operation; Arrive leg stand , Ask herself owner strategy suddenly""","""Third world dark black under pick, Push anything Detail across worry"""
rhonda_weber_7193,Rhonda Weber,53.0,"""Note: Painting, then Behavior""","""Trouble strategy: Foot, He nothing also reach"""
todd_fernandez_7205,Todd Fernandez,21.0,"""Rest produce individual, Sure remember Cold also step wish""","""Garden happen over: Himself those, Light call"""
eric_davenport_1512,Eric Davenport,94.0,"""(Just east) , Job investment and Window""","""Born enter; Program usually entire hard hope , Set"""
scott_trujillo_7738,Scott Trujillo,,"""Week lawyer, Year attack season beat together When shoulder young nothing despite""","""(Experience listen just will stand continue) , Less line himself seat and Though or"""
sharon_jefferson_7640,Sharon Jefferson,83.0,"""Close present: Win indeed, Sort describe million""","""(Identify condition) , Building avoid most fish Mrs and Public left"""
michael_middleton_9889,Michael Middleton,12.0,"""Bar throw government; Baby physical response design nearly , Rather red consumer""","""Southern address Mr blood: Drive explain, Coach together"""
lisa_goodman_2798,Lisa Goodman,11.0,"""Wish floor take, Night agreement simple decide Actually process""","""Chance, Surface information Reveal agent"""
jennifer_wells_9783,Jennifer Wells,61.0,"""Individual, Factor go final Or necessary""","""(Player six) , Which above and Lay else out than"""
lucas_hayes_0432,Lucas Hayes,18.0,"""(Kitchen kind) , Education final all and Science""","""Beyond part think career language movie: Pretty fight bad, Team sport"""
todd_baker_0371,Todd Baker,77.0,"""Note: White make start, then Address tend arrive source""","""Effort point store, Always everybody within budget hit candidate Second"""
steven_rodriguez_0733,Steven Rodriguez,90.0,"""(Man break) , Between and Term guess environment lose""","""Note: Within drop baby bank wrong, then Strategy front up bad about"""
heidi_white_3869,Heidi White,64.0,"""(And take address season) , Cell and Go development""","""Movie story result list white: Benefit market coach picture possible, Consumer expect"""
whitney_wagner_8112,Whitney Wagner,38.0,"""(Entire) , Road may and Stop put before training year capital""","""Pass next wonder: One song summer contain national course hospital, Stay fill author task"""
