name,price,salary,rating,summary,note
Antony Griffiths-Wilson,71.0,13.1,28.2,"""Minima vero doloremque debitis beatae: Minus quo, Quaerat iste doloremque quis non""","""Illo quos dolorem suscipit; Nisi , Recusandae"""
Charlotte Campbell-Jones,7.0,46.1,91.2,"""Minus earum dicta; Similique sapiente , Nisi fuga""","""Harum doloribus aperiam hic provident, Tenetur repudiandae dolorum Ad dolore optio"""
Sara Mitchell,80.0,57.1,39.2,"""(Architecto sapiente) , Nam dolorem and Ducimus accusamus""","""Ex quos, Culpa quaerat Iusto dolorem iusto nisi"""
Tina Walker,61.0,92.1,37.2,"""(Ut sunt eos sapiente nobis inventore) , Nisi consequuntur ipsam impedit fugit and Pariatur iure aut""","""Expedita omnis sint corporis: Officia fugiat, Facere sed cumque"""
Linda Gardner,90.0,17.1,6.2,"""Mollitia modi magnam incidunt mollitia, Doloremque doloremque repellat vero Dolorum quam""","""(Voluptas nam eligendi quibusdam ab) , Est laborum consectetur and Ex adipisci voluptate sed beatae"""
Cameron Hughes,78.0,53.1,22.2,"""Sapiente ut temporibus tenetur, Id Cupiditate""","""Architecto debitis; Voluptatum animi a , Similique eaque amet exercitationem libero sequi"""
Marc McCarthy-Mills,34.0,4.1,59.2,"""(Nam culpa animi) , Id praesentium and Quia aliquid natus itaque""","""Dicta sit non, Modi itaque quasi natus Provident sequi nemo quisquam"""
Samuel Wade,62.0,33.1,99.2,"""Note: Nulla tempora perspiciatis nulla, then Animi eligendi quod quae animi""","""Quisquam iure; Animi , Molestias libero"""
Dr Marie Price,29.0,37.1,31.2,"""(Dicta earum) , Nam molestiae harum asperiores quia and Modi esse""","""Recusandae tempora aspernatur corrupti dolorum magnam; Quam facere nisi nesciunt , Laborum quisquam eaque"""
Maurice Power,83.0,,28.2,"""Note: Maiores nesciunt deleniti perspiciatis, then Saepe aliquid cum repellat natus""","""Dolore rerum: Sint aliquid pariatur praesentium reiciendis, Harum repellendus recusandae"""
Craig Lee,19.0,30.1,87.2,"""Illo inventore sunt ex, Qui fuga Molestiae at voluptas aperiam reprehenderit""","""Tempore inventore officia excepturi animi; Reprehenderit , Ipsum consectetur"""
Dr Reece Elliott,,7.1,94.2,"""(Modi sequi dolor cum) , Voluptatum optio ut and Error modi deleniti soluta sapiente nesciunt""","""(Provident illum) , Pariatur perferendis and Ipsa beatae ducimus repudiandae"""
o,16.0,54.1,60.2,"""Iure unde sequi; Optio explicabo veniam , Asperiores modi inventore""","""Officia ullam harum nam, Inventore animi Corporis iure quibusdam nostrum"""
Martin Wall,88.0,13.1,61.2,"""Officia doloribus accusantium nihil: Consectetur ducimus fugiat, Omnis vel tempora""","""(Minima nobis officiis) , Laudantium officiis optio and Quibusdam voluptate molestias"""
Ricky Brown,33.0,82.1,11.2,"""(Sed eum reiciendis) , Architecto praesentium eligendi and Veritatis vel nobis""","""Facilis sint beatae excepturi, Facere error Consequuntur omnis recusandae dignissimos"""
Carol Craig,99.0,55.1,55.2,"""(Ullam) , Omnis quidem and Fuga""","""Labore et omnis; Eaque commodi totam amet fugiat , Consectetur odio animi"""
Valerie Carr,27.0,73.1,36.2,"""Temporibus veritatis quos et deserunt; Ipsum commodi , Magnam porro hic""","""Note: Dicta eaque dolore deleniti blanditiis, then Aliquam"""
Mark Taylor,38.0,32.1,33.2,"""(Quo mollitia soluta) , Dignissimos reprehenderit ipsa ut and Blanditiis ea delectus corporis accusamus voluptatibus""","""Note: Iste aliquid natus quibusdam, then Sint"""
Marc White,67.0,60.1,61.2,"""(Voluptatibus error omnis et) , Ducimus et totam enim and Eligendi""","""Quae rem: Porro ad mollitia, Est quo omnis"""
Victoria Osborne,23.0,49.1,26.2,"""Tempore, Suscipit adipisci architecto Voluptatibus debitis mollitia debitis""","""Nesciunt corrupti; Cum ea nemo eos , Aspernatur aspernatur"""
David Butler,29.0,21.1,10.2,"""Tempora id, Ab Ea soluta non sequi vero veniam""","""Possimus: Quibusdam, Beatae"""
Denis Kennedy,100.0,10.1,65.2,"""Eius quis: Reprehenderit dolores, Accusantium maxime""","""Rem non voluptatem: Porro, Sequi doloribus"""
Lindsey Taylor,46.0,80.1,6.2,"""(Repudiandae totam eum) , Quaerat libero and Similique""","""Quis iste optio esse odio beatae: Sit fugiat voluptas, Accusantium nam inventore unde sequi voluptas"""
Mrs Paige Baker,18.0,89.1,83.2,"""Cupiditate dicta, Praesentium rerum sapiente Quisquam recusandae facere qui adipisci""","""(Rem voluptatem laboriosam) , Deleniti doloribus asperiores and Nostrum quibusdam"""
Dr Nicholas Bell,52.0,4.1,47.2,"""Consectetur nisi: Inventore porro expedita ab esse deleniti, Deleniti quis hic""","""Alias voluptatibus fugit repudiandae quos ab voluptas, Nihil sunt Exercitationem inventore debitis"""
Aimee Sharpe,60.0,76.1,52.2,"""Fugiat, Facere pariatur vero Inventore inventore pariatur assumenda""","""Note: Voluptatem soluta illum adipisci, then Nam"""
Mrs Barbara Henry,99.0,100.1,13.2,"""Occaecati aspernatur atque: Sapiente facilis porro amet, Earum mollitia nostrum culpa saepe""","""Note: Quidem saepe sapiente accusantium ab, then Asperiores nihil"""
Alison Davis,47.0,71.1,,"""Ipsum: Accusantium, Soluta""","""Note: Alias, then Aut consequatur"""
