name	username	rating	comment	note
Daniel Graham	daniel_graham_9807	77.0	"""Maintain range: Make art	 Answer"""	"""Hit pattern head	 Great rate Why car sometimes"""
Jerry White	jerry_white_7749	23.0	"""Note: Radio	 then Condition enjoy"""	"""Note: Ground resource human	 then Agreement what skin"""
James Jones	james_jones_9129	68.0	"""Itself; Summer leg wide 	 Somebody PM behind example collection another"""	"""Note: Develop forward discuss	 then Sister"""
Stephanie Turner	stephanie_turner_2286	94.0	"""Note: Good heart	 then Majority senior serve writer"""	"""Note: Few about	 then Instead book"""
Michelle Davila	michelle_davila_2022	50.0	"""Note: Attention dinner deep job	 then Discussion student live"""	"""Full per fight court suffer; Travel thank 	 Young"""
Joseph Manning	joseph_manning_1918	73.0	"""Gas that: Account	 Free many garden affect"""	"""Order clearly owner process	 Yourself send pattern positive These vote"""
Alyssa Banks	alyssa_banks_5451	40.0	"""Note: Best bed surface	 then Campaign"""	"""(School) 	 Sign occur three and Investment play life defense"""
Dr. Jeffrey Kemp	dr_kemp_9871	42.0	"""Both; Stock hair 	 Window last series president forward"""	"""Girl former expert act	 Town quickly tax far Sit new cut"""
Tom Russell	tom_russell_8108	23.0	"""Majority they process ahead water song	 Candidate knowledge less product Example he international walk five"""	"""Seem policy here; Grow opportunity all car 	 Animal democratic all"""
Joshua Mccarthy	joshua_mccarthy_0295	53.0	"""(Industry institution water war) 	 Interview citizen we and Cup lot style"""	"""Reason	 She physical Foot reflect"""
D	roberta_ferguson_0485	3.0	"""Note: Expert carry appear	 then Cost reason yourself"""	"""Note: Project dream somebody	 then Treatment she PM no have"""
Paul Ortega	paul_ortega_6385	11.0	"""Expert while moment the; Though 	 Art drive"""	"""(Result still truth speech guess) 	 Shoulder and Do carry"""
Tammy Woods	tammy_woods_4153	3.0	"""(Put wind rise while strong) 	 Ready and Live"""	"""Difficult across often gas stand	 Three only Response"""
Valerie Brown	valerie_brown_8759	34.0	"""Part win hour; Hair carry 	 Paper election mean stuff"""	"""Guess choose; Research investment term 	 Me"""
Hannah Walker	hannah_walker_7941	72.0	"""Foreign expert	 Knowledge police agreement my dark One alone easy perhaps store audience"""	"""Likely century apply: Cup example	 Plant piece into"""
Tracie Lewis	tracie_lewis_8403	7.0	"""Note: Meet benefit buy	 then Business health artist seat"""	"""Note: Dinner television	 then Event itself opportunity five understand"""
William Baker	william_baker_3122	80.0	"""(Production raise again southern front if) 	 Walk keep loss and Political"""	"""(Trade may political) 	 Position imagine voice skin ball quality and Age less democratic"""
Stephen Walker	stephen_walker_6855		"""Note: Approach fire between	 then Do decision their choice"""	"""Benefit: Buy its real	 Night response alone"""
Brian Ayers	brian_ayers_6172	65.0	"""Focus particular	 Yet choice no one heart conference Station"""	"""Note: Give main on boy	 then Only spring pick turn"""
Michael Murphy	michael_murphy_0755	99.0	"""(Impact car pass two) 	 Really key and Throw"""	"""Note: She growth choice	 then Move yes per have specific"""
Mr. Andrew Roach	mr_roach_8109	71.0	"""Help growth	 Station design sing person boy Hard student"""	"""Push affect adult yes wind	 Analysis imagine size Very guy"""
Kathryn White	kathryn_white_9472	94.0	"""Too two	 Most well Democrat prove"""	"""Minute finish single	 Security even ever Six natural stuff"""
Kylie Curry	kylie_curry_9196	37.0	"""(Or suffer per magazine value west) 	 Nice sell meeting main all growth and Speak front option similar drive whether"""	"""Pretty recent	 Half help there girl Situation"""
Jessica Meadows	jessica_meadows_1480	82.0	"""Score	 Where rather change water Say up"""	"""Note: Situation day one method house sound	 then Theory model"""
Dana Chang	dana_chang_9611	93.0	"""(Center respond office break) 	 Technology alone explain and Hospital degree relate"""	"""(At) 	 I pass matter and World pull water where shake"""
Heather Howe	heather_howe_6142	19.0	"""(Than charge) 	 Control fund grow will and Nothing usually interview"""	"""Rise everything because we: Why yes international voice	 Capital three north sport free"""
Jared Hansen	jared_hansen_3788	5.0	"""Note: Front	 then Report road"""	"""Note: Everything number yet	 then Wonder second fire interview"""
Laura Taylor	laura_taylor_7807	85.0	"""Identify seem: Particular	 Hold"""	"""Note: Front skin	 then Together couple along"""
Anna Livingston	anna_livingston_6765	85.0	"""Note: Debate mission much responsibility phone area	 then Coach surface actually"""	"""Note: Congress strategy	 then Him hit dark somebody"""
Erin Brown	erin_brown_8024	33.0	"""Note: Front prevent discover	 then Foot"""	"""Walk writer heavy rest want: Decide despite	 Thus fill go heavy serious"""
Robert Conner	robert_conner_9985	95.0	"""Wear them store: Fund reveal	 Line president personal"""	"""Business while woman: Man clear	 Our his"""
Brian Rodriguez	brian_rodriguez_1633	74.0	"""Treat child	 Hospital address Skill second far"""	"""Note: Method exactly operation	 then Cultural yet cup strong"""
Caleb Mason	caleb_mason_2917	59.0	"""Note: While throw	 then Professional economic difficult"""	"""Four trial: It	 Consider"""
Aaron Baldwin	aaron_baldwin_6677	7.0	"""(Have none) 	 Term rock and Teacher soldier growth respond show"""	"""Perhaps budget law care; Rich interest move 	 Talk yourself without nice enter this"""
Angela Howard	angela_howard_2794	70.0	"""Reduce onto ask: Cost magazine tree	 Call sense say himself"""	"""Describe: Start relationship star line	 Majority far growth meet social"""
Ashley Carey	ashley_carey_4317	68.0	"""Note: Why	 then Now since"""	"""Bad	 Hour job Especially rather service no trial"""
Rachel Bradford	rachel_bradford_5465	86.0	"""Note: Strategy various	 then Evidence somebody land high yes"""	"""About; Air mother lose player 	 Central Congress ask the bad minute"""
Scott Adams	scott_adams_0532	44.0	"""Note: Sell	 then Successful here family"""	"""Continue throw understand field	 Consider may Interesting reality"""
Melanie Price	melanie_price_0286	48.0	"""Today political red: Southern arrive clearly	 Detail right can defense"""	"""(Area score) 	 Attack example and At include huge"""
Phillip Wilson	phillip_wilson_7640	18.0	"""Note: Hit able character foot	 then Should"""	"""Note: Seem really	 then Another prove agreement"""
James Watts	james_watts_3332	16.0	"""(Bar term piece never) 	 Evidence our too meeting voice and Ten his source pay"""	"""Need watch onto evening: Single read onto	 Every company to recently"""
