username;score;total_count;salary;remark
daniel_murphy_2023;7.0;15.1;89.2;'''Sell arm behavior determine; Product up city World industry next gun just'''
monica_mullins_1809;27.0;86.1;35.2;'''Himself prove alone southern deep; Ground find not Agency drive though section question'''
michael_hicks_5206;15.0;44.1;54.2;'''Citizen natural respond similar decision more; Choice practice business trial character election How back'''
lauren_duran_5477;4.0;36.1;59.2;'''Sister front: Or choice yet expert market seem; Nature beautiful'''
matthew_mccall_0430;27.0;13.1;17.2;'''Bad drive six weight through; Grow head term Truth enough'''
benjamin_ritter_2339;25.0;71.1;64.2;'''Heavy world: Some seven box; White describe'''
kristen_lindsey_8841;26.0;12.1;22.2;'''Note: Environment themselves; then Prevent relationship professor pressure see'''
adrienne_cordova_5305;40.0;46.1;53.2;'''(Rise hospital community help) ; Organization positive they and Process activity participant'''
bobby_foster_6958;59.0;2.1;49.2;'''Note: Take; then Sometimes charge'''
dawn_nichols_6215;79.0;59.1;9.2;'''Apply room crime responsibility; Prevent indeed where Detail subject wife end'''
lori_lawson_5801;100.0;17.1;53.2;'''Task gas last former reach: Ok; School cost box goal down'''
joseph_roberts_6008;75.0;77.1;92.2;'''(Blood level officer cost) ; Fact key as effort and Type concern'''
william_hicks_5360;90.0;55.1;32.2;'''Indicate station attack; Second woman training law Book his risk summer take pattern'''
carly_wagner_4068;55.0;69.1;68.2;'''Order: From impact dark effect; Scene where'''
mr_phillips_2581;66.0;51.1;12.2;'''Brother call natural little be authority unit; Network those ; Describe side never'''
martha_swanson_6635;12.0;35.1;100.2;'''Draw: Country; Head fast the economic'''
denise_reynolds_0131;77.0;95.1;83.2;'''(Deep) ; Fall perhaps huge and A'''
lindsey_manning_7723;;49.1;19.2;'''Note: Economy recently; then Position class style'''
anne_ellis_7048;64.0;8.1;88.2;'''(Create available case station key) ; Test meeting large matter school and Letter wind way'''
jill_combs_4273;84.0;24.1;6.2;'''Note: Probably maybe argue; then Successful'''
john_friedman_8550;30.0;86.1;7.2;'''Type professor would democratic plan such: Rock often live; Professional culture decade'''
anthony_morris_7746;49.0;74.1;13.2;'''Before; Attack Tax fish dream inside'''
jessica_simmons_4591;86.0;35.1;55.2;'''(Soon drop direction step) ; Reason agent important them any table and Support wide nor'''
sarah_conley_0495;29.0;16.1;;'''Population despite wall daughter; Out skill product challenge who ; Fish finally full'''
brian_mccarty_4728;53.0;2.1;54.2;'''Set beautiful sign seem; Plan because ; Hand old human'''
travis_flores_6593;25.0;50.1;42.2;'''Because write identify accept: Start grow; School type'''
brian_wood_0167;28.0;73.1;74.2;'''Policy radio party: Someone ball building; Recognize capital wind father situation'''
carla_franco_3308;5.0;46.1;98.2;'''(Price) ; Old religious do yet street letter and Scientist push'''
amy_carpenter_1373;37.0;27.1;91.2;'''Remember campaign people soldier: Center future throw scientist; Class reach'''
erica_stevens_1381;76.0;11.1;36.2;'''(Yeah treatment) ; Simply close describe and Security less product'''
melanie_white_6032;68.0;10.1;15.2;'''(Technology) ; You ground us green and Director interview'''
jo_branch_3153;49.0;;56.2;'''(Deep let) ; Attention they side and Up agreement agree how consumer'''
wesley_fuentes_5532;38.0;68.1;45.2;'''Need choice girl seven; South Must sit card weight'''
rachel_evans_7956;60.0;5.1;38.2;'''(Piece program PM) ; Television exactly and Stand who election nothing leg product'''
