name;salary;score;price;description
Jenna Henson;70.0;49.1;92.2;'''Election smile question write; Lose avoid there Work'''
Michael Snyder MD;2.0;21.1;78.2;'''Help notice: Minute push performance here contain improve; Article believe cut'''
Linda Romero;23.0;15.1;90.2;'''Although check call right; Piece beautiful support entire Some serve'''
Emily Payne;44.0;89.1;67.2;'''Agency debate approach; Machine local Tax lose allow marriage'''
Heather Lyons;35.0;92.1;11.2;'''Lead audience side senior game meeting; Shoulder truth add Book follow'''
Cody Robertson;90.0;46.1;21.2;'''(Act) ; Property huge and Position market fear realize amount method'''
April Wallace;88.0;61.1;50.2;'''Piece very culture building same; Design response leader smile worry pass ; Down itself language interview sister'''
Seth Benjamin;2.0;68.1;74.2;'''Beyond remain economy by; Specific middle add recognize before arrive ; Represent same'''
Brett Nelson;32.0;41.1;65.2;'''Employee score husband research instead identify: Successful young; Cover medical campaign'''
Joseph Williams;33.0;27.1;;'''Note: Treatment put; then Forward quite take glass reality'''
Kenneth Daniels;;28.1;33.2;'''Note: Training have thus technology; then Skin write direction fine ok'''
Brianna Jones;64.0;50.1;4.2;'''Note: Here significant similar young; then Before plant nothing'''
Kyle Robertson;11.0;25.1;3.2;'''Really give age; Explain wear Ok not'''
Mary Graham;37.0;4.1;90.2;'''Probably itself strong good free; Fly area morning start today Have voice others'''
Hannah Stone;67.0;8.1;78.2;'''Region sing back; Movement skill election ; Officer low'''
Ronald Miller;56.0;93.1;2.2;'''Picture Mrs; And drive since teach ; Contain federal source'''
Christopher Nielsen;100.0;29.1;58.2;'''Education: Both whether; Measure television themselves history'''
Margaret Henderson;24.0;86.1;74.2;'''Customer; Born ; West'''
Robin Larson;46.0;75.1;9.2;'''(Evening fact central) ; Whether and Add watch always'''
David Lawson;36.0;41.1;76.2;'''Seem and effort sign: Night quite; Father quickly above which'''
Alison Brown;32.0;97.1;97.2;'''Note: Whole actually recent; then Bit'''
Brandon Morrow;16.0;36.1;99.2;'''Participant hit; Finish anyone then ; Modern'''
Madison Baker;57.0;92.1;12.2;'''Note: Catch full; then Case interview spend'''
o;29.0;65.1;2.2;'''Education; Must teacher within Friend last media'''
Mark Park;42.0;61.1;57.2;'''Note: Tax; then Produce than herself operation control than'''
Carl Hayes;59.0;47.1;79.2;'''From imagine music: Nice; Themselves'''
Kelly Cook;32.0;39.1;45.2;'''Ask note science; Either ; Eight six'''
Nicholas Peterson;22.0;67.1;28.2;'''Own; Whether sit board rather anyone visit ; Account ten certain skin central'''
Carrie Rodriguez;33.0;88.1;13.2;'''Space example or least try: Issue note; Must party'''
Michael Rodriguez;95.0;95.1;60.2;'''Process worker field; Affect force than ; Skin'''
Stephanie Hopkins;6.0;79.1;54.2;'''Enjoy care and decide worker; Room camera Major region'''
Michele Phillips;93.0;65.1;23.2;'''(Same food) ; Improve leave yourself and Hard family realize here'''
Christina Davis;42.0;92.1;15.2;'''Those administration read alone: Data strategy its; Budget will somebody international nearly best'''
Danielle Garcia;13.0;15.1;7.2;'''Memory; Capital hotel main more world ; Parent'''
Martin Barrera;36.0;13.1;27.2;'''Note: Child important; then Majority'''
Brandon Holland;39.0;;12.2;'''Management toward present; Response cultural college man fast policy ; Other name without'''
Samantha Scott;87.0;32.1;55.2;'''Mind eight: Fast region far degree; Response available result'''
