# This is a comment line to skip
username;price;salary;rating;message
jessica_davis_6774;60.0;53.1;78.2;'''My hope: Myself hope tax fill; Continue yourself'''
edward_anderson_0172;59.0;39.1;;'''Heart avoid campaign; Energy increase us Various figure'''
kathleen_barnett_5752;53.0;9.1;57.2;'''(Surface short early) ; Suddenly animal everything such stop and Short skill after'''
mrs_brewer_6128;71.0;91.1;97.2;'''(Run central) ; Ground style truth and Everything he at'''
jessica_white_4759;88.0;99.1;6.2;'''Responsibility go dog star old; Wide fund Stand'''
darrell_russell_4485;;80.1;86.2;'''(Green) ; Police level forget tell authority child and Course exist book develop'''
george_lawson_3928;93.0;93.1;14.2;'''Note: Campaign couple would so rather; then Turn tax individual'''
donald_stewart_5217;18.0;46.1;4.2;'''(One run street) ; Worker both market and Out learn vote'''
edward_welch_7631;13.0;28.1;25.2;'''(Phone why manager pay) ; Mouth above and Simple production'''
shawn_barrett_1027;19.0;92.1;3.2;'''(Wife buy court drive) ; Ask day and On rise computer enjoy class than'''
katrina_montgomery_5801;100.0;14.1;60.2;'''Quite good grow senior; Way somebody ; Movement southern'''
austin_velez_4377;48.0;60.1;67.2;'''(It response future) ; Reduce call spend customer different and Its citizen food amount event'''
maurice_sanchez_3977;99.0;1.1;11.2;'''Area seven indeed: Treat important main maintain guy; Design may after view'''
alexandra_robinson_4018;62.0;21.1;14.2;'''Themselves tend hotel artist want; Hundred we Reduce'''
lori_franklin_7507;68.0;24.1;70.2;'''(Pull road) ; Work building worker and It'''
holly_gardner_8085;44.0;36.1;90.2;'''War tonight two; Moment American similar Better wall discuss'''
joshua_gilmore_8087;41.0;25.1;20.2;'''Else skill say table; Religious theory ; Material form'''
cristian_greene_7180;76.0;49.1;69.2;'''(Out) ; Class wife pattern provide peace and Stay process'''
edward_morgan_9506;55.0;67.1;29.2;'''Town need plant fight time; Why other decade Yeah indeed'''
sabrina_garcia_9838;10.0;40.1;74.2;'''Campaign skill head traditional; Full past accept ; We respond recent say statement she'''
nicole_graham_4712;9.0;49.1;100.2;'''Human first wife one present; Experience idea fund should light fire ; Through employee along turn'''
juan_kennedy_4097;34.0;19.1;80.2;'''Toward give; Evidence movie artist Describe ball'''
jacqueline_parsons_4236;57.0;51.1;95.2;'''Note: Positive type machine factor; then Ten yard laugh'''
tim_valdez_0165;71.0;79.1;98.2;'''Far; Large red plant real always young Interest church reflect somebody born anyone'''
travis_weiss_7919;57.0;5.1;39.2;'''Different choice current other figure; Adult truth phone politics ; Any walk often government also'''
cynthia_martinez_5734;6.0;87.1;20.2;'''(Authority south security) ; Relationship stock probably radio and Without day'''
mrs_reed_3009;74.0;48.1;52.2;'''Indeed experience; International interview right result Effort true'''
stephanie_perkins_7275;45.0;7.1;46.2;'''Note: Similar seem stage company down; then Water top'''
katelyn_kelly_1378;86.0;85.1;94.2;'''Note: When court do appear east on; then Small within environment send'''
sandra_vazquez_4203;68.0;;36.2;'''Talk it wife; Direction billion less ; Their hot ago'''
jennifer_kerr_3112;32.0;74.1;54.2;'''Note: Treat change piece management capital; then Blue'''
michael_meadows_2137;19.0;3.1;39.2;'''Deal should question official its; Fast tonight Skin military air'''
marvin_coleman_0915;45.0;71.1;38.2;'''(Leader understand) ; Term deep and Responsibility price executive ago'''
mr_hernandez_1684;37.0;49.1;57.2;'''Note: Prevent adult American; then Hair simple hard far'''
