username,name,total_count,score,message
kenneth_allen_2375,Kenneth Harding-Allen,8.0,16.1,'''(Praesentium) , Quas placeat est and Quia omnis'''
dr_hammond_8964,Dr Bernard Hammond,8.0,49.1,'''Note: Cum consequuntur, then Voluptate cum nam eligendi'''
raymond_lamb_2382,Raymond Lamb,31.0,80.1,'''Note: Molestiae expedita, then Distinctio praesentium veritatis incidunt ea'''
ms_taylor_8364,Ms Sarah Taylor,43.0,94.1,'''Note: Officiis, then Non odio inventore'''
clare_rhodes_5917,Clare Rhodes,25.0,4.1,'''Nulla in: Sunt magni reprehenderit officia natus, Adipisci ullam velit'''
mr_foster_0657,Mr Allan Foster,58.0,100.1,'''Note: Harum repudiandae earum error nam corrupti, then Veritatis unde'''
ashleigh_moore_0015,Ashleigh Moore,43.0,34.1,'''(Cumque porro voluptate voluptates) , Consequuntur eum and Architecto eos ullam'''
fiona_kaur_5113,Fiona Kaur,79.0,27.1,'''Ipsa numquam earum asperiores quasi; Inventore tempore rerum , Dolore'''
mrs_hamilton_5710,Mrs Natasha Hamilton,3.0,6.1,'''Molestiae exercitationem, Aspernatur sit culpa laboriosam Qui'''
gordon_bradshaw_6969,Gordon Bradshaw,93.0,59.1,'''Hic iste sapiente perferendis; Vel cupiditate recusandae , Repudiandae'''
henry_ellis_3682,Henry Watkins-Ellis,6.0,97.1,'''Nulla fugiat: Dicta cum culpa ex, Soluta'''
dr_freeman_0040,Dr Diana Freeman,14.0,20.1,'''Eaque itaque rerum, Dolorum Accusamus distinctio quae'''
miss_lane_3032,Miss Tina Lane,47.0,,'''Note: Amet nisi eos, then Blanditiis odit est nostrum'''
georgina_phillips_3720,Georgina Phillips,,85.1,'''Quaerat vero nemo autem; Recusandae dolores , Corporis quod'''
louise_taylor_6533,Louise Taylor,75.0,34.1,'''Blanditiis suscipit similique: Sapiente rem totam, Natus esse'''
miss_evans_7501,Miss Michelle Evans,5.0,74.1,'''Note: Culpa minus, then Incidunt velit'''
victoria_thomas_2687,Victoria Thomas,34.0,35.1,'''Delectus assumenda: Beatae dolorum, Accusantium ut ipsa aliquid corrupti'''
daniel_yates_7063,Daniel Yates,45.0,28.1,'''Note: Odit, then Tempore temporibus ipsum laborum'''
david_hobbs_5693,David Hobbs,2.0,37.1,'''Culpa id iure, Laudantium qui repellendus nostrum Eos veniam at'''
mr_wade_4488,Mr Philip Wade,46.0,30.1,'''(Quo earum ex) , Tempora facilis possimus magnam earum and Voluptate provident'''
charles_kirk_8878,Charles Kirk,33.0,69.1,'''Note: Laboriosam ullam reprehenderit, then Blanditiis placeat ipsa recusandae'''
mr_fraser_0074,e,82.0,47.1,'''Quisquam doloribus: Doloribus, Sunt ullam'''
rosemary_johnson_4795,Rosemary Baker-Johnson,52.0,48.1,'''Facere illo accusamus error; Debitis ullam libero , Culpa rem'''
mohammed_francis_7972,Mohammed Francis,15.0,81.1,'''Note: At laboriosam autem iusto maxime, then Enim suscipit alias'''
catherine_barry_2808,Catherine Barry,22.0,88.1,'''Vero sit enim fugiat, Corrupti optio voluptatibus aspernatur cumque Totam veritatis'''
sally_foster_8574,Sally Foster,12.0,49.1,'''Corporis iste quo quas; Quasi sint culpa nihil voluptas , Laboriosam'''
aaron_davies_9677,Aaron Davies,22.0,52.1,'''(Architecto ipsam veritatis) , Molestiae aspernatur quae minus unde and Exercitationem ea ducimus laudantium'''
melanie_lyons_6879,Melanie Lyons,59.0,61.1,'''Note: Amet praesentium, then Consequuntur dolor quo'''
mr_smith_4628,Mr Iain Smith,70.0,83.1,'''(Eaque eius molestiae neque) , Voluptatum magni voluptatem fuga eos and Soluta'''
katie_jordan_8045,Katie Jordan,99.0,85.1,'''(Consectetur incidunt libero) , Optio at veniam cupiditate and Deleniti nesciunt'''
miss_clarke_4962,Miss Lindsey Clarke,33.0,75.1,'''Inventore alias nobis: Enim odit, Quasi'''
mr_hodgson_2978,Mr Kenneth Hodgson,100.0,13.1,'''Note: Magni illum saepe cumque maxime officia, then Voluptatibus'''
mrs_owen_0204,Mrs Anna Owen,89.0,3.1,'''Provident: Ipsum sunt reiciendis vel, Quidem excepturi maiores ducimus'''
