name	salary	price	rating	note	message
Jenna King-Armstrong	90.0	78.1	44.2	"""Note: Magnam expedita nisi	 then Labore dolores pariatur mollitia"""	"""Labore ut; Assumenda dolorum delectus quis 	 Sapiente sint unde"""
Alex Webster	19.0	86.1	48.2	"""Quis voluptatibus; Aperiam doloribus 	 Odio veritatis"""	"""Voluptatum	 Dolores Minima"""
o	11.0	93.1	19.2	"""Note: Quis minima rem ab dolorum	 then Non fugiat voluptas labore minus"""	"""Note: Commodi delectus quas corrupti debitis	 then Placeat quisquam"""
Dr Irene Moore	61.0	45.1	51.2	"""Quisquam: Praesentium debitis	 Rem sed dolorem commodi porro"""	"""(Quisquam cupiditate provident) 	 Accusantium and Facilis repudiandae iste"""
Jamie Wood	37.0	11.1	92.2	"""Quia dicta ea quibusdam: Eius voluptates exercitationem repellat	 Iusto cupiditate ratione"""	"""Facilis amet suscipit; Distinctio asperiores earum quo corporis commodi 	 Ab iure tenetur voluptas"""
Jacob Mills	2.0	96.1	13.2	"""(Quia sint quam debitis) 	 Sunt autem cumque and Qui voluptate"""	"""Commodi perferendis ducimus temporibus; Consequuntur quia quisquam veritatis quae eveniet 	 Perferendis aspernatur"""
Anna Ellis		29.1	57.2	"""Note: Ipsam commodi debitis blanditiis molestiae	 then Incidunt ullam commodi voluptas similique provident"""	"""Doloribus tempore qui	 Esse corporis Sint inventore"""
Dr Conor Green	46.0	8.1	74.2	"""Fuga quas nihil	 Magnam molestias neque Accusamus voluptatibus eum esse"""	"""Note: Pariatur fuga	 then Consequuntur odio"""
Andrew Smith	36.0	43.1	82.2	"""Note: Asperiores rerum similique eos ab	 then Earum ullam dolor nobis sint nam"""	"""(Itaque at) 	 Tempore iste harum and Repellat nihil"""
Mr Antony Akhtar	60.0	99.1	38.2	"""Note: Nemo consectetur voluptate repudiandae modi	 then Quam saepe"""	"""(Illum itaque) 	 Assumenda cupiditate and Cupiditate magni facilis"""
Ashley Hayes-Holmes	96.0	13.1	11.2	"""Quam molestias corrupti ipsa: Eius temporibus voluptates	 Numquam"""	"""(Quaerat dolor vel) 	 Neque sint deleniti sequi and Id aliquam nam"""
Mr Jason Morley	77.0	62.1	42.2	"""Consequuntur dolore provident; Saepe dolorum 	 Pariatur quidem amet"""	"""Ratione minima	 Libero porro corrupti ad quia eos Similique deserunt mollitia atque quod corrupti"""
Ross Morgan	43.0	14.1	40.2	"""Quod non et consectetur soluta: Quo cumque	 Et"""	"""Optio minima	 Atque eos Dolore"""
Miss Leah Ahmed	42.0	88.1	88.2	"""(Dolor numquam saepe praesentium vitae) 	 Explicabo harum and Esse quis"""	"""Alias inventore tempora repellat; Eius 	 Quos aut"""
Sian Baker	63.0	70.1	67.2	"""Doloribus: Voluptas quibusdam	 Blanditiis"""	"""Itaque iure eveniet tenetur; Accusantium distinctio unde harum 	 Unde repellat distinctio iste distinctio maxime"""
Mr Stewart Richardson	95.0	10.1	66.2	"""Aliquid	 Fuga Quam est fuga minus"""	"""Suscipit laudantium autem; Quisquam deserunt 	 Aliquid quis quasi"""
Dr Steven Harding	63.0	90.1	16.2	"""Error eos; Veritatis suscipit laborum hic et 	 Aspernatur vitae dolore"""	"""(Quisquam commodi) 	 Consequuntur quaerat nihil repudiandae saepe repellendus and Non voluptas alias"""
Russell Carr-Walker	100.0	74.1	62.2	"""(Minus quo repellendus deserunt) 	 Nemo minima and Fugiat excepturi"""	"""(Minus praesentium) 	 Animi ex et ullam fugiat architecto and Maxime impedit"""
Irene Bennett	91.0	34.1	17.2	"""Alias sequi ipsum explicabo; Deleniti nobis repellendus molestiae 	 Deserunt"""	"""(Repellendus ab laboriosam voluptatibus culpa voluptatibus) 	 Molestias veniam and Natus nesciunt"""
Raymond Oliver	100.0	1.1		"""Asperiores ab molestias	 Laudantium assumenda similique Sapiente atque impedit"""	"""Porro necessitatibus animi nisi quaerat	 Dolorem sapiente Quam harum harum"""
Stuart Nicholson	47.0	30.1	28.2	"""Accusamus autem mollitia magni	 Iste labore adipisci ipsum optio Quia recusandae provident"""	"""(Enim velit) 	 Eaque illo and Ab doloremque"""
Duncan Bibi-Edwards	44.0	95.1	86.2	"""Eos et: Similique eveniet iste	 Animi debitis provident"""	"""Quae: Rem est non minus incidunt officiis	 Aperiam recusandae quas quod"""
Miss Debra Smith	49.0	4.1	9.2	"""(Tempore quaerat sed) 	 Dolores sit laborum ipsum aliquid occaecati and Praesentium adipisci"""	"""(Fugit qui quaerat) 	 Totam totam sunt and Consequatur id"""
Matthew Schofield	25.0	29.1	62.2	"""Note: Facilis natus quis voluptas exercitationem	 then Odit sequi aliquam"""	"""Culpa commodi architecto; Deserunt impedit 	 Atque illum inventore"""
