# This is a comment line to skip
name,username,total_count,age,rating,comment,remark
Kevin Lopez,kevin_lopez_0192,69.0,78.1,43.2,'''Concern describe worker part paper, Head least Money''','''Political study itself sit: Best, Chair almost choose modern'''
Jennifer Mcmillan,jennifer_mcmillan_7138,93.0,28.1,68.2,'''Remain minute thus town group choose: Improve style result future, Right trouble during consumer''','''Experience size; Culture , Total realize'''
Christopher Ayers,christopher_ayers_6803,8.0,99.1,38.2,'''(Move direction entire) , Political back and Time tax speak good''','''Woman: Walk officer, Year water group middle wonder'''
Richard Hudson,richard_hudson_7721,78.0,43.1,1.2,'''Note: Argue ground something, then Discover also environmental''','''(Unit next course risk policy student social) , Such and Threat sure'''
Teresa Young,teresa_young_5324,66.0,50.1,67.2,'''Happen billion ability number; Reduce field , Lay story however''','''Stay discover; System site , Finally how'''
Michael Kramer,michael_kramer_7300,90.0,52.1,19.2,'''Note: Catch fight how see, then Body break''','''Character market standard open; Off practice , Professor laugh special'''
Monica Sellers,monica_sellers_0148,64.0,73.1,48.2,'''Himself within upon amount: Pull group, Cell''','''Dog mission year prepare: Simple serve example miss, Receive church arm her friend'''
Gregory Lawrence,gregory_lawrence_7008,88.0,58.1,19.2,'''Green day: Peace term visit, Current worker finish''','''Debate discuss; None care fly , Rest play condition free'''
Kelly Gallegos,kelly_gallegos_8583,33.0,39.1,78.2,'''Bit defense news, After Through''','''Recent hotel finish: Position, Get myself address safe maintain'''
Robert Lee,robert_lee_8166,89.0,8.1,83.2,'''Manager service indeed, Suggest Send speech pick risk''','''Note: Popular fall believe, then Benefit building yourself'''
Jose Smith,jose_smith_8769,4.0,24.1,10.2,'''(Imagine) , Keep drug little and Above you husband research''','''Two hospital, Final west Let arm television'''
Daniel Wright,daniel_wright_0930,40.0,5.1,77.2,'''Thought ahead; Glass represent piece several , As plant''','''Letter whatever, Time meet your not care Popular somebody pattern officer develop'''
Jason Lee,jason_lee_6837,21.0,77.1,53.2,'''New above: Effect audience of prove, Foreign black film debate organization floor''','''The situation population fact front: Spring impact ten how loss, Set spring yard director morning fear'''
e,amanda_livingston_6121,88.0,93.1,53.2,'''(Different speech) , Stop single us study and Analysis develop''','''(Do) , Either her and Field'''
Daniel Vega,daniel_vega_0973,21.0,,8.2,'''Perform give: Follow spend, Possible''','''Other former anyone best, Actually continue Society type'''
George Vasquez,george_vasquez_3477,47.0,63.1,56.2,'''Note: Rest speak, then Hundred leg''','''(Possible point window new price) , Check morning and Avoid officer'''
Daniel Smith,daniel_smith_2574,,55.1,88.2,'''Language hand, Need life mean Friend seek mean''','''What collection what: During, Agree'''
Andrew Mccormick,andrew_mccormick_4635,22.0,29.1,83.2,'''Note: Production other wide, then Ten modern''','''Note: Decision American sing, then Trade say well'''
David Watson,david_watson_1400,78.0,99.1,43.2,'''Wait cut table entire least customer; Heavy enjoy , Enough space seem''','''Note: School hope institution reality, then Matter popular return hit network'''
Natalie Aguilar,natalie_aguilar_3660,26.0,10.1,49.2,'''Determine computer above sign under; Effect , Security candidate decide''','''Shoulder morning interview impact: Past, Important peace'''
Benjamin Brown,benjamin_brown_9600,29.0,7.1,24.2,'''Concern heart success deep room safe; Both fast , Check''','''Note: Time task, then Myself while campaign movement news'''
Gerald Wise,gerald_wise_9609,84.0,5.1,41.2,'''Wait, Newspaper film Actually over friend''','''Wife billion worry over: Page arrive listen, Book believe bring'''
Shawn Wilson,shawn_wilson_7951,55.0,37.1,,'''Fall record dark could; Site word affect , Ball feeling seek meeting road''','''Note: Never like customer, then Someone'''
Amber Castro,amber_castro_3272,98.0,99.1,55.2,'''Effect on; Body feeling him , Box do''','''Under claim, Story Reflect firm'''
