name;price;score;comment;note
Jasmine Lloyd;79.0;68.1;"""(Exercitationem iste deserunt nam saepe sunt) ; Harum eveniet and Illum consequuntur at aliquam""";"""Nulla optio doloribus reprehenderit adipisci; Ab Cupiditate quas"""
Martyn Todd-Fisher;42.0;98.1;"""Adipisci excepturi: Esse; Mollitia""";"""Dolor officia; Et illum sapiente ; Itaque perspiciatis"""
Dr Michael Brown;24.0;;"""Aperiam expedita; Perspiciatis dolorum ; Aut ipsa maiores""";"""Eius: Nobis tempore; Inventore facilis modi"""
Miss Leah Garner;29.0;23.1;"""Dolores hic perferendis: Magnam unde; Esse expedita dolorem ullam""";"""Perspiciatis aperiam aperiam minus cumque: Molestias; Corrupti recusandae consequatur"""
Paige Gordon;78.0;81.1;"""(Eius rerum) ; Deleniti blanditiis and Recusandae quaerat""";"""Omnis quibusdam nisi; Ipsam repudiandae dolorem ratione ; Temporibus nisi ipsum"""
Elizabeth Matthews-Clark;95.0;37.1;"""Ratione placeat natus nemo: Vero ad cum voluptas; Earum impedit culpa hic unde neque delectus""";"""(Veritatis fugiat repudiandae unde exercitationem) ; Aspernatur maxime itaque and Cumque harum"""
Francesca Ross;71.0;3.1;"""Sapiente vero; Ullam veritatis quae Corrupti voluptate""";"""(Dignissimos optio dolorem) ; Eos quam corporis nulla and Eveniet eaque hic"""
Suzanne Khan;36.0;20.1;"""Nisi excepturi: Assumenda iure; Eum dicta qui quo""";"""Note: Sit ipsam; then Cupiditate fugiat"""
Miss Nicola Reynolds;47.0;11.1;"""Note: Aut suscipit quibusdam; then Perspiciatis nisi""";"""Note: Ducimus necessitatibus fugiat vitae expedita laborum; then Reprehenderit debitis repudiandae"""
Joanne Richardson-Johnson;48.0;87.1;"""Molestias sunt voluptatem mollitia; Minus consectetur nam Deleniti perspiciatis""";"""Iste placeat; Voluptatem autem ; Cumque omnis"""
Bradley Taylor;39.0;34.1;"""Note: Odio consequuntur dolorem; then Sequi fugiat in temporibus officia earum""";"""Note: Excepturi quasi nihil; then Minima illum nihil"""
Elizabeth Morris;54.0;16.1;"""Possimus enim veritatis; Iste ex id quae accusantium ; Explicabo vero""";"""Aperiam nisi quos; Impedit ; Officiis dolorem"""
Scott Roberts-Wright;68.0;62.1;"""(At consectetur inventore) ; Ut est quis perspiciatis quibusdam id and Illo unde saepe alias""";"""(Consequatur ab facilis aliquam) ; Quos odio ab and Fugit unde adipisci nobis deserunt"""
Francesca Long-Smith;51.0;42.1;"""Atque vero; Ducimus animi odit voluptatum minus dignissimos Voluptatum""";"""Expedita: Accusantium dolorem commodi iste; Ipsam"""
Alice Watson-Wood;33.0;42.1;"""Quia eos accusantium; Quo aliquam provident ; Praesentium velit esse""";"""Rem veritatis assumenda error nesciunt; Magni voluptas quisquam fugiat inventore totam ; Earum ipsa et"""
Abbie Richards-Lloyd;67.0;82.1;"""(Laborum eveniet distinctio praesentium impedit) ; Dolores occaecati iste eveniet and Quos corporis mollitia magnam eos""";"""(Necessitatibus) ; Dolores quibusdam ut quae and Ut ipsam ut fugiat enim maxime"""
Catherine Sanderson;26.0;20.1;"""(Ipsum facilis dolores) ; Quos rerum and Illum enim neque ex eos""";"""Facilis neque: Inventore dolorem similique vitae incidunt; Magni excepturi omnis"""
D;46.0;84.1;"""Note: Fugit nesciunt; then Repellat dolorum magni quaerat""";"""(Amet necessitatibus vero) ; Corporis enim odit and Eius inventore praesentium"""
Kyle Davies;8.0;67.1;"""Note: Similique molestias quisquam sapiente exercitationem dolores; then Enim""";"""(Fugiat sequi vero magni necessitatibus) ; A voluptates and Ipsum impedit fugit"""
Cameron Hall;53.0;14.1;"""Note: Dolore; then Blanditiis ex""";"""Note: Nemo at; then Reprehenderit eius amet porro deserunt"""
Kieran Morgan;55.0;50.1;"""(Iste cupiditate nostrum) ; Ullam fugit numquam and Vero incidunt perferendis eius quisquam""";"""(Velit asperiores) ; Repellat quo and Consectetur ipsum fugit"""
Christian Harrison;;99.1;"""(Ipsam deleniti rem) ; Aliquam ipsa and Vero""";"""Magni ipsa ullam saepe; Ipsum voluptates maiores Nulla odit sit temporibus ullam"""
Sophie Winter;20.0;69.1;"""Labore fuga perspiciatis: Nesciunt quis repudiandae hic earum quibusdam; Perspiciatis minus a""";"""Laboriosam nihil; Occaecati Aliquam quae corporis dignissimos"""
Kayleigh Phillips;26.0;38.1;"""Explicabo culpa voluptatibus atque; Quaerat eos ; Eos debitis adipisci""";"""Note: Nam aliquid; then Hic delectus ipsum similique"""
Mr Edward Curtis;63.0;60.1;"""(Quae reprehenderit amet esse) ; Perferendis tempora aliquam and Velit molestiae non animi""";"""Consectetur possimus: Numquam tempore odit itaque; Consectetur harum vero cupiditate maxime"""
