# This is a comment line to skip
name;score;salary;remark
Harry Russell;;73.1;'''Note: Quibusdam incidunt voluptatem; then Fuga placeat omnis veritatis dignissimos'''
Mr Eric Mills;99.0;34.1;'''Rerum saepe: Commodi deleniti architecto; Autem eveniet'''
Glen Brown;64.0;70.1;'''Necessitatibus at: Assumenda enim repellendus sunt laborum nisi; Vero repudiandae accusantium beatae excepturi'''
Robert Holland-Sanders;1.0;13.1;'''(Laboriosam corrupti vero eum expedita) ; Eaque numquam quas and Corrupti voluptatem'''
Paige Scott;99.0;54.1;'''Esse ex: Neque et velit; Nobis natus magni'''
Beth Sanderson-John;37.0;72.1;'''Note: Officia praesentium; then Dolores voluptate minus'''
Ms Marie Barnes;12.0;31.1;'''Velit; Totam quae ; Eligendi repellendus qui consectetur'''
Wendy Payne-Russell;7.0;85.1;'''Autem: At maxime eos alias maiores; Illum saepe numquam'''
Nathan Smith-Garner;7.0;92.1;'''(Nam eaque) ; Tenetur accusamus and A quia'''
William Johnson;6.0;35.1;'''Note: Voluptatibus quis praesentium a ex quisquam; then Aliquam ut'''
e;28.0;11.1;'''Nostrum eligendi molestiae assumenda; Ad non molestiae alias enim Maiores ad provident'''
Mr Iain Holmes;97.0;53.1;'''(Expedita ipsa dolorem) ; Natus non laudantium harum and Culpa occaecati'''
June Farmer;28.0;24.1;'''Note: Facere dignissimos; then Eveniet'''
Jill Douglas-Williams;72.0;1.1;'''Note: Occaecati explicabo; then Maxime adipisci commodi sint aspernatur'''
Dr Alan Hargreaves;76.0;55.1;'''(Delectus maiores odit tempore) ; Fugit and Accusamus veritatis'''
Dr Jeffrey Bailey;77.0;83.1;'''Voluptate ducimus eaque ex; Quod nisi ab ; Eligendi recusandae hic'''
Mary Thomas;71.0;41.1;'''Note: Tempora quam rerum; then Culpa occaecati'''
Deborah Payne;73.0;;'''Note: Hic necessitatibus debitis; then Harum nisi'''
Mr Joshua Sullivan;57.0;51.1;'''Neque sequi; Accusamus veritatis veritatis dolor sint ; Unde'''
Mathew Jones;32.0;52.1;'''Eos veniam itaque; Earum sapiente soluta necessitatibus atque Vel'''
Mrs Carole Nicholson;79.0;19.1;'''Dolorum: Exercitationem; Tempore quia iste officia praesentium modi'''
