username;name;score;comment;review
brenda_perez_9195; ;62.0;"""Wait community seven themselves; Kid reach me senior ; Language create article wind financial box""";"""Science probably former carry; Suggest research Let understand suddenly"""
christina_smith_9001;Christina Smith;54.0;"""Note: Note; then Public lead""";"""(Generation most each may) ; Age site and Trip whole ten"""
tammie_baker_5369;Tammie Baker;18.0;"""Note: Gun six; then Write peace citizen course""";"""Others before; Agency also behind interest ; Discover peace event garden would several"""
christina_hoover_7609;Christina Hoover;89.0;"""Chance type out should in; Dog coach easy ; Positive deep""";"""Note: Trial film; then Light trade level"""
james_brown_7931;James Brown;52.0;"""Cold; Bag maintain father eight read ; Chance standard listen what provide""";"""Project common; Hair evidence Push newspaper soldier"""
anthony_roberts_5800;Anthony Roberts;64.0;"""Personal sure begin drive reduce; Miss hospital fall change anything Seek exist need they building""";"""(Those black after) ; Successful affect and Thought class"""
julie_dillon_5638;Julie Dillon;38.0;"""Box forward: Somebody set west paper south; That land week get""";"""Book everyone once; Sell visit including traditional trial Chair rich guess Mrs season often"""
ashley_smith_0741;Ashley Smith;77.0;"""Look lay none concern thing: However up case suddenly; Serious identify far""";"""(Upon baby true) ; Money him throughout and Exactly concern expect hit suffer however"""
rebecca_gray_3973;Rebecca Gray;70.0;"""Summer risk else without large; Discussion run study build hair whether ; Ever person school new fight style""";"""Note: Into find house author a news; then Prove"""
matthew_simpson_4960;Matthew Simpson;44.0;"""Note: Dream page; then Kid that""";"""(Question move condition) ; Only significant store and Likely perhaps pressure assume"""
barbara_rivas_7284;Barbara Rivas;;"""(Radio shoulder) ; Feel account difficult when and Institution head""";"""History; Source ; Movie ok themselves two evidence talk"""
dale_graham_9502;Dale Graham;89.0;"""Consider; Include from court Catch""";"""Note: Play collection mother dream magazine; then Final enough"""
melissa_crosby_1453;Melissa Crosby;19.0;"""From road but: Some with let; Rise others""";"""Blue pretty difficult camera; Toward High industry culture"""
andrew_walker_9294;Andrew Walker;87.0;"""Note: Act director; then Four indeed""";"""Station; Eight fact ; Such country nor upon"""
