username,name,age,total_count,note
alexander_tapia_7736,A,,74.1,"""(True break) , Environmental majority allow character and Consider what"""
chelsea_roberts_9233,Chelsea Roberts,66.0,55.1,"""Painting safe really resource letter; Resource suggest , Because"""
daniel_hodges_0506,Daniel Hodges,61.0,13.1,"""Note: Knowledge, then Building"""
mark_paul_3834,Mark Paul,45.0,32.1,"""Game far light traditional grow, Improve Present head cultural truth Mr against"""
lisa_ramsey_5938,Lisa Ramsey,73.0,57.1,"""Space, Book religious factor Customer less someone"""
daniel_garcia_9198,Daniel Garcia,11.0,89.1,"""Evening high although maintain, Bed interest gun Type large"""
kathy_hammond_9998,Kathy Hammond,45.0,57.1,"""Note: Total woman technology fine, then Science hotel none operation take above"""
bryan_bray_1228,Bryan Bray,50.0,73.1,"""(But true support bag old) , Once everyone participant and Read if interest respond"""
sydney_olson_0071,Sydney Olson,59.0,11.1,"""(Order wait) , Catch number gun and Information right according"""
robert_allen_6319,Robert Allen,46.0,,"""Note: Listen artist alone, then Perform behavior home machine"""
courtney_smith_0839,Courtney Smith,67.0,48.1,"""Class support: Senior task foot it, Hotel worry"""
dr_zamora_9877,Dr. Melissa Zamora,24.0,25.1,"""Today information ok a: Operation partner stand, Conference"""
logan_joseph_9832,Logan Joseph,95.0,80.1,"""Note: Station class design light month, then Stand probably"""
craig_phd_4116,Craig Reed PhD,38.0,80.1,"""(Citizen mind summer) , Town both some and Offer that economy"""
brittney_coffey_5179,Brittney Coffey,52.0,56.1,"""Live, Could huge should wear get Together up career movie various"""
maria_snow_7614,Maria Snow,68.0,46.1,"""(Hard southern) , Alone technology final blood science effort and Among skin citizen federal"""
sandra_jones_8576,Sandra Jones,47.0,97.1,"""Suggest Mr end; Get but interesting give , Arrive team president"""
jasmine_white_6297,Jasmine White,82.0,32.1,"""Note: Establish growth begin late bed, then Since stuff ahead"""
jose_sullivan_9842,Jose Sullivan,8.0,100.1,"""Woman follow look, Thank hope lead go information Score business knowledge meeting"""
megan_pittman_5940,Megan Pittman,43.0,6.1,"""Note: Tell everybody write investment clear, then Check very"""
kristina_ellis_2291,Kristina Ellis,75.0,75.1,"""(Draw control) , Front half fear necessary and Upon"""
adam_palmer_8134,Adam Palmer,39.0,27.1,"""Health: Its may, Local guy"""
nicole_cross_4616,Nicole Cross,72.0,2.1,"""Note: Former even guy only win, then Forward"""
catherine_williams_1155,Catherine Williams,75.0,8.1,"""Note: Simple huge, then Eye discover politics"""
ashley_mendez_3696,Ashley Mendez,81.0,49.1,"""Note: Probably of, then Back visit security"""
ivan_hernandez_7653,Ivan Hernandez,65.0,55.1,"""Note: Former such air drive mother opportunity, then Figure image third"""
peter_johnson_3976,Peter Johnson,86.0,3.1,"""Chair: Threat, Clearly however near"""
alyssa_williams_8504,Alyssa Williams,87.0,53.1,"""No: Occur, Him also mission"""
stephanie_robinson_4955,Stephanie Robinson,79.0,55.1,"""Watch course, Return anyone Wide"""
emily_rivera_5106,Emily Rivera,33.0,97.1,"""Doctor similar floor later; Meet service white tonight , Economic"""
renee_dds_4028,Renee Gibbs DDS,37.0,19.1,"""Trade, Three human laugh camera central Throw recent involve"""
justin_rogers_7948,Justin Rogers,72.0,95.1,"""High difficult matter create easy: Represent themselves, Stop discuss"""
elizabeth_wilson_1550,Elizabeth Wilson,40.0,3.1,"""(Movement authority fill) , Move gun and Season say difference open"""
heather_clark_0444,Heather Clark,2.0,55.1,"""(Mention) , Old skill not catch month speech and Security important vote sing"""
shannon_dickerson_5216,Shannon Dickerson,38.0,31.1,"""Front break short south individual go: Manager serve organization girl respond, Stock"""
dwayne_byrd_7377,Dwayne Byrd,46.0,34.1,"""Note: Art, then Century within even lay"""
donna_whitehead_1877,Donna Whitehead,99.0,4.1,"""Hit but their good voice: None score member, Young pressure"""
christopher_daniels_2481,Christopher Daniels,2.0,87.1,"""Something lot herself already education thousand, Ground old Natural job"""
patrick_rowland_1614,Patrick Rowland,23.0,37.1,"""Increase third else: Teacher, Me night"""
jennifer_mitchell_1836,Jennifer Mitchell,93.0,90.1,"""Note: Instead, then Church"""
joanna_davis_3043,Joanna Davis,10.0,43.1,"""Note: Less summer color, then Could movement have"""
derrick_miller_3461,Derrick Miller,14.0,72.1,"""Note: Long though along, then Same with"""
