# This is a comment line to skip
username	name	price	salary	total_count	review	description
monica_simpson_1979	Monica Simpson	20.0	17.1	32.2	'''Will wait	 There him person others door range Include inside region should policy'''	'''Contain move meet think hope step	 Short speech but blood need Ever include describe growth'''
nicole_reyes_8932	Nicole Reyes	99.0	48.1	88.2	'''Talk political event: Natural low	 Know once brother'''	'''Beat less; Try enter five 	 Line force attorney million'''
amber_powell_7102	Amber Powell	70.0	36.1	92.2	'''Note: Charge fly dinner challenge	 then Phone recent interesting'''	'''Somebody ability beyond common forget; Simple well job 	 Article let'''
barbara_jones_8787	Barbara Jones	65.0	84.1	5.2	'''Note: Against put bit never local enjoy	 then Best book'''	'''Rise black	 Usually throughout State rest concern'''
kathryn_taylor_9116	Kathryn Taylor	47.0	96.1	57.2	'''Use movement check: Improve	 Benefit together matter heavy office'''	'''(Here) 	 All exist and Around allow visit my'''
dustin_willis_1391	Dustin Willis	8.0	43.1	52.2	'''(Start ball eye) 	 Court and Much American eat'''	'''Mr fight PM marriage	 Style head Although leg suddenly'''
donna_wise_9896	Donna Wise	53.0		99.2	'''Sport bit environment; Try trip bank point try 	 Hospital probably'''	'''Note: Machine series here	 then Measure spring else cell here'''
gary_rivera_6255	Gary Rivera	90.0	78.1	1.2	'''Note: Majority interview impact	 then Author unit high money series'''	'''(Use series home) 	 Issue system and Cup sister when rise probably'''
cristina_armstrong_2711	Cristina Armstrong	80.0	46.1		'''Floor fly why: She surface friend nice through	 Himself surface name'''	'''(Total meet phone) 	 Address in other foot and View before'''
jerry_marshall_9745	Jerry Marshall	47.0	22.1	41.2	'''Him: Forward piece manage	 Rock heart seem'''	'''Take serve he: Investment open art hot	 Respond face'''
rhonda_church_8825	Rhonda Church	7.0	59.1	64.2	'''By individual: Speak perhaps	 Interview record do well though science'''	'''Share against: South city store mouth	 Land'''
bonnie_flowers_9333	 	98.0	98.1	4.2	'''Perhaps power clearly keep manage space: Despite best professional watch	 Manage task'''	'''Note: Student	 then Pull little seven who'''
matthew_jones_5785	Matthew Jones	47.0	82.1	40.2	'''Quality officer: Activity military	 Chair happy'''	'''Whom education girl little; According action leg 	 Third skill nation'''
lori_miller_1658	Lori Miller	83.0	74.1	20.2	'''Way pick compare dark threat	 Food oil above great Beautiful seven southern first son available'''	'''Hot short boy: Action stand growth	 Make'''
stephen_jacobs_1144	Stephen Jacobs	56.0	19.1	9.2	'''White threat such	 Support Several instead reveal security'''	'''Note: Generation us	 then Stop ten'''
david_chang_3676	David Chang	32.0	16.1	92.2	'''(Rather) 	 First and Follow moment as why design effect'''	'''Authority push behavior cell: Apply area whether	 Word child bill big'''
emily_humphrey_5410	Emily Humphrey	22.0	83.1	85.2	'''Enough structure budget; Commercial 	 Effort sing society shake possible method'''	'''Fear threat: Note step nature	 Degree keep movement PM'''
mrs_jackson_0253	Mrs. Stephanie Jackson	75.0	55.1	28.2	'''Feeling how five: Career sign	 Environment nor look'''	'''Structure black case task every; Film 	 Fact put'''
lauren_blair_8832	Lauren Blair	14.0	29.1	30.2	'''(West study class) 	 I region certain and Responsibility prepare'''	'''What read newspaper half range: Play skin	 Look size cause eat'''
michael_conner_9607	Michael Conner	48.0	28.1	24.2	'''Wonder several: Manage more somebody future goal fall	 Marriage themselves peace'''	'''Think light list relate consider: Skin	 Start newspaper north forget'''
ralph_patterson_9012	Ralph Patterson	63.0	17.1	52.2	'''Second month; Work skin here 	 Factor across year believe'''	'''Black leg represent hot	 Major Seek magazine'''
angela_edwards_3637	Angela Edwards	29.0	70.1	98.2	'''Discuss whole	 Summer condition Town'''	'''(Try catch usually anything) 	 Test trip require miss behind and Try'''
patrick_waters_9874	Patrick Waters	23.0	19.1	44.2	'''Doctor structure; Above simply 	 Memory shake'''	'''Mean; Once price 	 Magazine organization'''
jeffrey_bowman_0188	Jeffrey Bowman	37.0	24.1	21.2	'''(Design list) 	 Develop successful and Alone by'''	'''Note: Wish and market kind	 then Under out'''
tina_rodriguez_4140	Tina Rodriguez	82.0	90.1	31.2	'''How test; Specific 	 Week'''	'''Attention	 Half include Born suggest doctor second off'''
patrick_anderson_3950	Patrick Anderson	72.0	10.1	16.2	'''(Let official decide) 	 Box and Century growth whom somebody'''	'''Note: Shake meeting	 then Explain'''
donna_holmes_8464	Donna Holmes		6.1	3.2	'''There term mother image difference; Center measure similar 	 Put concern number'''	'''Process billion there; Tough 	 Section rise science'''
carrie_burton_6226	Carrie Burton	32.0	18.1	54.2	'''Prevent top	 Officer five dream Before too take'''	'''Lose card	 Author analysis bag both Civil between just practice'''
james_houston_1952	James Houston	38.0	41.1	61.2	'''Member too whose outside game join; Become soldier 	 Beat clearly keep offer'''	'''Remember without leader little bar	 Would increase amount tough reduce Development lot bring first'''
