# This is a comment line to skip
username;name;total_count;score;summary
kathryn_ross_2886;Kathryn Ross;24.0;14.1;'''Shoulder your stage carry strong; Relate Drive prevent tend'''
sandra_ferrell_0317;Sandra Ferrell;98.0;23.1;'''Process impact; Laugh During successful movie score pass bill'''
nicole_boyd_5702;Nicole Boyd;94.0;62.1;'''Child relate: Source huge; Particularly country treat'''
catherine_hunt_3757;Catherine Hunt;38.0;3.1;'''Executive safe state indicate: Again concern rate sort care other; Partner'''
zachary_davenport_2981;Zachary Davenport;35.0;24.1;'''Garden; Myself probably serious rather ; Someone'''
james_hall_4711;James Hall;;31.1;'''Note: Apply allow us; then Play sometimes ok'''
brendan_roberson_6342;Brendan Roberson;26.0;58.1;'''Kind impact key; Get tonight professor until toward Alone popular drug smile those reach'''
madison_wood_5880;Madison Wood;89.0;50.1;'''Policy model camera least; Much rest article he ; Card later'''
kirsten_davis_6473;Kirsten Davis;11.0;46.1;'''Note: Step movie speech; then Sister seem'''
erin_miranda_8379;Erin Miranda;32.0;41.1;'''Leader public entire fine almost; Fly cup audience ; Increase spend own'''
kathleen_bell_2746;Kathleen Bell;95.0;46.1;'''Than maybe pressure your; Too ; Consumer think theory miss'''
justin_harrison_4156;Justin Harrison;18.0;79.1;'''Magazine last picture no team; Entire add organization ; North institution call home'''
dakota_russell_7755;Dakota Russell;20.0;66.1;'''Husband both; Usually history less tough ; Street radio'''
linda_young_1402;Linda Young;8.0;66.1;'''Easy put; There natural throughout ; Something enjoy poor'''
carolyn_salazar_6317;Carolyn Salazar;48.0;61.1;'''Note: Listen interest agency; then Their'''
laura_barrett_6131;Laura Barrett;32.0;21.1;'''Number: Set term; State'''
vincent_davis_0799;Vincent Davis;2.0;46.1;'''(A) ; Discuss allow and Something you'''
sabrina_chavez_1690;e;22.0;;'''No also: Woman group; Care interesting down remain there'''
brian_poole_3580;Brian Poole;40.0;54.1;'''(Professor including) ; Clear open western and Sound claim'''
latoya_martin_3399;Latoya Martin;80.0;66.1;'''Let day floor; Administration million manager dog age ; Myself response trouble'''
colleen_nixon_7345;Colleen Nixon;94.0;48.1;'''(Maybe kid member travel) ; Pressure thought and College glass machine decision whatever'''
kelly_md_3558;Kelly Vasquez MD;63.0;10.1;'''Note: Wife; then Receive page realize degree'''
rachel_bowen_3841;Rachel Bowen;32.0;63.1;'''Sure could however; History former treat lot Hard those include blood sound'''
christopher_weber_8741;Christopher Weber;28.0;51.1;'''Note: Event treat watch agent rock then; then Others audience middle'''
