name;username;score;salary;summary
Ms Heather Allen;ms_allen_4848;9.0;24.1;'''Odit eos impedit officiis earum dolorem: Ipsum sit labore quia; Temporibus delectus nesciunt'''
Ann Warner;ann_warner_1582;76.0;20.1;'''Iusto tenetur; Ducimus fugit enim Architecto quis'''
Mark Shah-Horton;mark_horton_2333;25.0;15.1;'''(Eveniet vero recusandae) ; Veritatis facere laudantium minima and Occaecati nam dicta'''
Dr Jean Kirk;dr_kirk_5813;52.0;78.1;'''Officia delectus unde: Provident; Itaque commodi possimus commodi'''
Hazel Watts;hazel_watts_6682;7.0;97.1;'''Beatae dolore: Hic incidunt; Iusto deleniti autem'''
Mr Steven Hall;mr_hall_4708;66.0;69.1;'''(Adipisci) ; Similique nobis perferendis placeat and Reiciendis sint'''
Lynne Sims;lynne_sims_5562;45.0;83.1;'''Delectus perferendis deserunt placeat accusamus: Eaque architecto sed; Beatae voluptates exercitationem'''
Guy White;guy_white_6541;2.0;48.1;'''Note: Fugiat excepturi dignissimos; then Quod blanditiis saepe'''
Sean Evans;sean_evans_9994;75.0;94.1;'''Note: Reprehenderit tempore; then Aut aliquid laboriosam accusantium doloremque'''
Beverley Scott;beverley_scott_7778;35.0;28.1;'''At itaque autem perspiciatis incidunt; Deleniti nostrum recusandae rem ; Exercitationem voluptatum iure'''
Ms Caroline Bates;ms_bates_1715;41.0;57.1;'''Facilis qui sint nihil reiciendis laboriosam; Aut rerum sequi repellat ratione voluptate Culpa odio'''
Dr Kieran Fuller;dr_fuller_0587;87.0;;'''Note: Quaerat; then Voluptas sapiente'''
Louise Butler-Evans;louise_evans_2387;74.0;59.1;'''Note: Animi voluptatem nisi; then Alias impedit alias'''
Darren Martin;darren_martin_5499;23.0;37.1;'''Note: Accusamus corporis quidem dolorem ducimus iusto; then Accusantium laboriosam explicabo voluptate'''
Nigel Watkins;nigel_watkins_1644;83.0;30.1;'''Voluptatem possimus dolorem; Adipisci accusantium necessitatibus ; Nam quaerat'''
Garry Parry;garry_parry_7585;72.0;69.1;'''Optio reprehenderit et culpa; Molestiae Praesentium laboriosam a ducimus'''
Mr Nathan King;mr_king_3020;88.0;4.1;'''Non; Quia aliquid ad expedita ; Quos molestiae explicabo iure repellendus ad'''
Andrew Gould-Brown;andrew_brown_6324;48.0;92.1;'''(Minima) ; Eligendi eos sunt esse and Assumenda natus voluptatem'''
Dr Josephine Wright;dr_wright_4077;29.0;78.1;'''Est omnis exercitationem; Reiciendis nam accusantium labore Ratione inventore'''
Mr Roy Robinson;mr_robinson_6128;93.0;13.1;'''(Iste velit facere nobis blanditiis) ; Voluptates alias and Sunt'''
Mr Jacob Stewart;mr_stewart_3604;10.0;79.1;'''Hic excepturi dolorem qui cumque; Asperiores non voluptatem ; Harum blanditiis quasi laborum'''
Martin Campbell;martin_campbell_4992;18.0;58.1;'''Doloribus laboriosam ullam neque: Error fugit; Ab similique veritatis temporibus odio'''
Abdul Harrison;abdul_harrison_8258;86.0;73.1;'''(Iusto neque aut) ; Odit vero and Nihil consectetur facilis'''
Dr Bernard Dawson;dr_dawson_5813;22.0;91.1;'''Note: Quos inventore recusandae rerum nisi fuga; then Nobis eaque numquam'''
Jack Barrett;jack_barrett_2971;64.0;40.1;'''Libero nulla est; Suscipit sapiente Nobis at assumenda'''
Dr Stuart Harvey;dr_harvey_7004;32.0;53.1;'''Autem pariatur; Nam ; Provident accusamus'''
Tina Sanders;tina_sanders_0262;48.0;57.1;'''(Nulla dolores) ; Repellendus neque nisi and Quisquam culpa ullam'''
Leah Parry;leah_parry_8710;89.0;75.1;'''Numquam aut; Dolorem Voluptatem'''
Dr Kelly French;dr_french_8888;58.0;3.1;'''(Debitis) ; Dolor at debitis eveniet quia and Neque'''
Mrs Lucy Hughes;mrs_hughes_9262;26.0;93.1;'''Assumenda; Aliquam vitae voluptatum Saepe harum'''
Dr Stanley Morley;dr_morley_8499;75.0;60.1;'''(Possimus sed dolores eos rem) ; Repudiandae asperiores and Sequi beatae'''
Graeme Wright-Barry;graeme_barry_4150;69.0;5.1;'''Consectetur possimus inventore repellat; Perferendis repudiandae aspernatur ; Expedita voluptas saepe qui corporis'''
Dr Michael Scott;dr_scott_2108;53.0;53.1;'''Neque inventore; Architecto accusantium Eligendi natus iste eveniet'''
Hugh Fisher;hugh_fisher_6197;1.0;13.1;'''Note: Molestias sapiente eos mollitia sapiente repellat; then A corrupti in'''
Georgia Price;georgia_price_7180;4.0;58.1;'''Voluptate autem sed eveniet ab; Officiis ex nulla maiores delectus Rerum amet'''
Mr Phillip Harris;mr_harris_9647;94.0;93.1;'''Note: Aliquid asperiores; then Occaecati nisi'''
A;irene_hurst_7018;76.0;14.1;'''Unde sint tenetur; Provident provident qui incidunt fuga alias adipisci ; Nemo nesciunt quia culpa mollitia'''
Olivia Davies;olivia_davies_0104;87.0;91.1;'''Natus vel soluta exercitationem; Veritatis quae nobis quae nostrum Blanditiis accusantium eos fugiat numquam'''
Mr Martin Mason;mr_mason_8477;66.0;27.1;'''(Minus illo molestias hic eius) ; Distinctio error iure eum and Veniam'''
Christopher Hodgson;christopher_hodgson_6241;90.0;69.1;'''Excepturi nihil tempore; Distinctio officia autem ; Inventore et'''
Dr Beth Robinson;dr_robinson_9038;2.0;48.1;'''Note: Placeat illo reprehenderit; then Sunt corrupti quasi error id nulla'''
Nicola Simpson;nicola_simpson_9130;30.0;27.1;'''Consequatur mollitia assumenda incidunt; Unde nemo delectus commodi ; Earum a adipisci'''
