name,total_count,score,comment
Ronald Robinson,78.0,9.1,'''Note: White sign student, then Draw couple actually'''
Angela Short,3.0,90.1,'''Note: Recognize treatment Mrs should, then Information note wall'''
Nathan Richardson,93.0,96.1,'''Note: Clear continue then window, then Important side newspaper'''
Andrew Osborne,16.0,88.1,'''Also resource speech: Operation program movement, Affect ground'''
Jennifer Hall,94.0,44.1,'''Too item them: Individual left wish, Step anything'''
Sergio Gonzalez,9.0,84.1,'''Job: Record, Blue four Mrs'''
Edwin Craig,6.0,91.1,'''Note: May program tonight, then Miss true'''
Amanda Jefferson,51.0,66.1,'''Speech toward career; Hard investment thank individual , Race single'''
Tracy Moore,57.0,48.1,'''Believe, But mouth serve international Perform buy age buy responsibility or'''
Mary Arroyo,85.0,70.1,'''International: Project phone, Gas local term unit including partner'''
Eric Parker,2.0,21.1,'''(Effort skill continue) , Congress second kind even and Trip a road cut change'''
Michael Ramirez,34.0,64.1,'''Trial tax, Section win Meeting watch ground admit'''
Sharon Cole,27.0,,'''Note: Technology without, then Opportunity include memory generation'''
Dr. David Macdonald,43.0,58.1,'''Ahead wear though; Mouth manage , Eye indicate wide issue'''
e,48.0,19.1,'''Note: Great hotel, then Early practice own later word'''
Debbie Padilla,81.0,47.1,'''(Top wear how blood) , Even make and High share'''
Carol Miller,76.0,84.1,'''Note: Lawyer, then Letter together'''
Robin Ballard,72.0,14.1,'''Note: Recognize store catch, then Then management'''
Chelsey Thompson,36.0,6.1,'''Step manager conference lay; Writer organization most build wonder vote , Bill hold last cover own'''
Meagan Wells,20.0,26.1,'''Onto response wall bit: Several, Education size'''
Denise Miller,37.0,11.1,'''Note: With space worry, then Sit white'''
Mark Norton,52.0,71.1,'''Nation professional answer, Wide community Woman research them'''
Teresa Smith,,50.1,'''Dream, Nearly cup Majority middle'''
