name	username	price	score	message
John Powell	john_powell_9972	37.0	66.1	'''(Executive card) 	 Case seat big and Control soon almost'''
Jennifer Mcintyre	jennifer_mcintyre_9878	34.0	15.1	'''Computer school wind value up	 Join course Prevent or enjoy'''
Shelley Wilson	shelley_wilson_3497	68.0	51.1	'''Successful author range: By tonight surface stand	 Might develop consider'''
Darlene Schultz	darlene_schultz_1349	33.0	82.1	'''Run: Claim left another citizen price first	 Trip'''
Kevin Gonzalez	kevin_gonzalez_9437		82.1	'''Value seek measure though; Amount TV human 	 North detail'''
Amanda Rodriguez	amanda_rodriguez_6087	37.0	6.1	'''(Such modern) 	 Change every and Pass ability catch idea Mr'''
Lisa Rodriguez	lisa_rodriguez_9870	49.0	1.1	'''Police defense again; Than ask site rate 	 Sea until large speak film'''
A	christina_jones_9626	75.0	53.1	'''Throw two	 Market Clearly citizen thus cold bar need'''
Jessica Hardin	jessica_hardin_1357	86.0	27.1	'''Note: Term fire short	 then Heart program skill'''
Jeffrey Sims	jeffrey_sims_7780	83.0	73.1	'''Save might once second likely	 Maintain Ever early'''
Megan Jones	megan_jones_1053	62.0	63.1	'''(Produce relationship concern) 	 Have pressure truth fact kitchen and Degree these'''
Joseph Pineda	joseph_pineda_9539	87.0	55.1	'''(Side form reveal baby) 	 She game traditional sort sit and Establish his'''
Christopher Garcia	christopher_garcia_7948	84.0	62.1	'''Season soldier fall close film	 Its score another Several nor'''
Lisa Garcia	lisa_garcia_8385	43.0	74.1	'''(Area now surface) 	 Fast raise above American and Tonight improve speak him get improve'''
Gregory Williams	gregory_williams_0570	91.0	13.1	'''(Finally something) 	 Speak and Necessary beautiful evidence'''
Matthew Cardenas	matthew_cardenas_9447	99.0	17.1	'''Clear product certainly: Scientist now	 Agency would choice through who'''
Rebecca Beltran	rebecca_beltran_0135	64.0	18.1	'''Change: Recently	 Lose loss surface project ask rock'''
Jeremy Thompson	jeremy_thompson_3059	43.0	6.1	'''Send part discover son down; Adult capital 	 Deep local throw lawyer'''
Jose Salazar	jose_salazar_4880	59.0	30.1	'''Interest of whole hotel: Beautiful election ten win through	 Brother prove water'''
Ricky Joyce	ricky_joyce_6476	92.0		'''Blood; Debate hit 	 Billion today imagine concern'''
Taylor Keller	taylor_keller_3984	80.0	42.1	'''(Society year design picture) 	 Couple food set and Friend certain what clear catch'''
Wendy Ellis	wendy_ellis_9096	80.0	66.1	'''Camera amount face play particularly whether; Information with seek no minute last 	 No recognize international'''
John Davis	john_davis_9791	26.0	99.1	'''Set teach stay increase; Specific 	 Southern interesting'''
Victoria Thompson	victoria_thompson_4083	10.0	3.1	'''Better; Economic successful air 	 Century'''
Kendra Harper	kendra_harper_3816	1.0	68.1	'''Approach: Read participant	 Couple each budget board choose'''
Tina West	tina_west_1059	100.0	18.1	'''Better would special: Nice serve policy	 Stage whether'''
Jacob Mcknight	jacob_mcknight_3367	11.0	20.1	'''Under player	 Start sister prove direction ask Guess high particular'''
Mackenzie Phillips	mackenzie_phillips_4260	59.0	94.1	'''Should ask in: Win someone likely	 Partner discover young'''
Christopher Mcclure	christopher_mcclure_8619	59.0	37.1	'''Administration room	 This half Quite really artist'''
Jack Walker	jack_walker_4204	23.0	99.1	'''(Because Mrs staff) 	 Machine send challenge nearly just and According energy score television represent'''
Matthew Suarez	matthew_suarez_5469	62.0	31.1	'''Note: Gun woman	 then Rather education feeling offer'''
Jennifer Fernandez	jennifer_fernandez_8677	78.0	45.1	'''Magazine various	 Republican reach draw Through support'''
Walter Williamson	walter_williamson_9508	33.0	85.1	'''Score who compare any: Low center card	 Few director'''
Lauren Copeland	lauren_copeland_9495	28.0	94.1	'''Health; Responsibility he own 	 Building trade free future better'''
Brenda Gibbs	brenda_gibbs_6817	92.0	20.1	'''Citizen style process certainly	 Knowledge bad play special In'''
Dr. David Moore	dr_moore_3591	8.0	78.1	'''(Wife run) 	 Produce fly decade off and Beyond firm us such'''
Charles Rose	charles_rose_6806	15.0	72.1	'''Institution check	 Film live may state stage Rock wind enter himself popular'''
Leslie Rodriguez	leslie_rodriguez_8493	95.0	62.1	'''Note: Song daughter significant start prevent	 then Under same spend'''
Sarah Marks	sarah_marks_1684	80.0	66.1	'''(Beyond experience) 	 Audience yard and Smile share coach likely'''
Jonathan Flores	jonathan_flores_6651	17.0	27.1	'''(Such pretty require without here mother) 	 Room detail theory else make and Seek program couple'''
