username,name,price,remark
karen_simon_6227,Karen Simon,74.0,'''(Draw outside structure money) , Indicate both station I and Effect main'''
caitlin_blair_0733,Caitlin Blair,83.0,'''(Member something keep) , Task range career and Begin north oil rest policy'''
samantha_rivera_5110,Samantha Rivera,58.0,'''Note: Picture design somebody, then On around spend'''
shawn_burke_1354,Shawn Burke,91.0,'''Interest, Exactly Business partner'''
eric_edwards_5898,Eric Edwards,19.0,'''Hotel forget truth old, Station century Beat respond western'''
stephanie_erickson_0201,Stephanie Erickson,66.0,'''Continue painting; Meet house former , Position third'''
laura_clarke_2815,Laura Clarke,26.0,'''Research season protect yourself building: Seem card particular, Data common alone'''
brian_phelps_0038,Brian Phelps,74.0,'''(Inside cause product skill) , Listen and Agreement treatment'''
angela_turner_5463,Angela Turner,,'''(Machine threat anyone represent sense word) , Though program reality and Capital visit'''
sheila_banks_9171,Sheila Banks,70.0,'''Hear growth explain, Social thought budget Among'''
tina_curtis_0954,Tina Curtis,51.0,'''Note: Light cut design, then Have question activity'''
jaime_smith_3458,Jaime Smith,1.0,'''Member form morning attention; People raise , Economic personal out'''
carolyn_ward_1985,Carolyn Ward,17.0,'''Note: Guy never, then Machine miss'''
kimberly_morales_4339,Kimberly Morales,44.0,'''(Remember) , Play health and Event house official paper'''
gloria_jackson_2753,Gloria Jackson,76.0,'''College however since religious, Smile month around wind Research school production certainly'''
charles_dunn_3211,Charles Dunn,92.0,'''Note: Technology exist, then Example scientist stay fund eight'''
kathy_archer_0145,Kathy Archer,24.0,'''Special certain imagine finally, Four anyone Military product ago opportunity'''
adam_carter_1825,Adam Carter,51.0,'''(Suffer wish hold) , Kind which argue cost and Itself woman hope food direction red'''
melvin_washington_8667,Melvin Washington,18.0,'''Table watch similar: Somebody nearly now, Than thought necessary party soldier'''
jeffrey_guzman_8456,Jeffrey Guzman,7.0,'''Black beyond, Reason explain Three purpose'''
cindy_madden_7710,Cindy Madden,25.0,'''(Important six action) , Quickly audience receive and Walk responsibility'''
randy_stevens_7328,Randy Stevens,74.0,'''Choose order room choose, Number mean my Suddenly western'''
heather_thompson_2918,Heather Thompson,7.0,'''Note: Public whatever strong, then Century join right difficult work'''
alexandra_mcintyre_9689,o,70.0,'''(Different item month sign) , Carry head foreign and Attack reach morning'''
sara_downs_2339,Sara Downs,45.0,'''(Realize alone executive) , Against along and She onto green industry'''
paige_murillo_1268,Paige Murillo,49.0,'''Total lead happy center discuss; Pull help exactly , Charge financial physical'''
jill_shaw_0111,Jill Shaw,62.0,'''View life explain: House writer, Sell charge on'''
andrew_rangel_9363,Andrew Rangel,26.0,'''(Cost order) , Operation will threat street and Beautiful short'''
terri_smith_5821,Terri Smith,73.0,'''Buy sometimes: Rock, Speech hair affect the'''
erica_snyder_6386,Erica Snyder,60.0,'''(Owner together stand) , Eye fund professional sister kind force and Can go least'''
hannah_frank_5868,Hannah Frank,61.0,'''(Congress speak natural) , Difference positive late push and Benefit down'''
andrea_mullen_5756,Andrea Mullen,39.0,'''Note: Fire join family reach, then Address feel protect energy'''
eduardo_adkins_7562,Eduardo Adkins,42.0,'''Even bed represent particular: Bring act, None'''
cynthia_davis_2932,Cynthia Davis,11.0,'''(Research lead pay clearly) , Fish their late and Leader it well which us'''
ruth_lopez_4555,Ruth Lopez,48.0,'''(Hair together) , Free modern reveal and Color leg'''
mary_white_2541,Mary White,44.0,'''Pass, Moment themselves Old me avoid not feeling'''
natalie_cannon_5509,Natalie Cannon,91.0,'''Change then physical identify, Wonder hotel from everyone available keep Long garden program when nature'''
