# This is a comment line to skip
name;total_count;price;comment
Ms Shirley Gray;83.0;;'''(Expedita distinctio inventore) ; Libero numquam and Doloremque eum quaerat explicabo'''
Jonathan Williams;19.0;50.1;'''Note: Sed accusamus inventore molestias; then Laboriosam'''
Olivia Giles;49.0;42.1;'''Voluptatibus numquam eum; Voluptas error Nobis voluptates soluta porro'''
Christian Swift;53.0;33.1;'''Ullam; Natus numquam quod explicabo odio Soluta in quasi'''
Dr Mitchell Mann;81.0;2.1;'''Tempora repellat repudiandae; Laudantium aperiam tenetur ; Omnis delectus'''
Joanna Stone;67.0;38.1;'''(Fugit harum modi quidem cumque) ; Ab and Maxime ex id'''
Dr Steven Hurst;40.0;12.1;'''Note: Quis sint doloremque; then Iste veritatis'''
Ms Hazel Williams;14.0;50.1;'''Enim repudiandae quibusdam veritatis delectus; Doloremque voluptates temporibus aspernatur quae Sint blanditiis et nisi aliquid'''
Jeffrey Hyde;39.0;52.1;'''Distinctio dignissimos; Esse ipsam perspiciatis illo cupiditate ; Ducimus consectetur'''
Lawrence Kennedy;5.0;82.1;'''Blanditiis: Consectetur perspiciatis iste; Saepe repellendus'''
Francis Wilkinson;14.0;97.1;'''Note: Reiciendis cum quasi; then Dolorum'''
Dr Caroline Walsh;42.0;78.1;'''Molestiae nemo impedit; Doloremque excepturi qui Assumenda eos'''
Kieran Rogers;47.0;5.1;'''Facere nemo est: Ullam amet autem odio quisquam; Eveniet numquam dolorum assumenda alias'''
Dr Lauren Davis;29.0;53.1;'''Reiciendis eius dolorem officiis odio; Voluptas vero accusamus Quibusdam perspiciatis'''
D;;5.1;'''Dicta: Molestias dolorum quaerat; In'''
Marilyn Perry;43.0;72.1;'''Note: Accusantium quos dolor; then Non quia'''
'Craig O''Sullivan';76.0;7.1;'''Vel: Quaerat quidem; Quaerat eaque molestias veritatis'''
Hazel Hewitt;7.0;74.1;'''Sint nemo exercitationem perspiciatis; Ad alias praesentium ; Veniam cum consequuntur eius'''
Carly Archer;93.0;34.1;'''Soluta repellat excepturi exercitationem; Nostrum nihil ; Sit'''
Jodie Hunt;13.0;68.1;'''(Aut provident facilis id quae) ; Quisquam esse sunt and Reprehenderit aliquam unde'''
Owen Winter;52.0;24.1;'''Officia deleniti; Eveniet vel laboriosam deserunt Suscipit molestiae'''
