name;username;score;total_count;remark
Kevin Williams;kevin_williams_2852;91.0;8.1;'''(Repellendus) ; Sit and Delectus nemo repellat animi saepe sapiente'''
o;mrs_stevens_2550;48.0;87.1;'''Fuga vero ex tenetur; Officia consequuntur inventore ; Delectus hic eveniet ipsam'''
Mr Trevor Carr;mr_carr_5615;73.0;59.1;'''Sapiente: Vitae voluptate doloribus sed; Distinctio nisi voluptatibus nostrum accusamus aperiam'''
Dr Donald Pearson;dr_pearson_4162;20.0;;'''Maiores maiores sint doloremque; Asperiores sit sequi numquam placeat Quod quos quidem assumenda voluptatum'''
Mary Turner;mary_turner_8945;73.0;35.1;'''Corrupti; Qui veritatis Cumque nemo nemo odio recusandae'''
Mr Charles Robinson;mr_robinson_5516;;10.1;'''Hic at accusamus: Nihil culpa explicabo assumenda impedit; Harum'''
Thomas Owen;thomas_owen_3368;72.0;3.1;'''Hic; Accusantium cum sint ; Repudiandae'''
Donna Fletcher;donna_fletcher_3561;58.0;69.1;'''Occaecati temporibus assumenda facilis; Ab optio architecto ; Eius eaque'''
Janice Phillips;janice_phillips_9642;68.0;95.1;'''(Ut est rem) ; Quod non officiis and Dolore'''
Bethan Clarke-Fraser;bethan_fraser_7583;45.0;98.1;'''Distinctio: Nihil voluptas at numquam; Consectetur pariatur'''
Roy Goodwin;roy_goodwin_3951;97.0;29.1;'''Nihil fuga vel harum; Impedit alias reprehenderit rerum ; Saepe'''
Howard Patel;howard_patel_5035;72.0;31.1;'''Illo quam culpa autem: Nesciunt voluptas corrupti perspiciatis aliquam; Rerum suscipit natus sit repellendus dicta'''
Nicholas Bennett;nicholas_bennett_5973;15.0;28.1;'''Hic; Repellat repudiandae reiciendis Fugiat similique illum sapiente'''
Susan Greenwood;susan_greenwood_1395;59.0;99.1;'''Note: Cupiditate non; then Assumenda ipsam necessitatibus quasi'''
Chelsea Dean-Bird;chelsea_bird_2866;78.0;67.1;'''(Mollitia veniam tempore dolores) ; Accusamus minus and Asperiores maxime eaque similique'''
Dr Katherine Hall;dr_hall_2467;4.0;60.1;'''Note: Omnis voluptas eius; then Aut'''
Kayleigh Jones-Holmes;kayleigh_holmes_4458;90.0;86.1;'''Ipsam quos: Reprehenderit natus; Vero eos'''
Jacqueline Anderson;jacqueline_anderson_9158;64.0;15.1;'''Error; Recusandae quam minima Ab nemo'''
Dr Daniel Dawson;dr_dawson_7836;68.0;11.1;'''Molestias ea; Repudiandae ; Ducimus praesentium aperiam mollitia'''
Miss Sarah Begum;miss_begum_4094;25.0;69.1;'''Exercitationem alias aliquam facere laboriosam aperiam expedita: Amet sunt; Aperiam perferendis dolorum quasi deleniti'''
Miss Amelia Johnston;miss_johnston_3417;38.0;9.1;'''Id temporibus ab sint accusamus; Sunt ; Facere quibusdam aut assumenda fuga fugiat'''
