# This is a comment line to skip
username;name;salary;total_count;score;comment;description
benjamin_wright_4609;Benjamin Wright;69.0;89.1;33.2;"""Repellat tenetur; Cumque facere quam Unde expedita porro aspernatur""";"""Ullam nesciunt; Veniam cupiditate tempora ; Inventore dolore exercitationem sint"""
joe_walker_7253;Joe Watson-Walker;42.0;67.1;27.2;"""Provident incidunt autem: Atque perspiciatis blanditiis perspiciatis dicta; Ullam deserunt""";"""Note: Architecto cum doloribus minus; then Iure possimus maiores voluptas minus"""
mrs_herbert_1204;Mrs Alison Herbert;93.0;74.1;26.2;"""Quibusdam aut eos similique sed; Quia magni minima explicabo ; Unde natus a""";"""Tempore fugit corrupti: Voluptates facere aperiam numquam ex; Numquam beatae rem ipsam possimus"""
mr_gallagher_8244;Mr Jay Gallagher;48.0;85.1;73.2;"""(Sequi accusamus sequi) ; Itaque error and Suscipit modi""";"""(At cum) ; Perferendis dolore voluptatum dicta and Autem dicta"""
aimee_jones_4750;Aimee Roberts-Jones;20.0;8.1;11.2;"""Eligendi beatae fuga cumque; Iure eius ; Quaerat""";"""Numquam magni soluta cupiditate reprehenderit eum: Vel corrupti; At totam nostrum sequi"""
miss_walker_7875;e;42.0;8.1;27.2;"""Explicabo cupiditate; Tempora ; Animi""";"""Dolore: Omnis eius; Accusamus numquam asperiores"""
david_manning_8182;David Manning;53.0;6.1;31.2;"""Quia sapiente dolores culpa quos ipsam: Autem molestias architecto; Aut alias amet""";"""(Suscipit) ; Perspiciatis facilis quidem nulla and Assumenda perferendis id qui"""
jill_hammond_2789;Jill Hammond;5.0;5.1;22.2;"""Laudantium debitis ullam; Et hic odio ad ; Ratione modi placeat laboriosam quas""";"""Aut sequi quaerat: Pariatur eaque voluptas aperiam; Corrupti debitis"""
allan_savage_2952;Allan Pugh-Savage;80.0;13.1;;"""Quibusdam repudiandae sapiente; Nam fuga ; Velit quae tenetur""";"""Quas fugiat laboriosam: Aperiam; Illum ad"""
andrew_chan_3989;Andrew Thompson-Chan;52.0;16.1;69.2;"""Maxime ex tempore consequuntur temporibus; Fugit exercitationem ; Eius fugiat accusantium laudantium temporibus id""";"""Optio temporibus; Est blanditiis velit Illum dignissimos"""
dr_moran_9686;Dr Tina Moran;22.0;21.1;46.2;"""Recusandae tenetur nobis itaque ducimus: Minus odit cumque; Aliquid omnis provident""";"""In fugiat eius id delectus; Corporis occaecati ; Numquam amet distinctio"""
judith_richards_1340;Judith Richards;7.0;56.1;12.2;"""Temporibus rerum earum molestiae; Occaecati molestias ; Quia occaecati""";"""Facere qui vitae aut eum; Aut Nemo vitae"""
mr_gibbs_9918;Mr Malcolm Gibbs;44.0;99.1;62.2;"""Alias pariatur odit ipsa; Alias Laboriosam omnis""";"""Nemo accusantium distinctio nostrum corporis fugiat; Culpa recusandae dignissimos Officiis cumque error quo"""
sarah_hopkins_7796;Sarah Hopkins;;53.1;16.2;"""Hic dicta: Provident enim facilis; Dicta beatae cupiditate natus""";"""Aliquid sunt dicta: Veniam; Officiis quam"""
stephen_sykes_0536;Stephen Sykes;36.0;;68.2;"""(Numquam aliquid ratione) ; Labore ab sint cumque ut and Quae""";"""Sequi saepe ipsum; Aliquam ipsum Vitae ab fugit illo"""
paige_wilson_6366;Paige Wilson;17.0;76.1;15.2;"""Corrupti est; Nesciunt non possimus laboriosam molestias voluptates Distinctio ex enim qui suscipit illo""";"""Tenetur cupiditate totam; Unde alias ; Expedita odio dolore"""
kevin_gibbons_5972;Kevin Gibbons;48.0;6.1;85.2;"""At optio esse aliquam itaque: Eligendi tempora rem; Vel ad nostrum consequatur libero""";"""(Ducimus debitis architecto velit quod) ; Magnam recusandae quos and Asperiores quos possimus dolores"""
dr_wilson_8606;Dr Margaret Wilson;59.0;86.1;60.2;"""Ipsa consectetur vitae: Sit voluptas deleniti reprehenderit saepe; Molestiae minus""";"""(Iste totam) ; Quis labore error and Cumque"""
leon_morton_2580;Leon Morton;62.0;5.1;31.2;"""Sapiente est veritatis: Ducimus officia assumenda qui accusamus; Cum soluta""";"""Dignissimos ea voluptatibus natus reprehenderit; Blanditiis blanditiis possimus veritatis ; Libero"""
melissa_spencer_0546;Melissa Spencer;54.0;36.1;26.2;"""Note: Neque assumenda ut iusto numquam; then Fugit cumque fugit vitae""";"""Note: Rem; then Qui nemo"""
mr_johnson_6156;Mr Russell Johnson;36.0;40.1;80.2;"""Possimus officia; Tempore nihil necessitatibus ; Quae""";"""Cupiditate molestias nemo earum: Ipsum quis sed iusto ipsa eum; Eum nihil beatae accusantium"""
dr_dyer_4819;Dr Frederick Dyer;78.0;32.1;100.2;"""Eveniet aut quos beatae; Ducimus nesciunt suscipit ; Aspernatur""";"""Aspernatur tempora doloribus numquam; Incidunt inventore Eum totam vero repellendus quia"""
