username,name,salary,score,remark
justin_whitehead_5440,Justin Whitehead,70.0,77.1,'''(Hospital woman use nor will) , Property identify whatever wide and Certainly international born word certain'''
jonathan_delacruz_1399,Jonathan Delacruz,14.0,1.1,'''Daughter series; Street issue throughout foot , Effect speech suggest'''
justin_williams_3385,Justin Williams,68.0,30.1,'''There music seek, Light hotel TV Base piece'''
mrs_holmes_1423,Mrs. Patricia Holmes,38.0,9.1,'''Today high our performance than long: Less professor effect, Show five rather choose rise'''
david_ingram_1414,David Ingram,82.0,60.1,'''Old along; Everybody , That once place'''
brian_reid_9710,Brian Reid,4.0,30.1,'''(From public charge rather) , Although kitchen choose and Word become'''
chris_shea_9173,Chris Shea,10.0,47.1,'''Note: Their assume, then Tv'''
keith_fletcher_3887,Keith Fletcher,38.0,5.1,'''Into she, Road upon Guess'''
john_johnston_2443,John Johnston,39.0,92.1,'''Effect room someone at; Offer trade suggest , Spend become'''
jacqueline_lopez_1965,Jacqueline Lopez,4.0,20.1,'''Successful easy many hear; Attack tell , Entire teacher'''
zachary_ramos_6825,Zachary Ramos,4.0,60.1,'''Indeed this responsibility, I reach have Interview early'''
bradley_woods_4439,Bradley Woods,61.0,9.1,'''Question situation just, Rate front Soldier guess approach'''
natalie_becker_3737,Natalie Becker,60.0,25.1,'''Against score, Result follow cup Grow'''
allen_morris_4156,Allen Morris,86.0,1.1,'''Officer investment above high different despite; Start simple , Cost central'''
lucas_gonzalez_2684,Lucas Gonzalez,66.0,55.1,'''(Board daughter radio light) , Will and Study'''
ashley_tyler_6038,Ashley Tyler,,12.1,'''(Without the change service) , Debate power and Have nice identify court'''
douglas_morgan_0194,Douglas Morgan,63.0,71.1,'''Likely put past likely; Have interesting three for nearly contain , Around reduce good war style prepare'''
john_barnes_1598,John Barnes,15.0,61.1,'''Bit; Middle investment , Bit before'''
kelly_white_6497,Kelly White,26.0,57.1,'''Note: Score do, then Without dream'''
george_clark_2779,George Clark,81.0,84.1,'''Almost officer; Open all talk , Travel'''
david_riley_9117,David Riley,79.0,69.1,'''Care safe: Major security great seek, Rest fast deal white person'''
edward_gross_4873,Edward Gross,54.0,25.1,'''Write common, Natural Well interesting white quality'''
joshua_simmons_6775,Joshua Simmons,86.0,26.1,'''Himself thing whatever follow, Say development message Me help'''
ryan_crawford_8934,Ryan Crawford,66.0,66.1,'''(Serious) , Free and Into must every'''
kathy_robertson_5172,Kathy Robertson,33.0,48.1,'''Deep movie quite level; Exist offer collection south space , Focus staff over environmental'''
rachel_scott_3627,Rachel Scott,40.0,60.1,'''(Community) , Official plan sport and Say these'''
mary_cortez_4244,e,82.0,99.1,'''Well cost cell modern carry; Medical likely hear , Simple rock my'''
michael_hall_9257,Michael Hall,50.0,,'''Three; Cover woman movie , Political image can'''
john_patterson_8789,John Patterson,69.0,26.1,'''(Choice) , Those partner and Blue why'''
ann_hart_4763,Ann Hart,100.0,93.1,'''Perform; Beyond , Pretty teach'''
kimberly_small_4703,Kimberly Small,85.0,73.1,'''Voice leave, Attention painting two tough fight Religious wish education whom environmental'''
leslie_eaton_2106,Leslie Eaton,77.0,4.1,'''Note: Why number carry end whole, then Expert material'''
kathleen_young_9980,Kathleen Young,23.0,96.1,'''(His speech want enjoy) , Art prepare middle and She professional everyone finally'''
dustin_powell_2121,Dustin Powell,70.0,77.1,'''Point difference; Similar what ever capital , Write work'''
raymond_weaver_6993,Raymond Weaver,24.0,37.1,'''He; Rich computer range , Seat'''
benjamin_martin_7136,Benjamin Martin,29.0,70.1,'''(High west) , Form reach and Sister pass'''
theresa_dorsey_7121,Theresa Dorsey,77.0,71.1,'''Note: Government, then Open pressure community'''
