# This is a comment line to skip
username;name;price;salary;age;review
rebecca_jenkins_0928;Rebecca Jenkins;84.0;39.1;89.2;'''Matter forget: May then stay; Relate none past'''
diana_morgan_1326;Diana Morgan;88.0;40.1;58.2;'''(Item Mrs evening power) ; Lose suffer just follow can rate and Particular time program'''
drew_clark_5852;Drew Clark;32.0;54.1;91.2;'''Why talk; High know ; Boy personal'''
haley_kerr_0776;Haley Kerr;94.0;12.1;76.2;'''Imagine debate military: Media look; Again similar office magazine medical'''
larry_young_7285;Larry Young;31.0;70.1;43.2;'''Note: Always rest specific opportunity front join authority; then Focus'''
mark_flores_9076;Mark Flores;47.0;39.1;53.2;'''(Left north) ; Five and Idea game add'''
rachel_saunders_9709;Rachel Saunders;66.0;17.1;70.2;'''Note: Pm staff real; then Level while among line development'''
anthony_garcia_9014;Anthony Garcia;43.0;;100.2;'''Contain fight; Sound economy Able decade red father ok debate'''
tiffany_schultz_5888;Tiffany Schultz;66.0;91.1;29.2;'''Smile card window data; Break officer Mother sister agree'''
danny_robinson_3051;Danny Robinson;89.0;9.1;51.2;'''Fish; Yes hold there Sea might throughout'''
andrea_norman_3212;Andrea Norman;39.0;21.1;24.2;'''History international simply: Whom sense identify adult year; Front me none'''
suzanne_tate_8197;Suzanne Tate;74.0;61.1;55.2;'''Network any sit sort; Light hundred spend tough direction ; Control better treatment guess'''
victoria_yates_1591;e;71.0;16.1;63.2;'''Entire: Practice; Security have'''
melissa_barrett_3001;Melissa Barrett;26.0;92.1;26.2;'''Move eight seek; They drug especially hit ; Coach lot'''
michelle_davis_0644;Michelle Davis;10.0;95.1;73.2;'''Anyone expect: Owner family focus; Film often personal board'''
gregory_burnett_2835;Gregory Burnett;54.0;87.1;8.2;'''Of score notice; After four industry ; From be religious school great'''
nichole_lopez_6621;Nichole Lopez;2.0;29.1;39.2;'''Note: Green open scene thousand; then Sort school better early note image note'''
mary_lewis_9400;Mary Lewis;98.0;79.1;82.2;'''Ever; Among somebody so Agree operation wide face section'''
william_kennedy_4811;William Kennedy;22.0;1.1;84.2;'''Finish voice suddenly yourself whom; Some environmental leg community ; Plan among'''
brian_preston_9131;Brian Preston;27.0;12.1;49.2;'''Hair often; Wish Have mind process'''
anna_morrison_7677;Anna Morrison;45.0;66.1;19.2;'''Note: Put reduce; then Test bank'''
diane_jones_6526;Diane Jones;57.0;4.1;67.2;'''Loss magazine edge; Also wonder daughter ; Seven blue'''
brian_washington_2502;Brian Washington;41.0;9.1;65.2;'''(Job impact) ; Nearly imagine entire top think and Own'''
cody_taylor_3319;Cody Taylor;82.0;33.1;76.2;'''Science: Happy moment offer manage; Will these'''
samuel_banks_6099;Samuel Banks;;84.1;100.2;'''Tonight school remain bill; Method new pick Choice new character late future'''
james_porter_9815;James Porter;89.0;50.1;94.2;'''Note: Past go activity; then Safe strategy open fear'''
michael_lane_5557;Michael Lane;7.0;3.1;82.2;'''Goal your you; Available Democrat evening ; Sure when'''
karen_medina_5820;Karen Medina;58.0;74.1;46.2;'''Chance: Special north sound ground; Car authority administration blue note'''
breanna_nichols_9634;Breanna Nichols;100.0;80.1;;'''(Box theory like opportunity city include) ; Attack and Course'''
jose_brooks_8493;Jose Brooks;62.0;71.1;25.2;'''(Your billion) ; Outside shake ask need and Mean involve race'''
mary_burns_6578;Mary Burns;16.0;87.1;84.2;'''Note: Forward social marriage police poor; then Tell usually blood'''
sandra_hines_3305;Sandra Hines;18.0;91.1;31.2;'''Really; Eight company interesting national affect trouble Suggest Congress'''
mark_mitchell_0753;Mark Mitchell;100.0;33.1;57.2;'''Note: Every six skin admit; then Success'''
shirley_hernandez_7373;Shirley Hernandez;46.0;63.1;74.2;'''Race still ago: Staff owner begin pressure technology; Rule'''
jennifer_gilmore_0653;Jennifer Gilmore;93.0;87.1;75.2;'''Body model onto; Draw program or inside Happy range think practice'''
john_meyer_2136;John Meyer;72.0;33.1;45.2;'''Politics together: Environmental thousand; Wind month director'''
miss_park_4211;Miss Lauren Park;79.0;26.1;58.2;'''Note: Nation treat detail partner; then Eat'''
brandon_padilla_6503;Brandon Padilla;87.0;25.1;81.2;'''Safe summer environmental: Miss officer person oil; Responsibility'''
robert_ruiz_2567;Robert Ruiz;40.0;64.1;17.2;'''Share half news population discuss; Soon Good participant seek'''
scott_grant_0826;Scott Grant;53.0;41.1;76.2;'''Note: Compare explain; then Under'''
sandra_padilla_2031;Sandra Padilla;94.0;25.1;26.2;'''Blood city; Message chance child marriage south speech Practice hospital memory'''
