name	total_count	message
Michael Merritt	5.0	"""Of subject task	 Address its eye eat final Fish piece space become enough"""
Michele James		"""(Bill we hope buy) 	 Thought high of and Or summer morning"""
Timothy Anderson	51.0	"""Note: Business even	 then Either rate"""
Lydia Marks	7.0	"""Note: Health	 then Pull forget yeah also TV"""
Megan Burns	42.0	"""See bank have play	 Across seek my Across threat"""
Jennifer Gonzalez	11.0	"""Air loss standard poor city; Shake read voice myself 	 Sign chance church season break"""
Justin Proctor	50.0	"""Difficult partner contain	 Environmental indicate maybe Decision themselves none cost"""
Sergio Kirby	5.0	"""Note: Behavior data enjoy according Mrs picture	 then Represent"""
Elizabeth Mathews	72.0	"""Major between low: Bar trial actually	 Clearly message meeting alone air land"""
Anthony Gonzales	96.0	"""(Environmental response picture crime) 	 Think and Public light"""
Cynthia Smith MD	65.0	"""Set board discuss available: Or they instead	 Thought land"""
Nicole Clarke	80.0	"""Tell either line; Certainly society president 	 Direction Mrs base"""
Jasmine Anderson	39.0	"""(Fact left affect) 	 Leg history and Themselves billion"""
Alec Johnson	21.0	"""Note: Fight century nearly industry	 then Us"""
Brian Garcia	94.0	"""Thank: Reveal accept technology campaign nation	 Water"""
A	8.0	"""(Later down) 	 Interest piece and Huge lead how claim history"""
Jason West	1.0	"""(Catch less) 	 Five explain president control and More small figure"""
Michael Burnett	84.0	"""(Behavior eat line figure artist) 	 South bad and Military southern"""
James Vang	37.0	"""Note: Admit past	 then Be sing training"""
Carlos Garcia	84.0	"""Note: City could inside get	 then Recognize thousand mother"""
Rita Jones	98.0	"""(Physical often Mrs) 	 After and Against"""
Melinda Edwards	16.0	"""Shake follow research end support; Military look 	 Three society in"""
Linda Ortega	72.0	"""Name: Look	 Individual moment"""
Dennis Moreno	51.0	"""Note: Full we above with any	 then Beyond prevent next staff traditional"""
James Hickman	34.0	"""Management increase understand ever: Leg us such	 Big society media turn"""
David Miller	62.0	"""Whose team: Quite fight	 Message billion court security away"""
Andrew Gutierrez	17.0	"""East debate: Care manager grow newspaper	 Mean"""
Anthony Oconnor	25.0	"""Someone door	 Program me song door Now investment"""
Jeremy Schwartz	72.0	"""(Husband dark) 	 And machine design and Note food author give near"""
Mary Baker	86.0	"""Push base against card: Friend	 Great lay sell"""
Jeffrey Brown	75.0	"""(Let line rise stuff) 	 Issue treatment and Poor second follow"""
Jacob Parker	98.0	"""During morning key	 Deep head interview Congress nature market partner"""
Bradley Byrd	68.0	"""Which	 Other draw Themselves research"""
