# This is a comment line to skip
name	total_count	age	note
Kevin Kelley	64.0	68.1	"""(Thank include) 	 Mission and Recently know"""
Angel Burke	54.0	54.1	"""Note: City have yes run start	 then Play"""
Stephanie Winters	26.0	77.1	"""Note: Similar	 then Wonder"""
Laurie Roberts DDS	33.0	38.1	"""Many total read	 Nor professor tree Others hundred material tend then since"""
Kaylee Davenport	7.0	34.1	"""Recognize although	 Our manager car expect what Peace free"""
Jamie Daniel	13.0	80.1	"""(Recent measure) 	 Base rather wear writer and Perform think explain week follow"""
Kevin Bond	26.0	46.1	"""Note: Idea special leader	 then Ahead successful"""
Renee Madden	68.0	2.1	"""Staff live	 Analysis also southern Recently still"""
Darlene Chang	41.0	98.1	"""Sister indeed: Nothing head	 Reach television television"""
James Mullins		14.1	"""Note: City toward hear activity man natural	 then Southern feeling because score"""
Victor Jenkins	22.0	48.1	"""Interest receive outside first sometimes easy: Prevent choice within	 Watch everybody business defense"""
Christian Gilbert	26.0	88.1	"""(Mother) 	 Stay society foot and Strategy front explain through billion"""
Billy Smith	83.0	32.1	"""Sort record sound: Floor training eat per	 His agency"""
Robin Hunt	44.0		"""Note: None table	 then Else son"""
Joseph Brewer	63.0	22.1	"""(Officer spring) 	 Operation yourself and Institution generation smile"""
Troy Evans	56.0	65.1	"""Bit crime deal risk fire: They kind method	 Whatever music enjoy member"""
 	17.0	28.1	"""Note: Check whom	 then Lawyer cause report nothing sport"""
Henry Chen	29.0	89.1	"""Note: Yourself story appear	 then Onto laugh"""
Brandon Miller	85.0	85.1	"""Politics piece do: Way	 Rule cup key"""
Kristina Garcia	40.0	54.1	"""(Million magazine) 	 Money and Group support eye air story"""
Steven Martinez	36.0	79.1	"""Note: Leader get others still	 then Tree exactly"""
Jose Robles	5.0	33.1	"""Science	 Position Once education"""
Lauren Wilson	55.0	2.1	"""Down with someone: Central possible wall standard reflect	 Until attention kid along"""
