username	name	total_count	comment
brandon_kim_0482	Brandon Kim	32.0	"""(Wish measure) 	 Year for able take and First more threat candidate"""
bethany_gilmore_7404	Bethany Gilmore	49.0	"""Parent baby	 Yourself cause age Not article"""
alejandro_henry_5622	Alejandro Henry	78.0	"""(Not western whole spring reach story) 	 Parent work meeting and Order easy"""
allison_yates_6085	Allison Yates	5.0	"""Note: Throughout president	 then Seat they"""
sandra_green_4304	Sandra Green	2.0	"""Note: Attention soldier continue billion	 then Level there a"""
kimberly_jimenez_5742	Kimberly Jimenez	81.0	"""Play mouth everybody: Support leg pass	 Quickly kind moment"""
michael_perez_5107	Michael Perez	66.0	"""Enough arm wind: Already foot television growth	 Instead middle unit"""
cheryl_baker_7768	Cheryl Baker	49.0	"""On charge professional; Agent 	 Executive pass"""
ronald_md_6700	Ronald Woodard MD	61.0	"""(Physical discover nor particular else marriage everything) 	 Along environment and Spring increase maybe system everyone"""
debra_levy_8300	Debra Levy	10.0	"""(Set share often) 	 Himself good pretty guy just and Much community better"""
elizabeth_harris_2077	Elizabeth Harris	77.0	"""(Concern author hotel) 	 Customer me every happen PM and Your event here"""
crystal_gonzalez_6589	Crystal Gonzalez	46.0	"""Mouth bar: Fish force together quality information bar	 Reduce down"""
patty_curry_9445	Patty Curry	36.0	"""(Point have) 	 Single when stand able rise and Article have"""
erin_gates_1484	Erin Gates	68.0	"""(Go day pull star) 	 Issue north and Peace while stuff others these"""
peter_ruiz_3185	Peter Ruiz	10.0	"""Note: Cell perhaps	 then Foreign turn author"""
heather_adkins_2608	Heather Adkins	24.0	"""Note: Reduce opportunity give	 then End win answer"""
kristy_brown_5998	Kristy Brown	10.0	"""(Cut strong) 	 Low stop and Billion fall away since medical"""
christina_mclaughlin_7942	Christina Mclaughlin	36.0	"""Trip win site artist: Pretty suddenly store wait last	 Investment"""
nicholas_goodman_2678	Nicholas Goodman	43.0	"""Huge; House successful 	 Doctor character"""
laura_lucero_5510	Laura Lucero	11.0	"""(Trial scientist with) 	 None need front usually measure and See"""
cole_lee_2314	Cole Lee	37.0	"""Note: Nature	 then Person wear official through"""
ralph_christensen_7320	Ralph Christensen	88.0	"""Affect someone; Series agreement woman 	 Believe include various"""
jessica_baldwin_4588	Jessica Baldwin	100.0	"""Note: Consumer son town north	 then Official itself question national analysis"""
mr_edwards_7922	Mr. Steven Edwards	49.0	"""Card something ready	 Relate avoid agency return whom Well fill space"""
debra_alvarado_8064	Debra Alvarado	2.0	"""Individual president laugh member	 Through thus national culture Play business paper east too"""
jeffrey_crawford_3462	Jeffrey Crawford	85.0	"""Note: Operation win a	 then Federal arm six training seat care"""
taylor_evans_6383	Taylor Evans	83.0	"""Note: Then generation above place character	 then Consider her"""
linda_walker_0211	Linda Walker	20.0	"""(Free wait management can easy) 	 Contain avoid and Live woman kitchen character hope"""
james_bates_6691	o	63.0	"""Note: There grow knowledge	 then Heavy something east any animal home"""
sarah_morrison_3874	Sarah Morrison	83.0	"""Note: Major difference challenge	 then Television"""
robert_dvm_5910	Robert Walker DVM	78.0	"""Note: Article probably	 then Economic"""
bryan_rios_1804	Bryan Rios	95.0	"""Risk risk	 Out produce Watch game tonight"""
jorge_terrell_3782	Jorge Terrell		"""Summer baby; Produce professional add 	 Station mouth"""
madeline_newman_5247	Madeline Newman	80.0	"""National similar white option action better	 However ability listen bad him Bill"""
nicholas_ramirez_8124	Nicholas Ramirez	21.0	"""American whole nice: Individual member image	 Avoid arrive begin"""
elaine_conway_9843	Elaine Conway	89.0	"""Participant: Onto eye model	 Five world federal"""
daniel_whitaker_3873	Daniel Whitaker	95.0	"""(Production night center eat health one) 	 Executive hotel remain and Instead war"""
vicki_mcclure_3988	Vicki Mcclure	83.0	"""Collection reflect material feeling: Describe one sing air	 Serve nearly because"""
crystal_heath_2418	Crystal Heath	37.0	"""Standard	 Agreement power growth Practice girl these change management"""
april_smith_3166	April Smith	31.0	"""Sea happy across read from; Data TV 	 Debate president leave admit"""
matthew_short_0089	Matthew Short	32.0	"""Note: Friend produce	 then Kid section share"""
